index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-79.98
31,2022-07-23-14:52:09,-78,-70,100,100,-79,-51,100,100,100,100,100,100,-79,-85,-93,100,-77,-96,100,100,100,100,100,100,-77,-75,36,
32,2022-07-23-14:52:14,-78,-71,100,100,-78,-51,100,100,100,100,100,100,-79,-86,-93,100,-77,-97,100,100,100,100,100,100,-73,-75,36,
33,2022-07-23-14:52:19,-78,-70,100,100,-79,-51,100,100,100,100,100,100,-82,-84,-93,100,100,-96,100,100,100,100,100,100,-73,-71,36,
34,2022-07-23-14:52:24,-86,-70,100,100,-79,-51,100,100,100,100,100,100,-86,-81,-93,100,-85,-97,100,100,100,100,100,100,-76,-67,36,
35,2022-07-23-14:52:29,-79,-69,100,100,-79,-51,100,100,100,100,100,100,-87,-87,100,100,-83,100,100,100,100,100,100,100,-77,-73,36,
36,2022-07-23-14:52:34,-79,-88,100,100,100,-57,100,100,100,100,100,100,-79,-88,-92,100,-77,100,100,100,100,100,100,100,-71,-78,36,
37,2022-07-23-14:52:39,-78,-69,100,100,-78,-51,100,100,100,100,100,100,-83,-85,100,100,-78,100,100,100,100,100,100,100,-76,-72,36,
38,2022-07-23-14:52:44,-78,-71,100,100,-79,-57,100,100,100,100,100,100,-83,-86,-92,100,-85,100,100,100,100,100,100,100,-77,-71,36,
39,2022-07-23-14:52:49,-85,-88,100,100,-78,-57,100,100,100,100,100,100,-83,-86,-93,100,-77,100,100,100,100,100,100,100,-73,-74,36,
40,2022-07-23-14:52:54,-78,-89,100,100,-78,-51,100,100,-97,100,100,100,-82,-85,100,100,-77,-96,100,100,100,100,100,100,-73,-71,36,
41,2022-07-23-14:52:59,-77,-71,100,100,-79,-51,100,100,100,100,100,100,-80,-85,-93,100,-77,-96,100,100,100,100,100,100,-74,-67,36,
42,2022-07-23-14:53:04,-78,-70,100,100,-79,-51,100,100,-96,100,100,100,-79,-86,-93,100,-77,100,100,100,100,100,100,100,-73,-67,36,
43,2022-07-23-14:53:09,-86,-71,100,100,-85,-51,100,100,100,100,100,100,-84,-86,100,100,-85,-97,100,100,100,100,100,100,-73,-75,36,
44,2022-07-23-14:53:14,-78,-70,100,100,-79,-51,100,100,100,100,100,100,-83,-85,100,100,-85,100,100,100,100,100,100,100,-76,-71,36,
45,2022-07-23-14:53:19,-78,-70,100,100,-85,-57,100,100,100,100,100,100,-80,-86,-93,100,-78,100,100,100,100,100,100,100,-77,-75,36,
46,2022-07-23-14:53:24,-86,-70,100,100,-79,-57,100,100,100,100,100,100,-80,-99,-92,100,-77,100,100,100,100,100,100,100,-77,-75,36,
47,2022-07-23-14:53:29,-78,-70,100,100,-79,-51,100,100,100,100,100,100,-80,-86,-93,100,-77,100,100,100,100,100,100,100,-74,-75,36,
48,2022-07-23-14:53:34,-78,-88,100,100,-76,-51,100,100,-95,100,100,100,-80,-85,-95,100,-77,100,100,100,100,100,100,100,-73,-75,36,
49,2022-07-23-14:53:39,-86,-70,100,100,-79,-51,100,100,100,100,100,100,-80,-86,100,100,-85,100,100,100,100,100,100,100,-77,-67,36,
50,2022-07-23-14:53:44,-77,-89,100,100,-79,-57,100,100,100,100,100,100,-82,-85,100,100,-77,100,100,100,100,100,100,100,-73,-71,36,
51,2022-07-23-14:53:49,-78,-70,100,100,100,-51,100,100,-97,100,100,100,-80,-98,-93,100,-77,100,100,100,100,100,100,100,-77,-67,36,
52,2022-07-23-14:53:54,-78,-71,100,100,-85,-51,100,100,100,100,100,100,-83,-86,-93,100,-77,-97,100,100,100,100,100,100,-73,-71,36,
53,2022-07-23-14:53:59,-85,-70,100,100,-78,-51,100,100,100,100,100,100,-83,-86,-93,100,-77,100,100,100,100,100,100,100,-77,-67,36,
54,2022-07-23-14:54:04,-85,-70,100,100,-78,-51,100,100,100,100,100,100,-84,-86,-93,100,-77,100,100,100,100,100,100,100,-77,-71,36,
55,2022-07-23-14:54:09,-78,-71,100,100,-79,-51,100,100,100,100,100,100,-83,-98,-93,100,-85,100,100,100,100,100,100,100,-73,-75,36,
56,2022-07-23-14:54:14,-78,-89,100,100,-79,-51,100,100,100,100,100,100,-83,-98,-93,100,-77,100,100,100,100,100,100,100,-77,-75,36,
57,2022-07-23-14:54:19,-78,-71,100,100,-79,-51,100,100,100,100,100,100,-79,-86,100,100,-77,100,100,100,100,100,100,100,-73,-71,36,
58,2022-07-23-14:54:24,-78,-88,100,100,-78,-57,100,100,100,100,100,100,-81,-86,100,100,-85,100,100,100,100,100,100,100,-73,-71,36,
59,2022-07-23-14:54:29,-78,-88,100,100,100,-51,100,100,100,100,100,100,-80,-86,-93,100,-77,100,100,100,100,100,100,100,-73,-71,36,
