index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-19-17:55:13,-96,-72,-92,-97,-75,-90,-78,-86,-62,-94,-96,-86,-94,-100,-79,-96,-94,-62,-71,-91,-96,100,-93,-89,-76,-89,26
1,2022-07-19-17:55:18,100,-68,-92,-90,-67,100,-84,-87,-71,-95,100,-80,100,100,-77,-87,100,-76,-81,100,-94,100,-88,-89,-88,100,26
2,2022-07-19-17:55:23,100,-65,100,-94,-65,-90,-78,-89,-64,-78,-90,-79,100,100,-69,-87,-94,-61,-70,-83,-92,100,-82,-90,-77,-91,26
3,2022-07-19-17:55:28,100,-68,-96,-90,-67,100,-82,-86,-71,-96,100,-80,100,100,-77,100,100,100,100,-89,-92,100,-88,-88,-87,100,26
4,2022-07-19-17:55:33,100,-65,-97,-91,-65,-91,-76,-91,-65,-77,-89,-80,100,100,-69,-87,100,-61,-69,-83,-91,100,-82,-88,-77,-91,26
5,2022-07-19-17:55:38,-95,-66,-85,100,-66,-91,-76,-82,-61,-77,-88,-76,100,-90,-65,-86,-95,-64,-75,-82,100,100,-81,100,-77,100,26
6,2022-07-19-17:55:43,100,-68,-94,-94,-67,-91,-82,-86,-71,-94,100,-82,100,100,-82,-88,100,-75,-87,-90,-93,100,-91,-91,-87,100,26
7,2022-07-19-17:55:48,100,-64,-91,100,-65,100,-77,-91,-64,-80,-91,-83,100,100,-69,-90,-96,-62,-69,-87,-91,100,-84,100,-78,-90,26
8,2022-07-19-17:55:53,100,-68,100,-92,-68,100,100,100,-71,100,100,-83,100,100,100,-85,100,100,100,-91,-92,100,100,100,-87,100,26
9,2022-07-19-17:55:58,100,-64,-92,-91,-65,100,-79,-94,-64,-77,-89,-79,100,100,-69,-88,100,-62,-69,-90,-93,100,-82,100,-77,-90,26
10,2022-07-19-17:56:03,-92,-66,-88,-98,-67,-91,-78,-82,-61,-78,-90,-76,100,100,-65,100,-96,-65,-72,-82,100,100,-80,-86,-77,-90,26
11,2022-07-19-17:56:08,100,-68,-94,-90,-67,100,-82,-86,-71,-94,100,-80,100,100,-77,-86,-96,-75,-86,-91,-92,100,-88,-88,-87,100,26
12,2022-07-19-17:56:13,100,-68,-88,-89,-67,100,100,-85,-61,-78,100,-76,100,100,-77,100,100,-65,100,-82,-93,100,100,100,100,100,26
13,2022-07-19-17:56:18,100,-66,-94,-95,-66,-93,-81,-87,-71,-77,100,-80,100,100,-78,-85,-97,-74,-73,-81,100,100,-80,-87,-87,-95,26
14,2022-07-19-17:56:23,100,-65,-90,-90,-65,-90,-77,-91,-64,-77,-89,-80,100,100,-69,-87,-97,-60,-68,-84,100,100,-81,-88,-77,100,26
15,2022-07-19-17:56:28,100,-66,-88,-94,-67,100,-77,-82,-61,-78,100,-76,100,100,-65,100,-96,-66,-76,-82,100,100,-81,-85,-77,-96,26
16,2022-07-19-17:56:33,-93,-66,100,100,100,100,100,-82,100,-79,100,100,100,100,-65,100,100,-68,-76,-83,100,100,100,-85,100,100,26
17,2022-07-19-17:56:38,100,-65,-89,100,-65,-92,-79,-84,-61,-78,-90,-80,100,-98,-65,-87,-95,-61,-74,-82,100,100,-80,100,-78,-94,26
18,2022-07-19-17:56:43,-96,-68,-96,-90,-67,-93,-85,-84,-71,-77,100,-80,100,100,-65,-87,-95,-74,-85,100,-91,100,-88,-85,-86,-94,26
19,2022-07-19-17:56:48,100,-65,-89,-98,-65,-92,-80,-87,-64,-77,-90,-80,100,100,-68,-88,-96,-60,-68,-83,-93,100,-82,-89,-77,-90,26
20,2022-07-19-17:56:53,100,-65,100,100,-66,100,-78,100,-64,100,100,-81,100,100,-69,100,100,-62,100,-84,-92,100,-83,-90,100,-91,26
21,2022-07-19-17:56:58,100,-65,-93,-88,-70,100,-81,-86,-70,100,100,-80,100,100,-68,-87,100,-62,-79,-94,-91,100,100,-86,-89,100,26
22,2022-07-19-17:57:03,-95,-66,-86,100,-67,-91,-77,-82,-64,-78,-90,-76,100,100,-65,-87,-96,-65,-74,-83,100,100,-80,-85,-80,-91,26
23,2022-07-19-17:57:08,100,-68,-93,-90,-67,100,-82,-85,-71,-78,-95,-80,100,-96,-77,-86,100,-74,-89,-82,-92,100,-89,-85,-87,-96,26
24,2022-07-19-17:57:13,100,-68,100,100,-67,100,-82,-86,-71,100,100,-80,100,100,100,-86,100,100,-89,100,-92,100,-89,100,-87,100,26
25,2022-07-19-17:57:18,100,-66,-87,-96,-67,100,-78,-82,-61,-78,100,-76,100,-98,-65,-97,-96,-66,-73,-82,100,100,-80,-86,-77,-93,26
26,2022-07-19-17:57:23,100,-65,-92,-90,-65,100,-82,-84,-64,100,-91,-80,100,100,-69,-87,100,-61,-69,-92,-91,100,-81,100,-77,100,26
27,2022-07-19-17:57:28,100,-66,-90,-96,-65,-92,-79,-83,-62,-77,-89,-75,100,-97,-65,-87,-97,-65,-70,-83,-90,100,-80,100,-77,-91,26
28,2022-07-19-17:57:33,-94,100,-88,100,-67,100,-80,-81,-62,-78,100,-76,100,100,-65,100,100,100,-74,-82,100,100,-80,100,-77,100,26
29,2022-07-19-17:57:38,100,-65,100,100,-66,-90,-77,100,-64,-77,-89,-80,100,100,-68,-88,-97,-62,-69,-84,100,100,-82,100,-78,-91,26
30,2022-07-19-17:57:43,-94,-66,-87,-90,-66,100,-77,-86,-61,-78,100,-80,100,100,-77,-86,-97,-66,-74,-82,100,100,-80,-85,-79,100,26
31,2022-07-19-17:57:48,100,-65,-92,-90,-65,100,-77,-97,-64,-77,100,-80,100,100,-69,-86,100,-62,-69,-83,-92,100,-87,-88,-78,-89,26
32,2022-07-19-17:57:53,100,-65,-92,-99,-65,100,-78,-94,-64,-77,-90,-80,100,100,-69,100,-95,-61,-69,-83,100,100,-82,100,-77,-90,26
33,2022-07-19-17:57:58,100,-68,100,-90,-67,100,-82,-85,-71,-95,100,-79,100,100,-77,-86,100,-75,-87,-92,-91,100,-88,-89,-87,100,26
34,2022-07-19-17:58:03,100,-65,-94,-90,-65,-91,-77,100,-64,-77,-90,100,100,100,-69,-88,-97,-61,-68,-83,-93,100,-81,-88,-77,-90,26
35,2022-07-19-17:58:08,100,-68,-87,-96,-68,100,-82,-81,-71,-78,100,-76,100,100,-65,-98,-96,-75,-87,-82,100,100,-80,-85,-87,-95,26
36,2022-07-19-17:58:13,100,-68,100,-91,-67,100,-82,-84,-71,100,100,-80,100,100,-77,-86,100,-75,-86,100,-91,100,100,-89,-87,100,26
37,2022-07-19-17:58:18,-93,-66,-87,-96,-67,100,-77,-80,-61,-78,100,-76,100,-99,-65,100,-97,-66,-73,100,100,100,-81,-85,-77,-94,26
38,2022-07-19-17:58:23,100,-68,-86,-94,-68,100,-82,-85,-71,-78,100,-80,100,100,-77,100,100,-76,-74,-90,-92,100,-91,-90,-86,100,26
39,2022-07-19-17:58:28,100,-66,-92,-98,-65,100,-78,-81,-64,-80,-92,-80,100,100,-69,-86,-96,-61,-68,-85,100,100,-83,100,-77,-95,26
40,2022-07-19-17:58:33,100,-66,-87,-92,-67,100,-78,-81,-61,-83,100,-78,100,-93,-65,-84,100,-66,-74,-83,100,100,-81,100,-77,-93,26
41,2022-07-19-17:58:38,100,-65,-93,-100,-65,-89,-77,-92,-64,-78,100,100,100,100,-73,-91,100,-61,-69,-84,100,100,-81,100,-78,-91,26
42,2022-07-19-17:58:43,100,-65,-82,-96,-68,-88,-78,-80,-61,-78,-92,-76,-100,-93,-65,-97,-95,-65,-72,-84,100,100,-80,-85,-79,-92,26
43,2022-07-19-17:58:48,100,-68,100,-91,-68,100,-77,-85,-71,-95,-96,-79,-98,100,-77,-87,-94,-74,-86,-91,-92,100,-88,-88,-89,100,26
44,2022-07-19-17:58:53,100,-65,-92,100,-65,100,-77,100,-64,-77,-90,-81,100,100,-68,100,100,-61,-68,-83,100,100,-82,100,-77,-90,26
45,2022-07-19-17:58:58,100,-68,100,100,-68,100,100,-85,-71,100,100,-80,100,100,-77,-86,100,-75,-87,-91,-92,100,-88,-88,100,100,26
46,2022-07-19-17:59:03,100,-65,100,-99,-65,100,-77,-85,-64,-77,-89,-80,100,100,-69,-87,-97,-75,-68,-83,-93,100,-82,-88,-78,-93,26
47,2022-07-19-17:59:08,100,-66,-87,-96,-66,-93,-77,-95,-61,-78,-89,-76,100,-95,-65,-96,-95,-66,-73,-82,100,100,-80,-85,-77,-95,26
48,2022-07-19-17:59:13,100,-68,100,-90,-67,100,-82,-85,-71,-96,100,-80,100,100,-77,-87,-97,-75,-86,-91,-92,100,-88,100,-88,100,26
49,2022-07-19-17:59:18,-94,-66,100,-97,-67,100,-77,100,-61,-78,100,100,100,-97,-65,100,-95,100,-74,-82,100,100,-80,-85,-77,100,26
50,2022-07-19-17:59:23,-94,-68,-88,-90,-67,100,-82,-85,-71,-95,-94,-76,100,100,-77,-86,-95,-75,-86,-91,-91,100,-88,-88,-87,100,26
51,2022-07-19-17:59:28,100,-65,-93,-98,-65,100,-77,-85,-64,-77,-89,-82,100,-97,-68,-86,-93,-62,-87,-83,-92,100,-82,100,-78,-90,26
52,2022-07-19-17:59:33,-94,-66,-87,-96,-66,-90,-77,-81,-61,-78,100,-76,100,100,-67,100,-95,-66,-72,-82,100,100,-82,-86,-77,-94,26
53,2022-07-19-17:59:38,100,-65,-93,100,-65,100,-78,-96,100,100,-91,100,100,100,-69,100,100,-61,-68,-85,100,100,-80,100,100,100,26
54,2022-07-19-17:59:43,-93,-66,-85,-97,-66,-91,-77,-81,-61,-78,100,-76,100,100,-65,-88,-95,-66,-74,-82,100,100,-81,-85,-77,-91,26
55,2022-07-19-17:59:48,100,-68,100,-90,-67,100,-82,-85,-70,-96,100,-80,100,-97,-65,-87,-94,-75,-86,-91,-92,100,-89,-88,-86,-94,26
56,2022-07-19-17:59:53,100,-65,-93,-90,-65,-90,-77,-85,-64,-77,-90,-80,100,100,-68,-86,-94,-61,-68,-83,-93,100,-82,-92,-77,-91,26
57,2022-07-19-17:59:58,100,100,100,100,-68,100,-77,-97,-64,100,100,-80,100,100,100,100,100,-75,100,100,100,100,-82,100,-77,-92,26
58,2022-07-19-18:00:03,100,-65,100,-90,-65,-90,-77,-85,-64,-77,100,-80,100,100,-68,-87,100,-61,-68,-84,-91,100,-81,-88,-77,100,26
59,2022-07-19-18:00:08,-93,-66,-87,100,-66,-91,-78,-81,-62,-78,-89,-75,100,-98,-66,-87,-95,-66,-68,-82,100,100,-80,-85,-77,-95,26
