index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-20:53:46,-100,-72,-82,100,-71,-95,-88,-85,-63,-98,100,100,100,-78,-95,-97,-68,-72,100,100,100,-92,100,-90,-90,54
1,2022-07-22-20:53:51,100,-70,-79,100,-76,100,-90,-85,-63,100,100,100,100,-86,100,100,-83,-88,100,100,100,100,100,-97,100,54
2,2022-07-22-20:53:56,100,-66,-77,100,-73,100,-94,-85,-60,100,100,100,100,-94,100,-92,-66,-72,100,100,100,100,100,-87,100,54
3,2022-07-22-20:54:01,100,-63,100,100,-73,100,100,-91,-60,100,100,100,100,-73,100,-91,-65,-72,100,100,100,100,100,-89,-97,54
4,2022-07-22-20:54:06,100,-60,-79,100,-79,100,100,-93,-65,100,100,100,100,-78,100,-90,-76,-71,100,100,100,100,100,-82,100,54
5,2022-07-22-20:54:11,100,-63,-82,100,-72,-93,-91,100,-62,100,100,-97,100,-73,100,-92,-76,-71,100,100,100,100,100,-89,100,54
6,2022-07-22-20:54:16,100,-77,-76,100,-79,100,-90,-92,-64,100,100,100,100,-88,100,100,-80,-72,100,100,100,100,100,-92,100,54
7,2022-07-22-20:54:21,100,-69,-77,100,-86,100,-92,-97,-62,100,100,100,100,-79,100,-91,-71,-74,100,100,100,100,100,-85,100,54
8,2022-07-22-20:54:26,100,-70,-80,100,-77,100,-89,100,-63,100,100,100,100,-82,100,100,-78,-87,100,100,100,100,100,100,100,54
9,2022-07-22-20:54:31,100,-61,-78,100,-78,100,-92,-94,-63,100,100,100,100,-80,100,100,-70,-73,100,100,100,100,100,-82,100,54
10,2022-07-22-20:54:36,100,-63,-89,100,-74,100,-88,-94,-60,100,100,100,100,-73,100,-94,-67,-72,100,100,100,100,100,-83,-97,54
11,2022-07-22-20:54:41,100,-71,-79,100,-77,100,-89,100,-63,100,100,100,100,-82,100,-95,-78,-85,100,100,100,100,100,100,100,54
12,2022-07-22-20:54:46,100,-63,100,100,-74,-92,-89,100,-60,100,100,100,100,-72,100,100,-64,-73,100,100,100,100,100,-90,100,54
13,2022-07-22-20:54:51,100,-71,-80,100,-77,-92,-89,-94,-63,100,100,100,100,-82,100,-92,-78,-85,100,100,100,100,100,-92,100,54
14,2022-07-22-20:54:56,100,-61,-78,100,-78,100,-93,100,-63,100,100,100,100,-80,100,-91,-70,-74,100,100,100,100,100,-83,-97,54
15,2022-07-22-20:55:01,100,-63,-90,100,-73,100,-93,-92,-60,100,100,100,100,-73,100,-94,-64,-72,100,100,100,100,100,-93,100,54
16,2022-07-22-20:55:06,100,-61,100,100,100,100,100,100,-63,100,100,100,100,100,100,100,-71,-74,100,100,100,100,100,-82,100,54
17,2022-07-22-20:55:11,100,-63,-88,100,-78,-91,-91,-94,-59,100,100,100,100,-73,100,-94,-64,-72,100,100,100,100,100,-93,-99,54
18,2022-07-22-20:55:16,100,-71,-79,100,-77,100,-89,-92,-63,100,100,100,100,-82,100,-93,-77,-86,100,100,100,100,100,-93,100,54
19,2022-07-22-20:55:21,100,-61,-78,100,-78,100,-89,-95,-63,100,100,100,100,-80,100,-92,-71,-74,100,100,100,100,100,-83,-97,54
20,2022-07-22-20:55:26,100,100,-78,100,-76,100,-89,100,-63,100,100,100,100,-82,100,100,100,-74,100,100,100,100,100,100,100,54
21,2022-07-22-20:55:31,100,-71,-77,100,-78,100,-90,100,-63,100,100,100,100,-79,100,100,-70,-87,100,100,100,100,100,-82,100,54
22,2022-07-22-20:55:36,100,-63,-90,100,-74,100,-91,-93,-60,100,100,100,100,-73,100,-93,-64,-72,100,100,100,100,100,-82,-97,54
23,2022-07-22-20:55:41,100,-71,-80,100,-77,100,-88,100,-63,100,100,100,100,-82,100,-92,-77,-86,100,100,100,100,100,100,100,54
24,2022-07-22-20:55:46,100,-71,-80,100,100,100,-89,100,-59,100,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,54
25,2022-07-22-20:55:51,100,-63,-80,100,-74,100,-89,100,-60,100,100,100,100,-82,100,-93,-77,-85,100,100,100,100,100,100,100,54
26,2022-07-22-20:55:56,100,-61,-77,100,-79,100,-89,-94,-63,100,100,100,100,-80,100,-91,-71,-85,100,100,100,100,100,-83,100,54
27,2022-07-22-20:56:01,100,-63,-78,100,-73,100,-91,100,-60,100,100,100,100,-73,100,-92,-64,-72,100,100,100,100,100,-93,100,54
28,2022-07-22-20:56:06,100,-63,100,100,-73,-92,-90,100,-60,100,100,100,100,-73,100,-93,-64,-72,100,100,100,100,100,-92,100,54
29,2022-07-22-20:56:11,100,-63,-77,100,-78,100,-93,-94,-63,100,100,100,100,-73,100,-93,-70,-73,100,100,100,100,100,-82,100,54
30,2022-07-22-20:56:16,100,-71,-90,100,-77,-92,-88,-93,-60,100,100,100,100,-82,100,-93,-78,-87,100,100,100,100,100,-93,100,54
31,2022-07-22-20:56:21,100,-61,-78,100,-79,100,-88,100,-63,100,100,100,100,-80,100,-90,-70,-74,100,100,100,100,100,-82,-99,54
32,2022-07-22-20:56:26,100,-61,-77,100,-78,100,-93,100,-63,100,100,100,100,-80,100,-91,-70,-74,100,100,100,100,100,-83,100,54
33,2022-07-22-20:56:31,100,-71,-78,100,-76,100,-89,100,-63,100,100,100,100,-82,100,100,-77,-88,100,100,100,100,100,100,100,54
34,2022-07-22-20:56:36,100,-61,-77,100,-79,100,-93,100,-60,100,100,100,100,-73,100,-91,-64,-73,100,100,100,100,100,-83,-98,54
