index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
37,2022-07-22-21:13:12,-90,-67,-78,100,-78,-80,-90,100,-89,100,100,-85,-91,100,100,-88,-80,-90,100,100,100,100,100,-76,-91,32
38,2022-07-22-21:13:17,-74,-65,-70,100,-71,-78,-90,100,-67,100,100,-75,-78,100,100,-78,-76,-83,100,100,100,100,100,-81,-79,32
39,2022-07-22-21:13:22,-89,-66,-78,100,-77,-80,-90,-97,-70,100,100,-84,-78,100,100,-88,-79,-83,100,100,100,100,100,-80,-93,32
40,2022-07-22-21:13:27,-89,-67,-78,100,-77,-80,-91,100,-88,100,100,-84,-87,100,100,100,-80,-90,100,100,100,100,100,-76,-93,32
41,2022-07-22-21:13:32,-74,-66,-70,100,-76,-74,100,100,-69,100,100,-76,-78,100,100,-82,-76,-83,100,100,100,100,100,-80,-84,32
42,2022-07-22-21:13:37,-89,-66,-78,100,-71,-78,-90,100,-68,100,100,-84,-88,-95,100,-88,-80,-90,100,100,100,100,100,-76,-92,32
43,2022-07-22-21:13:42,-74,-66,-70,100,-76,-73,-90,100,-69,100,100,-74,-90,100,100,-83,-71,-84,100,100,100,100,100,-80,-84,32
44,2022-07-22-21:13:47,100,-65,-70,100,-76,-74,-94,-96,100,100,100,-75,-78,100,100,100,100,-83,100,100,100,100,100,-80,-84,32
45,2022-07-22-21:13:52,-75,-62,-73,100,-71,-78,-91,100,-67,100,100,-79,-90,100,100,-78,-72,-84,100,100,100,100,100,-77,-78,32
46,2022-07-22-21:13:57,-74,-66,-70,100,-76,-74,-90,100,-89,100,100,-75,-78,100,100,-82,-76,-84,100,100,100,100,100,-80,-84,32
47,2022-07-22-21:14:02,-90,-67,-73,100,-77,-80,-90,100,-67,100,100,-84,-87,100,100,-88,-71,-90,100,100,100,100,100,-77,-93,32
48,2022-07-22-21:14:07,-75,-63,-73,100,-71,-78,-91,100,-67,100,100,-79,-90,100,100,-79,-71,-84,100,100,100,100,100,-77,-78,32
49,2022-07-22-21:14:12,-75,-66,-70,100,-71,-78,-90,100,-67,100,100,-74,-78,-97,100,-82,-71,-83,100,100,100,100,100,-79,-78,32
50,2022-07-22-21:14:17,-89,-67,-78,100,-77,-80,-90,100,-89,100,100,-75,-87,100,100,-88,-79,-90,100,100,100,100,100,-76,-93,32
51,2022-07-22-21:14:22,-76,-62,-73,100,-71,-78,-90,100,-67,100,100,-79,-87,100,100,-79,-72,-84,100,100,100,100,100,-77,-78,32
52,2022-07-22-21:14:27,100,-62,-73,100,-71,-78,-90,100,-68,100,100,-79,-89,100,100,-79,100,-83,100,100,100,100,100,-77,100,32
53,2022-07-22-21:14:32,-89,-67,-73,100,-77,-80,-91,100,-88,100,100,-84,-88,100,100,-79,-80,-90,100,100,100,100,100,-76,-93,32
54,2022-07-22-21:14:37,-73,-66,-70,100,-71,-78,-91,100,-69,100,100,-74,-78,-96,100,-82,-71,-84,100,100,100,100,100,-77,-84,32
55,2022-07-22-21:14:42,-90,-66,-78,100,-77,-80,-91,-98,-69,100,100,-84,-87,100,100,-89,-80,-83,100,100,100,100,100,-80,-93,32
56,2022-07-22-21:14:47,-89,-66,-78,100,-77,-80,-90,100,-89,100,100,-84,100,100,100,100,-79,-90,100,100,100,100,100,-76,-92,32
57,2022-07-22-21:14:52,-74,-65,-70,100,-76,-74,100,100,-69,100,100,-75,-78,100,100,-82,-76,-83,100,100,100,100,100,-80,-84,32
58,2022-07-22-21:14:57,-75,-66,-73,100,-77,-78,-91,100,-68,100,100,-84,-87,100,100,-88,-71,-84,100,100,100,100,100,-77,-93,32
59,2022-07-22-21:15:02,-74,-65,-70,100,-76,-74,-91,100,-69,100,100,-74,-78,-99,100,-79,-76,100,100,100,100,100,100,-80,-84,32
