index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-88.76
0,2022-07-23-14:34:41,-88,-80,100,100,-90,-60,100,100,-91,100,100,100,-90,-84,-93,100,-84,-86,100,100,100,100,100,100,-72,-75,35,
1,2022-07-23-14:34:46,-82,-70,100,100,-76,-58,100,100,100,100,100,100,-84,-84,100,100,-92,100,100,100,100,100,100,100,-61,-73,35,
2,2022-07-23-14:34:51,-88,-68,100,100,-80,-59,100,100,100,100,100,100,-88,-80,100,100,-92,100,100,100,100,100,100,100,-66,-74,35,
3,2022-07-23-14:34:56,-91,-71,100,100,-80,-59,100,100,100,100,100,100,-91,-89,100,100,-80,100,100,100,100,100,100,100,-61,-79,35,
4,2022-07-23-14:35:01,-83,-68,100,100,-88,-62,100,100,-94,100,100,100,-81,-88,100,100,-87,100,100,100,100,100,100,100,-64,-77,35,
5,2022-07-23-14:35:06,-86,-69,100,100,-77,-59,100,100,100,100,100,100,-94,-85,100,100,-87,100,100,100,100,100,100,100,-62,-78,35,
6,2022-07-23-14:35:11,-95,-69,100,100,-77,-59,100,100,-94,100,100,100,-82,-83,100,100,-90,100,100,100,100,100,100,100,-66,-84,35,
7,2022-07-23-14:35:16,-89,-71,100,100,-81,-59,100,100,100,100,100,100,-82,-84,100,100,-87,100,100,100,100,100,100,100,-74,-84,35,
8,2022-07-23-14:35:21,-88,-69,100,100,-77,-59,100,100,100,100,100,100,-93,-80,100,100,-88,100,100,100,100,100,100,100,-66,-78,35,
9,2022-07-23-14:35:26,-89,-69,100,100,-82,-59,100,100,100,100,100,100,100,-83,-93,100,-91,100,100,100,100,100,100,100,-74,-84,35,
10,2022-07-23-14:35:31,-89,-69,100,100,100,-59,100,100,100,100,100,100,-93,-83,-94,100,-86,100,100,100,100,100,100,100,-74,-84,35,
