index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-85.6
0,2022-07-23-14:26:46,-86,-77,100,100,-87,-67,100,100,-96,100,100,100,-79,-89,-94,100,-81,-90,100,100,100,100,100,100,-69,-80,35,
1,2022-07-23-14:26:51,-93,-68,100,100,100,-70,100,100,-88,100,100,100,-79,-85,-87,100,-77,-89,100,100,100,100,100,100,-65,-81,35,
2,2022-07-23-14:26:56,-80,-69,100,100,100,-70,100,100,100,100,100,100,-79,-80,-88,100,-87,-87,100,100,100,100,100,100,-66,-82,35,
3,2022-07-23-14:27:01,-88,-67,100,100,100,-69,100,100,100,100,100,100,-85,-78,-88,100,-79,-86,100,100,100,100,100,100,-66,-83,35,
4,2022-07-23-14:27:06,-87,-68,100,100,-89,-71,100,100,-91,100,100,100,-85,-89,-87,100,-77,-86,100,100,100,100,100,100,-58,-84,35,
5,2022-07-23-14:27:11,-80,-68,100,100,-89,-72,100,100,100,100,100,100,-80,-78,-87,100,-77,-86,100,100,100,100,100,100,-62,-79,35,
6,2022-07-23-14:27:16,-88,-74,100,100,-89,-70,100,100,-91,100,100,100,-85,100,-87,100,-78,-86,100,100,100,100,100,100,-66,-82,35,
7,2022-07-23-14:27:21,-88,-67,100,100,-96,-71,100,100,-90,100,100,100,-85,-89,-89,100,-77,-87,100,100,100,100,100,100,-66,-86,35,
8,2022-07-23-14:27:26,-80,-68,100,100,-89,-72,100,100,100,100,100,100,-79,-78,-88,100,-78,100,100,100,100,100,100,100,-66,-79,35,
9,2022-07-23-14:27:31,-81,-68,100,100,-94,-69,100,100,-96,100,100,100,-82,-93,-87,100,-77,-86,100,100,100,100,100,100,-66,-79,35,
