index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-19-21:24:48,100,100,100,-76,-88,100,-82,-92,100,-80,-60,-78,100,100,100,-84,100,-95,-85,-82,-70,100,-85,-88,100,100,7
1,2022-07-19-21:24:53,100,100,100,-76,100,100,100,100,100,-86,-54,-89,100,100,100,-84,100,100,-83,-85,-68,100,100,-72,100,100,7
2,2022-07-19-21:24:58,100,100,100,-73,-92,100,-81,-88,100,-72,-60,-84,100,100,100,-85,100,100,100,-81,-67,100,-88,-84,100,100,7
3,2022-07-19-21:25:03,100,100,100,-76,100,100,-101,100,100,-81,-59,-77,100,100,100,-88,100,100,-91,-80,-71,100,-83,-79,100,100,7
4,2022-07-19-21:25:08,100,100,-96,-76,100,100,-83,100,100,-80,-60,-80,100,100,100,-83,100,-98,-81,-77,-66,100,-84,-73,100,100,7
5,2022-07-19-21:25:13,100,100,100,-83,100,100,100,100,100,100,-62,-76,100,100,100,-90,100,100,-90,100,-71,100,-83,100,100,100,7
6,2022-07-19-21:25:18,100,100,100,-78,100,100,-83,100,100,-80,-59,-82,100,100,100,-85,100,100,-84,-76,-66,100,-86,-74,100,100,7
7,2022-07-19-21:25:23,100,100,100,-73,100,100,-82,-90,100,-73,-62,-81,100,100,100,-85,100,-96,-87,-82,-67,100,-84,-74,100,100,7
8,2022-07-19-21:25:28,100,100,100,-73,100,100,-83,-90,100,-80,-59,-77,100,100,100,-92,100,-96,-90,100,-71,100,-82,-81,100,100,7
9,2022-07-19-21:25:33,100,100,100,-78,100,100,-85,100,100,-90,-60,-80,100,100,100,-94,100,100,-84,-76,-66,100,100,-74,100,100,7
10,2022-07-19-21:25:38,100,100,100,-73,100,100,-82,-88,100,-73,-61,-83,100,100,100,-86,100,100,-87,-77,-67,100,-89,-86,100,100,7
11,2022-07-19-21:25:43,100,100,100,-73,100,100,-82,-94,100,-80,-59,-77,100,100,100,-88,100,-96,-89,-81,-70,100,-84,-81,100,100,7
12,2022-07-19-21:25:48,100,100,100,-78,100,100,-84,100,100,-94,-60,-80,100,100,100,-84,100,-98,-82,-77,-66,100,-85,-74,100,100,7
13,2022-07-19-21:25:53,100,100,100,-73,100,100,100,-96,100,-80,100,-77,100,100,100,-89,100,-97,-82,100,-66,100,100,-82,100,100,7
14,2022-07-19-21:25:58,100,100,100,-73,100,100,-84,-98,100,-91,-60,-80,100,100,100,-84,100,100,-90,-77,-66,100,-84,-74,100,100,7
15,2022-07-19-21:26:03,100,100,100,-73,-94,100,-82,100,100,-73,-61,-83,100,100,100,-87,100,100,-87,-81,-66,100,-86,-86,100,100,7
16,2022-07-19-21:26:08,100,100,100,-73,100,100,-82,-96,100,-79,-59,-76,100,100,100,-89,100,-98,-91,-81,-71,100,-83,-82,100,100,7
17,2022-07-19-21:26:13,100,100,100,100,100,100,100,-96,100,100,100,-83,100,100,100,100,100,100,100,-81,-71,100,100,100,100,100,7
18,2022-07-19-21:26:18,100,100,100,-73,100,100,-81,-96,100,-80,-59,-77,100,100,100,-87,100,100,-89,-80,-71,100,-83,-87,100,100,7
19,2022-07-19-21:26:23,100,100,100,-73,100,100,-85,-96,100,-94,-60,-80,100,100,100,-84,100,100,-89,-77,-65,100,-86,-74,100,100,7
20,2022-07-19-21:26:28,100,100,100,-73,100,100,-82,-89,100,-73,-61,-82,100,100,100,-87,100,100,-87,-81,-67,100,-86,-87,100,100,7
21,2022-07-19-21:26:33,100,100,100,-73,100,100,100,100,100,-73,-61,100,100,100,100,-86,100,100,100,-81,-67,100,100,100,100,100,7
22,2022-07-19-21:26:38,100,100,100,-73,100,100,-84,-88,100,-73,-60,-82,100,100,100,-86,100,100,-82,-81,-67,100,-86,-74,100,100,7
23,2022-07-19-21:26:43,100,100,100,-73,100,100,-82,-89,100,-80,-59,-77,100,100,100,-89,100,100,-90,-94,-70,100,-83,-82,100,100,7
24,2022-07-19-21:26:48,100,100,100,-78,100,100,-84,-97,100,-93,-60,-80,100,100,100,-84,100,-91,-82,-77,-65,100,-86,100,100,100,7
25,2022-07-19-21:26:53,100,100,100,100,100,100,-84,-98,100,-92,100,-80,100,100,100,-84,100,100,-82,-77,-66,100,-86,-74,100,100,7
26,2022-07-19-21:26:58,100,100,-96,-73,100,100,100,-96,100,-91,-59,-81,100,100,100,-84,100,100,-89,100,-71,100,-84,-74,100,100,7
27,2022-07-19-21:27:03,100,100,100,-78,-94,100,-84,-88,100,-73,-61,-83,100,100,100,-86,100,-92,-82,-82,-67,100,-85,-87,100,100,7
28,2022-07-19-21:27:08,100,100,100,-74,100,100,-81,-89,100,-80,-60,-76,100,100,100,-87,100,-97,-90,-81,-71,100,-89,-81,100,100,7
29,2022-07-19-21:27:13,100,100,100,-73,100,100,100,-97,100,-81,-60,-77,100,100,100,-89,100,-97,-90,100,-71,100,-83,100,100,100,7
30,2022-07-19-21:27:18,100,100,100,-73,100,100,-82,-89,100,-73,-61,-83,100,100,100,-86,100,100,-86,-81,-67,100,-89,-87,100,100,7
31,2022-07-19-21:27:23,100,100,100,-78,100,100,-84,-96,100,-91,-60,-77,100,100,100,-89,100,-92,-90,-81,-70,100,-86,-81,100,100,7
32,2022-07-19-21:27:28,100,100,100,-73,100,100,-82,-90,100,-73,-61,-83,100,100,100,-87,100,-91,-83,-81,-67,100,-89,-74,100,100,7
33,2022-07-19-21:27:33,100,100,100,-73,100,100,-82,-88,100,-73,-61,-82,100,100,100,-86,100,100,-86,-81,-67,100,-90,-87,100,100,7
34,2022-07-19-21:27:38,100,100,100,-80,100,100,-85,100,100,-91,-60,-79,100,100,100,-84,100,100,-82,-77,-66,100,-85,-74,100,100,7
35,2022-07-19-21:27:43,100,100,100,-73,100,100,-82,-89,100,-73,-60,-83,100,100,100,-87,100,100,-86,-80,-67,100,-90,-87,100,100,7
36,2022-07-19-21:27:48,100,100,-99,-73,100,100,100,-95,100,-90,-61,-80,100,100,100,-84,100,-92,-82,-76,-65,100,-83,-74,100,100,7
37,2022-07-19-21:27:53,100,100,100,-78,100,100,-84,-98,100,100,-60,-80,100,100,100,-84,100,-91,-82,-77,-66,100,-86,-74,100,100,7
38,2022-07-19-21:27:58,100,100,100,-73,100,100,100,100,100,-80,-59,-77,100,100,100,-89,100,-98,-89,100,-71,100,-83,-81,100,100,7
39,2022-07-19-21:28:03,100,100,-100,-78,100,100,-84,-97,100,-91,-60,-80,100,100,100,-84,100,-97,-82,-76,-66,100,-86,-74,100,100,7
40,2022-07-19-21:28:08,100,100,100,-73,100,100,-82,-97,100,-72,-59,-83,100,100,100,-87,100,-91,-89,-81,-71,100,-83,-87,100,100,7
41,2022-07-19-21:28:13,100,100,100,-73,100,100,100,100,100,-80,-59,-77,100,100,100,-89,100,-97,-89,100,-70,100,-84,-82,100,100,7
42,2022-07-19-21:28:18,100,100,100,-73,100,100,-81,-88,100,-73,-61,-83,100,100,100,-87,100,100,-86,-81,-67,100,-89,100,100,100,7
43,2022-07-19-21:28:23,100,100,100,-73,100,100,-81,-96,100,-80,-59,-77,100,100,100,-89,100,100,-89,-95,-71,100,-83,-82,100,100,7
44,2022-07-19-21:28:28,100,100,100,-78,100,100,-84,100,100,-95,-60,-80,100,100,100,-84,100,-91,-82,-77,-67,100,-85,-74,100,100,7
45,2022-07-19-21:28:33,100,100,100,-73,100,100,-82,-88,100,-73,-61,-83,100,100,100,-87,100,100,-86,-81,-67,100,-89,-87,100,100,7
46,2022-07-19-21:28:38,100,100,-98,-78,100,100,-84,100,100,-91,-60,-80,100,100,100,-83,100,100,-82,-77,-66,100,-86,-74,100,100,7
47,2022-07-19-21:28:43,100,100,100,-74,-93,100,-82,-89,100,-73,-61,-83,100,100,100,-87,100,-92,-87,-81,-67,100,100,-86,100,100,7
48,2022-07-19-21:28:48,100,100,100,-73,100,100,-82,-96,100,-80,-59,-77,100,100,100,-89,100,-96,-90,-95,-71,100,-83,-81,100,100,7
49,2022-07-19-21:28:53,100,100,-98,-78,100,100,-84,100,100,-91,-60,-81,100,100,100,-84,100,-92,-82,-77,-66,100,-86,-74,100,100,7
50,2022-07-19-21:28:58,100,100,100,100,100,100,100,-96,100,-80,-59,-77,100,100,100,-89,100,100,-90,100,-71,100,-84,100,100,100,7
51,2022-07-19-21:29:03,100,100,-98,-78,100,100,-84,-95,100,-97,-60,-80,100,100,100,-84,100,-97,-82,-77,-66,100,-83,-74,100,100,7
52,2022-07-19-21:29:08,100,100,100,-73,100,100,-82,-89,100,-73,-61,-83,100,100,100,-86,100,-92,-86,-81,-67,100,-90,-86,100,100,7
53,2022-07-19-21:29:13,100,100,100,100,100,100,100,-89,100,-73,-59,-82,100,100,100,-86,100,-97,-90,-80,-71,100,-83,100,100,100,7
54,2022-07-19-21:29:18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7
