index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-18-11:34:09,-87,-69,-89,-93,-68,-80,-86,-79,-72,-86,-94,-95,-91,-82,-77,-90,-82,-67,-75,-88,-90,100,-89,-91,-81,-85,25
1,2022-07-18-11:34:14,100,-66,-89,-86,-61,-85,-81,-85,-78,-86,-92,-94,100,-94,-70,100,-88,-70,-77,-89,-93,100,-86,100,-83,-89,25
2,2022-07-18-11:34:19,-90,-67,-92,-85,-56,-84,-87,-85,-74,-82,100,-93,-90,-93,-74,-93,-85,-65,-75,-86,-88,100,-78,100,-76,-84,25
3,2022-07-18-11:34:24,100,-69,-92,-87,100,-83,100,-84,100,100,-97,100,-90,100,100,100,100,100,-82,100,-86,100,-80,100,-77,-83,25
4,2022-07-18-11:34:29,-95,-66,-87,-86,-60,-84,-90,-87,-74,-84,100,-94,-102,-94,-77,-89,-83,-68,-79,-85,-86,100,-85,100,-85,-84,25
5,2022-07-18-11:34:34,-92,-69,-90,-90,-57,-87,-84,-80,-83,-80,-89,-85,100,-96,-67,100,-87,-67,-74,-84,-91,100,-80,-91,-79,-85,25
6,2022-07-18-11:34:39,-91,-66,-91,-88,-60,-91,-83,-86,-91,-84,-100,-92,100,-98,-69,-91,-92,-72,-80,-85,-91,100,-83,-90,-87,-89,25
7,2022-07-18-11:34:44,100,-66,-88,-88,-60,-91,-83,-85,100,100,-97,-94,100,100,-69,-91,100,-71,-79,-88,-90,100,-84,100,-89,100,25
8,2022-07-18-11:34:49,100,-72,-87,-94,-57,-91,-84,-80,-73,-87,-91,100,100,100,-66,-89,-92,-66,-73,100,-90,100,-81,-87,-82,-86,25
9,2022-07-18-11:34:54,100,-69,-90,-87,-56,-91,-83,-82,-72,-81,100,-94,100,100,-80,-93,-89,-69,-76,-84,-89,100,-82,100,-82,-85,25
