index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-18-11:09:56,-93,-72,-80,-89,-62,100,-81,-93,-80,-88,-92,-81,100,-99,-72,-93,-97,-76,-83,-86,-92,100,-82,-88,-98,-88,23
1,2022-07-18-11:10:01,-92,-69,-82,-88,-75,100,-76,-84,-78,-76,-97,-89,100,100,-50,-75,-88,-76,-75,-82,100,100,-82,-91,-94,-92,23
2,2022-07-18-11:10:06,100,-85,-96,-95,-73,100,-82,-94,-89,-88,100,-85,100,-99,-60,-84,-88,-88,-87,-85,-90,100,-81,-92,-93,100,23
3,2022-07-18-11:10:11,-100,-91,-87,100,-61,100,-91,-90,-80,-87,-92,100,100,100,-60,-84,100,-78,-77,-92,-88,100,-82,-92,100,100,23
4,2022-07-18-11:10:16,-94,-67,-82,-86,-64,100,-87,-86,-78,-80,100,-93,100,100,-55,-74,-91,-85,-78,-83,-91,100,-82,-88,-92,-87,23
5,2022-07-18-11:10:21,100,-77,-82,-94,-71,100,-88,-94,-91,-90,100,-88,100,100,-60,-88,-100,-83,-94,-88,100,100,-84,100,100,100,23
6,2022-07-18-11:10:26,100,-78,-82,-83,-62,100,-84,-86,-77,-79,-93,-88,100,100,-54,-75,-88,-76,-79,-84,-91,100,-80,-88,100,-91,23
7,2022-07-18-11:10:31,100,-77,100,-92,-70,100,-87,100,100,-88,100,-87,100,100,-60,-86,100,-84,-94,-87,100,100,-84,100,-94,100,23
8,2022-07-18-11:10:36,100,-77,-82,-83,-61,100,-84,-89,-77,-80,-92,-92,100,100,-52,-76,-87,-74,-80,-83,-90,100,-80,100,-96,-91,23
9,2022-07-18-11:10:41,-92,-68,-85,-90,-64,100,-83,-85,-78,-80,100,-92,100,100,-55,-75,-88,-83,-80,-82,-89,100,-85,-89,-95,-89,23
10,2022-07-18-11:10:46,100,-77,100,-94,-72,100,-86,-95,-91,-87,100,-89,100,100,-60,-88,100,-85,-92,-87,-88,100,-84,100,-96,-89,23
11,2022-07-18-11:10:51,-94,100,-84,-88,100,100,100,100,-78,-80,100,-93,100,100,100,100,100,-83,100,100,100,100,100,100,100,100,23
12,2022-07-18-11:10:56,-92,-76,-84,-94,-71,100,-85,-95,-93,-87,100,-88,100,100,-60,-88,-90,-87,-92,-82,-89,100,-84,100,-96,-89,23
13,2022-07-18-11:11:01,100,-77,-82,-84,-61,100,-84,-88,-76,-80,-92,-91,100,100,-53,-76,-87,-74,-80,-83,-90,100,-80,-88,-96,-91,23
14,2022-07-18-11:11:06,100,-68,-84,-88,-64,100,-84,-85,-78,-80,-92,-91,100,-97,-55,-74,-88,-84,-79,-82,-90,100,-85,-89,100,-89,23
15,2022-07-18-11:11:11,100,-68,-84,-87,-64,100,-85,100,-78,-80,100,100,100,100,-55,-76,100,-74,-79,-82,-88,100,-85,100,100,-89,23
16,2022-07-18-11:11:16,100,-68,-83,-87,-64,100,-83,-85,-78,-80,-94,-91,100,100,-55,-74,-89,-85,-78,-82,-90,100,-85,-89,100,-89,23
17,2022-07-18-11:11:21,-93,-77,-84,-93,-70,100,-87,-84,-93,-88,100,-88,100,100,-60,-87,-89,-84,-96,-87,-89,100,-84,100,100,-88,23
18,2022-07-18-11:11:26,100,-77,-82,-83,-61,100,-83,-88,-76,-80,-93,-90,100,100,-53,-76,-88,-75,-79,-83,-90,100,-80,-88,-97,-91,23
19,2022-07-18-11:11:31,100,-77,100,-83,-61,100,-84,-88,-77,-80,-92,-89,100,100,-53,-76,-88,-75,-78,100,-91,100,-80,100,100,-90,23
20,2022-07-18-11:11:36,100,-76,-82,-95,-62,100,-86,-89,-77,-80,-92,-88,100,100,-53,-75,100,-85,-78,-82,-89,100,-81,-88,-94,-90,23
21,2022-07-18-11:11:41,-92,-68,-83,-88,-65,100,-83,-84,-78,-80,-92,-89,100,100,-55,-74,-89,-86,-79,-83,-88,100,-84,-89,100,-91,23
22,2022-07-18-11:11:46,-91,-77,-83,-93,-71,100,-86,-85,-91,-87,100,-88,100,100,-60,-88,-89,-86,-94,-88,-88,100,-84,100,-94,100,23
23,2022-07-18-11:11:51,100,-77,100,-95,-70,100,-85,100,-92,-88,100,-87,100,100,-60,-88,-101,-87,-95,-88,100,100,-84,100,100,100,23
24,2022-07-18-11:11:56,-92,-68,-83,-87,-65,100,-83,-84,-90,-80,100,-91,100,100,-55,-74,-88,-86,-78,-83,-88,100,-84,100,100,-91,23
25,2022-07-18-11:12:01,100,-76,100,-84,-61,100,-85,-89,-76,-88,-92,-89,100,100,-53,-75,100,-75,-80,-83,-90,100,-80,-89,-96,-90,23
26,2022-07-18-11:12:06,-92,-68,-83,-87,-65,100,-82,-84,-78,-80,-92,-91,100,100,-56,-74,-89,-84,-78,-83,-90,100,-85,100,100,-90,23
27,2022-07-18-11:12:11,100,-68,-82,-87,-65,100,-83,-84,-77,-80,100,100,100,100,-55,-75,-89,-82,-78,-83,-88,100,-84,100,100,-92,23
28,2022-07-18-11:12:16,-97,-77,-82,-84,-61,100,-83,-89,-76,-80,-91,-89,100,100,-53,-75,-88,-75,-80,-83,-91,100,-80,-90,-95,-90,23
29,2022-07-18-11:12:21,-92,-77,-83,-94,-70,100,-83,-84,-91,-87,-95,-88,100,100,-55,-74,-90,-83,-94,-87,-88,100,-84,100,100,-90,23
30,2022-07-18-11:12:26,100,-77,-82,-83,-61,100,-83,-88,-76,-80,-92,-89,100,100,-53,-88,-87,-75,-80,-83,-91,100,-83,-88,-97,100,23
31,2022-07-18-11:12:31,100,-76,-82,-83,-61,100,-83,-88,-76,100,-92,-90,100,100,-53,-76,-88,-75,-80,100,-91,100,-80,100,100,-91,23
32,2022-07-18-11:12:36,100,-77,100,100,-71,100,-87,100,-93,-88,100,-87,100,100,-60,-88,100,-84,-92,-87,100,100,-84,100,-94,100,23
33,2022-07-18-11:12:41,100,-77,-83,-83,-61,100,-83,-88,-78,-80,-92,-89,100,100,-53,-76,-87,-75,-79,-82,-90,100,-82,-88,-94,-90,23
34,2022-07-18-11:12:46,-91,-77,-83,-94,-70,100,-86,-84,-91,-88,100,-88,100,100,-60,-89,-88,-86,-79,-88,-89,100,-83,100,100,-91,23
35,2022-07-18-11:12:51,100,-77,100,-93,-71,100,-86,100,-91,-89,100,-88,100,100,-60,-88,100,-86,-91,-88,100,100,-84,100,-96,100,23
36,2022-07-18-11:12:56,-94,-68,-83,-88,-65,100,-83,-84,-78,-80,100,100,100,100,-55,-74,-89,-83,-79,-83,-89,100,-85,100,-97,100,23
37,2022-07-18-11:13:01,100,-77,-83,-94,-72,100,-87,-84,-92,-87,100,-88,100,100,-60,-87,100,-85,-93,-87,100,100,-84,100,-96,-89,23
38,2022-07-18-11:13:06,100,-68,-83,-87,-65,100,-83,-85,-77,-80,100,-91,100,100,-55,-74,-89,-83,-79,-83,-88,100,-81,-88,-97,-89,23
39,2022-07-18-11:13:11,-93,-68,-83,-88,-64,100,-82,-85,-78,-80,100,-91,100,100,-55,-74,-91,-84,-80,-83,-88,100,-84,100,100,-90,23
40,2022-07-18-11:13:16,100,-76,-82,-83,-61,100,-83,-89,-76,-80,-92,-89,100,100,-53,-76,-88,-74,-80,-82,-90,100,-82,-88,100,-91,23
41,2022-07-18-11:13:21,-92,-68,-85,-87,-64,100,-83,-85,-78,-80,-96,-90,100,100,-54,-74,-91,-81,-78,-82,-89,100,-87,100,100,-90,23
42,2022-07-18-11:13:26,-91,-76,-92,-94,-61,100,-86,-89,-86,-87,100,-88,100,100,-60,-88,-89,-85,-78,-88,-90,100,-86,100,-95,-89,23
43,2022-07-18-11:13:31,100,-77,-81,-83,-61,100,-83,-89,-76,-80,-92,-89,100,100,-54,-75,-88,-76,-78,-82,-91,100,-82,-87,100,-89,23
44,2022-07-18-11:13:36,100,-76,100,-93,-71,100,-86,100,-92,-87,100,-87,100,100,-59,-89,100,-85,-94,-88,100,100,-84,100,-94,100,23
