index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-17-21:55:54,100,100,100,-87,-85,100,-89,-85,100,-80,-73,-80,100,100,-90,-85,100,-92,-84,-70,-49,100,-83,-89,100,100,9
1,2022-07-17-21:55:59,100,100,100,-80,100,100,-81,-97,100,-85,-71,100,100,100,100,-83,100,-92,-92,-76,-66,100,-87,-88,100,100,9
2,2022-07-17-21:56:04,100,100,100,-77,-84,100,-89,-86,100,-76,-66,-82,100,100,-91,-89,100,-81,-84,-65,-54,100,-82,-86,100,100,9
3,2022-07-17-21:56:09,100,100,100,-76,-96,100,-88,-91,100,-78,-76,-85,100,100,-92,-82,100,-85,-84,-85,-72,100,-78,-84,100,100,9
4,2022-07-17-21:56:14,100,100,100,-77,100,100,-82,100,100,-78,-78,100,100,100,100,-84,100,-86,-94,-82,-80,100,-92,-84,100,100,9
5,2022-07-17-21:56:19,100,100,100,-74,-87,100,-86,-87,100,-85,-61,-83,100,100,-90,-84,100,-80,-84,-64,-51,100,-75,100,100,100,9
6,2022-07-17-21:56:24,100,100,100,-77,100,100,-85,100,100,-78,-78,-83,100,100,-91,-84,100,-91,-96,-80,-65,100,-86,-82,100,100,9
7,2022-07-17-21:56:29,100,100,100,-75,-87,100,-86,-86,100,-76,-61,-81,100,100,-90,-83,100,-81,-84,-65,-51,100,-75,-83,100,100,9
8,2022-07-17-21:56:34,100,100,100,-76,-87,100,-86,-86,100,-87,-61,-82,100,100,-90,-83,100,-81,-84,-65,-51,100,-75,-92,100,100,9
9,2022-07-17-21:56:39,100,100,100,-78,-83,100,-87,-89,100,-77,-64,-77,100,100,-90,-88,100,100,-84,-73,-51,100,-80,-82,100,100,9
10,2022-07-17-21:56:44,100,100,100,-75,-86,100,-86,-86,100,-88,-61,-82,100,100,-90,-83,100,-81,-84,-65,-51,100,-76,-83,100,100,9
11,2022-07-17-21:56:49,100,100,100,-79,-87,100,-84,100,100,-79,-78,-77,100,100,-90,-87,100,-90,-84,-80,-74,100,-84,-82,100,100,9
12,2022-07-17-21:56:54,100,100,100,-79,-83,100,-87,-88,100,-77,-64,-77,100,100,-90,-87,100,100,-84,-73,-51,100,-80,-84,100,100,9
13,2022-07-17-21:56:59,100,100,100,-78,100,100,-84,100,100,-79,-77,100,100,100,100,-83,100,-91,-98,-80,-73,100,-84,-82,100,100,9
14,2022-07-17-21:57:04,100,100,100,-79,-83,100,-87,-90,100,-76,-64,-77,100,100,-90,-87,100,-92,-84,-73,-51,100,-80,-83,100,100,9
15,2022-07-17-21:57:09,100,100,100,-75,-87,100,-86,-86,100,-88,-61,-81,100,100,-90,-82,100,-80,-85,-65,-51,100,-76,-83,100,100,9
16,2022-07-17-21:57:14,100,100,100,-78,100,100,-84,100,100,-78,-77,100,100,100,100,-84,100,-91,-96,-80,-76,100,-84,-82,100,100,9
17,2022-07-17-21:57:19,100,100,100,-76,100,100,-88,-85,100,-87,-61,-81,100,100,100,-83,100,-81,-84,-65,-52,100,-76,100,100,100,9
18,2022-07-17-21:57:24,100,100,100,-78,100,100,-83,-86,100,-79,-77,-82,100,100,-91,-83,100,-91,-84,-79,-80,100,-86,-82,100,100,9
19,2022-07-17-21:57:29,100,100,100,-79,-83,100,-86,-90,100,-77,-64,-77,100,100,-90,-88,100,-90,-85,-73,-50,100,-80,-84,100,100,9
20,2022-07-17-21:57:34,100,100,100,-76,-87,100,-86,-86,100,-88,-61,-81,100,100,-91,-83,100,-81,-84,-65,-51,100,-75,100,100,100,9
