index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,
0,2022-07-23-13:56:09,-88,-76,-89,100,-77,-71,-97,100,-88,100,100,-94,-83,-96,100,-88,-87,-96,100,100,100,100,100,-62,-76,33,-87.26
1,2022-07-23-13:56:14,-88,-73,100,100,-76,-64,100,100,-86,100,100,-81,-80,-92,100,-93,-76,-92,100,100,100,100,100,-60,-82,33,
2,2022-07-23-13:56:19,-93,-68,100,100,-92,-66,100,100,-92,100,100,-80,-82,-95,100,-77,-78,100,100,100,100,100,100,-71,-76,33,
3,2022-07-23-13:56:24,-90,100,100,100,-90,-71,100,100,-92,100,100,-97,-82,-96,100,-89,-95,-99,100,100,100,100,100,-63,-76,33,
4,2022-07-23-13:56:29,-89,-68,100,100,-75,-65,100,100,-82,100,100,-79,-74,-88,100,-76,-75,100,100,100,100,100,100,-89,-74,33,
5,2022-07-23-13:56:34,100,-81,100,100,-94,-71,100,100,-92,100,100,-78,-81,-94,100,-87,-78,-96,100,100,100,100,100,-64,-82,33,
6,2022-07-23-13:56:39,-84,-74,100,100,-76,-63,100,100,-86,100,100,-79,-82,-89,100,-81,-77,-93,100,100,100,100,100,-59,-88,33,
7,2022-07-23-13:56:44,-91,-68,100,100,-76,-65,100,100,-82,100,100,-79,-74,-89,100,-77,-76,100,100,100,100,100,100,-84,-74,33,
8,2022-07-23-13:56:49,-81,-73,100,100,-78,-63,100,100,-87,100,100,-81,-80,100,100,-85,-77,-92,100,100,100,100,100,-59,100,33,
9,2022-07-23-13:56:54,-90,-67,100,100,-76,-66,100,100,-82,100,100,-79,-74,-90,100,-78,-76,-91,100,100,100,100,100,-83,-75,33,
10,2022-07-23-13:56:59,-90,-80,100,100,-90,-71,100,100,-93,100,100,100,-82,-94,100,-90,-94,100,100,100,100,100,100,-64,-76,33,
11,2022-07-23-13:57:04,-81,-73,100,100,-78,-63,100,100,-86,100,100,-80,-77,-95,100,-84,-77,-91,100,100,100,100,100,-60,-87,33,
12,2022-07-23-13:57:09,-94,-78,100,100,100,-71,100,100,-92,100,100,-97,-84,100,100,-92,100,100,100,100,100,100,100,-64,-75,33,
