index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-20:14:22,100,-80,-65,100,-93,100,-89,-84,-72,-98,-98,100,100,-90,100,100,-83,-66,100,100,100,100,100,-96,100,56
1,2022-07-22-20:14:27,100,-81,-71,100,100,100,-91,-94,-79,100,100,100,100,-87,100,100,100,-85,100,100,100,100,100,100,100,56
2,2022-07-22-20:14:32,100,-80,-65,100,-86,100,-87,-84,-60,100,100,100,100,-82,100,100,-86,-64,100,100,100,100,100,100,100,56
3,2022-07-22-20:14:37,100,-80,-68,100,-80,100,-91,-86,-62,100,100,100,100,-84,100,100,-82,-80,100,100,100,100,100,100,100,56
4,2022-07-22-20:14:42,100,-79,-84,100,-82,100,100,-94,-73,100,100,100,100,100,100,100,-86,-77,100,100,100,100,100,100,100,56
5,2022-07-22-20:14:47,100,-84,100,100,-78,100,100,100,-62,100,100,100,100,-85,100,100,-85,-72,100,100,100,100,100,100,100,56
6,2022-07-22-20:14:52,100,-80,-75,100,-82,100,-91,-87,-75,100,100,100,100,-91,100,100,-85,-71,100,100,100,100,100,100,100,56
7,2022-07-22-20:14:57,100,-78,-65,100,-82,100,-92,-83,-59,100,100,100,100,-82,100,100,-85,-63,100,100,100,100,100,100,100,56
8,2022-07-22-20:15:02,100,-83,-66,100,-80,100,-90,100,-62,100,100,100,100,-90,100,100,-83,-70,100,100,100,100,100,100,100,56
9,2022-07-22-20:15:07,100,-79,-72,100,-89,100,100,-85,-60,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,56
10,2022-07-22-20:15:12,100,-82,-64,100,-79,100,-91,-87,-62,100,100,100,100,-85,100,100,-81,-77,100,100,100,100,100,100,100,56
11,2022-07-22-20:15:17,100,-78,-76,100,-82,100,-90,-88,-75,100,100,100,100,-89,100,100,-87,-77,100,100,100,100,100,100,100,56
12,2022-07-22-20:15:22,100,-78,-68,100,-87,100,-97,-86,-59,100,100,100,100,-82,100,100,-86,-63,100,100,100,100,100,-94,100,56
13,2022-07-22-20:15:27,100,100,-81,100,100,100,100,100,-72,100,100,100,100,100,100,100,100,-64,100,100,100,100,100,100,100,56
14,2022-07-22-20:15:32,100,-77,-68,100,-85,100,100,-86,-60,100,100,100,100,-81,100,100,-86,-64,100,100,100,100,100,100,100,56
15,2022-07-22-20:15:37,100,-83,-68,100,-79,100,-89,-90,-62,100,100,100,100,-84,100,100,-81,-70,100,100,100,100,100,100,100,56
16,2022-07-22-20:15:42,100,-80,-76,100,-84,100,-90,-89,-73,100,100,100,100,-91,100,100,-85,-80,100,100,100,100,100,100,100,56
17,2022-07-22-20:15:47,100,-79,-77,100,100,100,-89,100,-74,100,100,100,100,100,100,100,-86,-79,100,100,100,100,100,100,100,56
18,2022-07-22-20:15:52,100,-79,-74,100,-83,100,-88,-86,-62,100,100,100,100,-89,100,100,-87,-77,100,100,100,100,100,100,100,56
19,2022-07-22-20:15:57,100,-78,-65,100,-87,100,-90,-84,-59,100,100,100,100,-82,100,100,-82,-65,100,100,100,100,100,100,100,56
20,2022-07-22-20:16:02,100,-82,-64,100,-87,100,-91,-87,-62,100,100,100,100,-87,100,100,-83,-80,100,100,100,100,100,100,100,56
21,2022-07-22-20:16:07,100,100,-66,100,-80,100,-90,-87,-62,100,100,100,100,-86,100,100,-83,-78,100,100,100,100,100,100,100,56
22,2022-07-22-20:16:12,100,-82,-64,100,-87,100,-94,-87,-62,100,100,100,100,-87,100,100,-85,-77,100,100,100,100,100,100,100,56
23,2022-07-22-20:16:17,100,-79,-76,100,-79,100,-89,-84,-74,100,100,100,100,-89,100,100,-82,-79,100,100,100,100,100,100,100,56
24,2022-07-22-20:16:22,100,-78,-70,100,-86,100,-96,-85,-60,100,100,100,100,-85,100,100,-85,-64,100,100,100,100,100,100,100,56
25,2022-07-22-20:16:27,100,-79,-68,100,-86,100,100,-85,100,100,100,100,100,-82,100,100,-86,-64,100,100,100,100,100,100,100,56
26,2022-07-22-20:16:32,100,-80,-75,100,-82,100,100,-82,-75,100,100,100,100,-88,100,100,-88,-83,100,100,100,100,100,100,100,56
27,2022-07-22-20:16:37,100,-80,-67,100,-79,100,-96,-83,-62,100,100,100,100,-82,100,100,-80,-64,100,100,100,100,100,100,100,56
28,2022-07-22-20:16:42,100,-77,-82,100,-83,100,-89,-96,-73,100,100,100,100,-88,100,100,-82,-76,100,100,100,100,100,100,100,56
29,2022-07-22-20:16:47,100,-78,-83,100,-82,100,100,-95,-72,100,100,100,100,-90,100,100,-83,-75,100,100,100,100,100,100,100,56
30,2022-07-22-20:16:52,100,-85,-70,100,-78,100,-91,-89,-61,100,100,100,100,-82,100,100,-80,-69,100,100,100,100,100,100,100,56
31,2022-07-22-20:16:57,100,-78,-73,100,-82,100,-96,-91,-59,100,100,100,100,-85,100,100,-85,-62,100,100,100,100,100,100,100,56
32,2022-07-22-20:17:02,100,-83,-71,100,-83,100,-88,-85,-62,100,100,100,100,-83,100,100,-82,-73,100,100,100,100,100,100,100,56
33,2022-07-22-20:17:07,100,-83,100,100,-81,100,-88,-91,-62,100,100,100,100,-82,100,100,-83,-73,100,100,100,100,100,100,100,56
34,2022-07-22-20:17:12,100,-78,-73,100,-88,100,-93,100,-58,100,100,100,100,-82,100,100,-87,-63,100,100,100,100,100,100,100,56
35,2022-07-22-20:17:17,100,-80,-71,100,-80,100,-88,-92,-62,100,100,100,100,-84,100,100,-84,-76,100,100,100,100,100,100,100,56
36,2022-07-22-20:17:22,100,-79,-74,100,-87,100,-98,-84,-58,100,100,100,100,-82,100,100,-84,-62,100,100,100,100,100,100,100,56
37,2022-07-22-20:17:27,100,-80,-68,100,-85,100,-96,-84,-60,100,100,100,100,-84,100,100,-81,-65,100,100,100,100,100,-96,100,56
38,2022-07-22-20:17:32,100,-80,-74,100,100,100,100,-87,-76,100,100,100,100,-88,100,100,-87,-82,100,100,100,100,100,100,100,56
39,2022-07-22-20:17:37,100,-80,-65,100,-89,100,-96,-86,-59,100,100,100,100,-83,100,100,-87,-64,100,100,100,100,100,-96,100,56
40,2022-07-22-20:17:42,100,-80,-65,100,-82,100,-93,-85,-63,100,100,100,100,-85,100,100,-85,-78,100,100,100,100,100,100,100,56
41,2022-07-22-20:17:47,100,-80,-72,100,-82,100,100,-93,-73,100,100,100,100,-88,100,100,-85,-78,100,100,100,100,100,100,100,56
42,2022-07-22-20:17:52,100,-82,-66,100,-79,100,-94,100,-63,100,100,100,100,-85,100,100,-82,-71,100,100,100,100,100,100,100,56
43,2022-07-22-20:17:57,100,-80,-73,100,-82,100,-92,-94,-72,100,100,100,100,-88,100,100,-85,-78,100,100,100,100,100,100,100,56
44,2022-07-22-20:18:02,100,-81,-65,100,-85,100,-97,-85,-59,100,100,100,100,-82,100,100,-85,-64,100,100,100,100,100,-97,100,56
45,2022-07-22-20:18:07,100,-81,-65,100,-79,100,-93,100,-63,100,100,100,100,-85,100,100,-82,-70,100,100,100,100,100,100,100,56
46,2022-07-22-20:18:12,100,-80,-65,100,100,100,-96,-85,-59,100,100,100,100,-82,100,100,-85,100,100,100,100,100,100,100,100,56
47,2022-07-22-20:18:17,100,-83,-69,100,-80,100,-88,-90,-62,100,100,100,100,-84,100,100,-79,-72,100,100,100,100,100,100,100,56
48,2022-07-22-20:18:22,100,-78,-74,100,-82,100,-87,-88,-77,100,100,100,100,-89,100,100,-91,-80,100,100,100,100,100,100,100,56
49,2022-07-22-20:18:27,100,-80,-72,100,-88,100,100,-84,-59,100,100,100,100,-83,100,100,-82,-63,100,100,100,100,100,-97,100,56
50,2022-07-22-20:18:32,100,-78,-74,100,-82,100,100,-89,-74,100,100,100,100,100,100,100,-93,-82,100,100,100,100,100,100,100,56
51,2022-07-22-20:18:37,100,-79,-71,100,-85,100,100,-85,-59,100,100,100,100,-83,100,100,-82,-63,100,100,100,100,100,100,100,56
52,2022-07-22-20:18:42,100,-85,-69,100,-78,100,-88,-91,-61,100,100,100,100,-86,100,100,-81,-71,100,100,100,100,100,100,100,56
53,2022-07-22-20:18:47,100,-78,-74,100,-82,100,100,-88,-79,100,100,100,100,-89,100,100,-93,-78,100,100,100,100,100,100,100,56
54,2022-07-22-20:18:52,100,-84,100,100,100,100,-88,100,-62,100,100,100,100,-86,100,100,-81,-71,100,100,100,100,100,100,100,56
55,2022-07-22-20:18:57,100,-78,-75,100,-82,100,-88,-89,-75,100,100,100,100,-90,100,100,-90,-82,100,100,100,100,100,100,100,56
56,2022-07-22-20:19:02,100,-80,-71,100,-82,100,-93,-84,-59,100,100,100,100,-83,100,100,-83,-62,100,100,100,100,100,100,100,56
57,2022-07-22-20:19:07,100,-84,-69,100,-80,100,-87,-91,-62,100,100,100,100,-85,100,100,-81,-73,100,100,100,100,100,100,100,56
58,2022-07-22-20:19:12,100,100,-70,100,-79,100,-89,-84,100,100,100,100,100,-84,100,100,-85,100,100,100,100,100,100,100,100,56
59,2022-07-22-20:19:17,100,-83,-70,100,-79,100,-90,-90,-62,100,100,100,100,-82,100,100,-81,-70,100,100,100,100,100,100,100,56
