RFstar_9120,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
34,2022-07-22-14:09:13,-90,-56,-86,100,-59,-86,-88,-88,-72,100,100,-95,-98,-93,-80,-91,-91,-62,-74,100,100,100,-88,100,-88,-89,50
35,2022-07-22-14:09:18,-91,-56,-86,100,-72,-88,-88,-88,-72,100,100,-96,100,-92,-74,-90,-88,-74,-78,100,-94,100,100,100,-84,-89,50
36,2022-07-22-14:09:23,100,-56,-86,100,-73,-86,-89,-92,-72,100,100,-88,100,100,-74,-85,-89,-68,-74,100,-94,100,100,100,-88,-89,50
37,2022-07-22-14:09:28,-91,-56,-86,100,-59,-87,-88,-88,-72,100,100,-88,-93,-96,-74,100,-89,-68,-74,100,100,100,-89,100,-94,-89,50
38,2022-07-22-14:09:33,-90,-55,-86,100,-72,100,100,-88,-72,100,100,-88,-93,-93,-74,-85,-92,-68,-83,100,100,100,-88,100,100,-94,50
39,2022-07-22-14:09:38,-89,-56,-86,100,-61,100,-88,-88,-65,100,100,-95,100,100,-81,-90,-92,-74,-78,100,-93,100,100,100,-84,-89,50
40,2022-07-22-14:09:43,-90,-55,100,100,-59,100,100,-92,-72,100,100,-88,100,-93,-80,-91,-89,-68,-84,100,-93,100,100,100,-92,100,50
41,2022-07-22-14:09:48,-92,-56,-99,100,-59,-88,-88,-88,-72,100,100,-88,100,-93,-80,-85,-89,-74,-74,100,-93,100,100,100,-84,100,50
42,2022-07-22-14:09:53,100,-56,-86,100,-61,-88,-88,-91,-65,100,100,100,100,-93,-81,-90,-89,-62,-84,100,-94,100,100,100,-84,-89,50
43,2022-07-22-14:09:58,-91,-56,100,100,-72,100,100,-92,-65,100,100,-88,100,100,-74,-90,-89,-74,-78,100,100,100,-88,100,-93,100,50
44,2022-07-22-14:10:03,-92,-55,-86,100,-61,-86,-88,-88,-72,100,100,-88,100,100,-74,-85,-88,-74,-74,100,100,100,100,100,-84,-95,50
45,2022-07-22-14:10:08,100,-55,-86,100,-61,-88,-88,-88,-72,100,100,-96,-99,100,-80,-90,-91,-62,-79,100,100,100,-88,100,-88,-95,50
46,2022-07-22-14:10:13,100,-56,-86,100,-61,-88,-88,-88,-72,100,100,100,-97,100,-74,-91,-89,-62,-74,100,-93,100,100,100,-87,-95,50
47,2022-07-22-14:10:18,-92,-56,-86,100,-72,100,-88,-92,-72,100,100,100,100,100,-81,-91,-89,-74,-84,100,100,100,-88,100,-93,-95,50
48,2022-07-22-14:10:23,100,-55,-86,100,-72,-88,-87,-91,-65,100,100,100,-93,100,-74,-90,-89,-74,-83,100,100,100,100,100,-88,-89,50
