index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-19-18:29:22,-85,-72,-83,-89,-63,-90,-80,-94,-71,-91,-90,-87,-97,-90,-68,-93,-85,-71,-76,-88,-96,100,-94,-91,-83,-92,24
1,2022-07-19-18:29:27,-93,-67,-84,-91,-67,-89,-89,100,-71,-87,-90,-93,-96,-96,-65,-87,-91,-74,-76,-83,-91,100,-84,100,-97,-88,24
2,2022-07-19-18:29:32,-87,-84,-79,-91,-64,100,-77,-91,-69,-82,100,-77,-93,-92,-62,-86,-87,-72,-76,-90,-87,100,-80,100,-83,-95,24
3,2022-07-19-18:29:37,100,-79,-82,-90,-62,100,-78,-92,-70,-78,-91,-75,-92,-91,-57,-87,-90,-72,-76,-89,-95,100,-80,100,-84,100,24
4,2022-07-19-18:29:42,100,-66,-83,-89,-67,100,-88,100,-89,-82,100,-86,-92,-93,-62,-88,100,-86,-94,-90,-90,100,-82,100,-91,-93,24
5,2022-07-19-18:29:47,-87,-93,-79,100,-65,100,-80,-93,-72,-86,100,-74,100,-92,-60,-84,-86,-71,-83,-86,-87,100,-78,100,-83,-98,24
6,2022-07-19-18:29:52,-88,-65,-83,-88,-68,100,-87,-94,-70,-85,-94,-91,-94,100,-62,-87,-88,-78,-94,-91,-96,100,-83,-90,-88,-90,24
7,2022-07-19-18:29:57,100,-66,-85,-94,-68,100,-88,-94,-93,-84,100,-87,-93,100,-62,-88,-97,-77,-93,-89,-91,100,100,100,-95,100,24
8,2022-07-19-18:30:02,-89,-69,-82,-90,-60,100,-81,100,-72,-82,100,-75,100,100,-63,100,-92,-75,-75,-84,-88,100,-86,100,100,-86,24
9,2022-07-19-18:30:07,-92,-66,-84,-92,-68,100,-86,-92,-84,-83,-93,-90,-91,-94,-63,-88,-96,-79,-92,100,-92,100,-82,100,-96,-86,24
10,2022-07-19-18:30:12,-90,-68,-82,-89,-64,100,-80,-91,-69,-84,-96,-76,-93,-96,-61,-86,-87,-73,-77,-85,-88,100,-79,100,-89,-96,24
11,2022-07-19-18:30:17,-91,-71,-81,-90,-61,-91,-84,-90,-70,-81,100,-75,-90,100,-62,-86,100,-72,-76,-84,-91,100,-81,100,-85,-84,24
12,2022-07-19-18:30:22,-88,-90,-78,-92,-63,100,-76,-91,-69,-79,100,-74,-91,-88,-57,-84,-87,-72,-76,-86,-90,100,-79,-98,-83,100,24
