index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-21:04:40,-95,-73,-87,100,-75,-91,-86,-88,-68,100,-91,100,100,-85,100,-90,-83,-96,100,100,100,100,100,-93,-97,54
1,2022-07-22-21:04:45,100,-65,-83,100,-73,100,-87,-89,-77,100,100,-98,100,-74,100,-93,-89,-87,100,100,100,100,100,-86,-89,54
2,2022-07-22-21:04:50,100,-62,-74,100,-67,100,-85,-88,-64,100,100,100,100,-76,100,-94,-86,-88,100,100,100,100,100,-83,-94,54
3,2022-07-22-21:04:55,100,-61,-82,100,-67,-96,-86,-89,-66,100,100,100,100,-74,100,-93,-72,-87,100,100,100,100,100,-91,100,54
4,2022-07-22-21:05:00,100,-61,-79,100,-73,-94,-86,-90,-80,100,100,100,100,-75,100,100,-82,-87,100,100,100,100,100,-86,100,54
5,2022-07-22-21:05:05,100,-63,-81,100,-74,100,-86,-92,-77,100,100,100,100,-87,100,-93,-88,-86,100,100,100,100,100,-86,100,54
6,2022-07-22-21:05:10,100,-61,-77,100,-73,-89,-86,100,-62,100,100,100,100,-74,100,-91,-82,-87,100,100,100,100,100,-85,100,54
7,2022-07-22-21:05:15,100,-60,-86,100,-77,100,-89,-90,-66,100,100,100,100,-76,100,-97,-83,-84,100,100,100,100,100,-88,-94,54
8,2022-07-22-21:05:20,100,-59,-79,100,-68,-89,100,-90,-69,100,100,100,100,-74,100,-96,-78,-91,100,100,100,100,100,-90,-95,54
9,2022-07-22-21:05:25,100,-59,-81,100,-68,100,-89,-90,-68,100,100,100,100,-86,100,-98,-78,-88,100,100,100,100,100,-90,-94,54
10,2022-07-22-21:05:30,100,-63,-77,100,-73,-89,100,-89,-73,100,100,100,100,-86,100,-96,-77,-81,100,100,100,100,100,-90,-88,54
