index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-81.9
0,2022-07-23-14:13:39,-86,-83,-96,100,-88,-69,100,100,-91,100,100,100,-85,-85,-89,100,-92,-94,-98,100,100,100,100,100,-62,-82,34,
1,2022-07-23-14:13:44,-81,-82,100,100,-87,-72,100,100,100,100,100,100,-77,-78,-89,100,100,100,100,100,100,100,100,100,-62,-66,34,
2,2022-07-23-14:13:49,-80,100,100,100,-92,100,100,100,100,100,100,100,-77,-77,-89,100,100,100,100,100,100,100,100,100,-55,-66,34,
3,2022-07-23-14:13:54,-84,-86,100,100,-82,-71,100,100,100,100,100,100,-82,-85,-95,100,-89,-87,100,100,100,100,100,100,-53,-80,34,
4,2022-07-23-14:13:59,-80,-76,100,100,100,-61,100,100,100,100,100,100,-76,-79,100,100,-78,-88,100,100,100,100,100,100,-53,-66,34,
5,2022-07-23-14:14:04,-87,-88,100,100,-91,-69,100,100,-92,100,100,100,-84,-88,-94,100,100,-91,100,100,100,100,100,100,-64,-80,34,
6,2022-07-23-14:14:09,-87,-83,100,100,100,-69,100,100,100,100,100,100,-80,100,100,100,-90,100,100,100,100,100,100,100,-52,-68,34,
7,2022-07-23-14:14:14,-81,-76,100,100,-95,-62,100,100,100,100,100,100,-78,-78,-88,100,-80,-88,100,100,100,100,100,100,-54,-70,34,
8,2022-07-23-14:14:19,-82,-77,100,100,-81,-69,100,100,100,100,100,100,-82,-85,100,100,-90,-89,100,100,100,100,100,100,-53,-81,34,
9,2022-07-23-14:14:24,-79,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,-94,100,100,100,100,100,100,-52,-67,34,
10,2022-07-23-14:14:29,-80,-82,100,100,100,100,100,100,100,100,100,100,-77,100,100,100,-81,100,100,100,100,100,100,100,-53,100,34,
11,2022-07-23-14:14:34,-84,-83,100,100,-83,-72,100,100,100,100,100,100,-82,-79,-95,100,-90,-88,100,100,100,100,100,100,-53,-66,34,
12,2022-07-23-14:14:39,-82,-82,100,100,-88,-62,100,100,100,100,100,100,-77,-78,-89,100,-81,-95,100,100,100,100,100,100,-54,-70,34,
13,2022-07-23-14:14:44,-84,-87,100,100,-82,-69,100,100,-91,100,100,100,-82,-86,100,100,-88,-88,100,100,100,100,100,100,-54,-81,34,
14,2022-07-23-14:14:49,100,-87,100,100,-82,100,100,100,100,100,100,100,-83,-86,-96,100,-89,-89,100,100,100,100,100,100,-53,100,34,
15,2022-07-23-14:14:54,-84,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,100,100,-78,-88,100,100,100,100,100,100,-54,-70,34,
16,2022-07-23-14:14:59,-83,-82,100,100,-82,-69,100,100,100,100,100,100,-77,-86,-88,100,-82,-89,100,100,100,100,100,100,-53,-66,34,
17,2022-07-23-14:15:04,-82,-77,100,100,-88,-62,100,100,-93,100,100,100,-76,-78,-89,100,-77,-89,100,100,100,100,100,100,-53,-70,34,
18,2022-07-23-14:15:09,-82,-77,100,100,100,-62,100,100,100,100,100,100,-76,-78,-95,100,-77,-90,100,100,100,100,100,100,-54,-70,34,
19,2022-07-23-14:15:14,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,-94,100,100,100,100,100,100,-53,-66,34,
20,2022-07-23-14:15:19,-82,-77,100,100,-89,-69,100,100,100,100,100,100,-76,-78,-95,100,-77,-89,100,100,100,100,100,100,-54,-70,34,
21,2022-07-23-14:15:24,-83,-82,100,100,-90,-72,100,100,100,100,100,100,-78,-88,-88,100,-89,-88,100,100,100,100,100,100,-53,-78,34,
22,2022-07-23-14:15:29,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-80,-88,100,-81,100,100,100,100,100,100,100,-53,-66,34,
23,2022-07-23-14:15:34,-82,-88,100,100,-82,-69,100,100,100,100,100,100,-82,-85,-96,100,-89,-88,100,100,100,100,100,100,-53,-80,34,
24,2022-07-23-14:15:39,-80,-82,100,100,-90,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,100,100,100,100,100,100,100,-54,-81,34,
25,2022-07-23-14:15:44,-84,-89,100,100,-83,-62,100,100,-92,100,100,100,-82,-85,100,100,-89,-89,100,100,100,100,100,100,-53,-70,34,
26,2022-07-23-14:15:49,-84,-88,100,100,-82,-69,100,100,100,100,100,100,-82,-86,-94,100,-89,-88,100,100,100,100,100,100,-53,-80,34,
27,2022-07-23-14:15:54,-82,-77,100,100,-88,-62,100,100,-91,100,100,100,-76,-78,100,100,-77,-88,100,100,100,100,100,100,-53,-70,34,
28,2022-07-23-14:15:59,-84,-88,100,100,-83,-69,100,100,100,100,100,100,-82,-85,-96,100,-90,-92,100,100,100,100,100,100,-53,-80,34,
29,2022-07-23-14:16:04,-80,-82,100,100,-88,-71,100,100,100,100,100,100,-76,-78,-88,100,-81,-89,100,100,100,100,100,100,-53,-66,34,
30,2022-07-23-14:16:09,-82,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,-96,100,-76,-88,100,100,100,100,100,100,-53,-70,34,
31,2022-07-23-14:16:14,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,100,100,100,100,100,100,100,-53,-66,34,
32,2022-07-23-14:16:19,-82,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,-88,100,-77,-87,100,100,100,100,100,100,-53,-66,34,
33,2022-07-23-14:16:24,-84,-87,100,100,-83,-69,100,100,100,100,100,100,-82,-86,-95,100,-89,-88,100,100,100,100,100,100,-53,-80,34,
34,2022-07-23-14:16:29,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-82,-93,100,100,100,100,100,100,-53,-66,34,
35,2022-07-23-14:16:34,-84,-88,100,100,-82,-69,100,100,100,100,100,100,100,-86,-96,100,-90,-89,100,100,100,100,100,100,-53,-80,34,
36,2022-07-23-14:16:39,-80,-82,100,100,-82,-72,100,100,100,100,100,100,-78,-78,-88,100,-81,-88,100,100,100,100,100,100,-53,-66,34,
37,2022-07-23-14:16:44,-82,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-79,100,100,-77,-88,100,100,100,100,100,100,-54,-70,34,
38,2022-07-23-14:16:49,-84,-88,100,100,-82,-71,100,100,100,100,100,100,-82,-86,-95,100,-90,-88,100,100,100,100,100,100,-54,-80,34,
39,2022-07-23-14:16:54,-82,-77,100,100,-88,-62,100,100,100,100,100,100,-76,100,-98,100,-77,100,100,100,100,100,100,100,-53,-70,34,
40,2022-07-23-14:16:59,-84,-88,100,100,-83,-69,100,100,-92,100,100,100,-83,-86,-97,100,-89,-88,100,100,100,100,100,100,-54,-80,34,
41,2022-07-23-14:17:04,-80,-82,100,100,-83,-71,100,100,100,100,100,100,-77,-78,-88,100,-82,-89,100,100,100,100,100,100,-55,-66,34,
42,2022-07-23-14:17:09,-82,-77,100,100,-89,-62,100,100,-91,100,100,100,-76,-78,-89,100,-77,-88,100,100,100,100,100,100,-54,-70,34,
43,2022-07-23-14:17:14,-80,-82,100,100,100,-72,100,100,100,100,100,100,100,-78,100,100,-81,100,100,100,100,100,100,100,100,-66,34,
44,2022-07-23-14:17:19,-82,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,-90,100,-77,-88,100,100,100,100,100,100,-54,-70,34,
45,2022-07-23-14:17:24,-84,-88,100,100,-82,-69,100,100,100,100,100,100,-82,-86,-95,100,-89,-88,100,100,100,100,100,100,-53,-80,34,
46,2022-07-23-14:17:29,-80,-83,100,100,-84,-71,100,100,100,100,100,100,-77,-78,100,100,-81,-89,100,100,100,100,100,100,-53,-66,34,
47,2022-07-23-14:17:34,-84,-89,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,-81,100,100,100,100,100,100,100,-53,-80,34,
48,2022-07-23-14:17:39,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,-88,100,100,100,100,100,100,-53,-66,34,
49,2022-07-23-14:17:44,-82,-76,100,100,-88,-62,100,100,-91,100,100,100,-77,-78,-88,100,-77,-88,100,100,100,100,100,100,-54,-70,34,
50,2022-07-23-14:17:49,-84,-88,100,100,-82,-69,100,100,100,100,100,100,-82,-85,100,100,-89,-89,100,100,100,100,100,100,-56,-81,34,
51,2022-07-23-14:17:54,100,-87,100,100,-83,-69,100,100,100,100,100,100,-83,-87,100,100,-90,-89,100,100,100,100,100,100,100,-81,34,
52,2022-07-23-14:17:59,-85,-76,100,100,-83,-69,100,100,-92,100,100,100,-82,-86,-93,100,-90,-88,100,100,100,100,100,100,-55,-81,34,
53,2022-07-23-14:18:04,-80,-82,100,100,-90,-71,100,100,100,100,100,100,-83,-78,-88,100,-82,-89,100,100,100,100,100,100,-54,-66,34,
54,2022-07-23-14:18:09,-82,-77,100,100,-89,-62,100,100,-94,100,100,100,-77,-78,-88,100,-77,-89,100,100,100,100,100,100,-53,-70,34,
55,2022-07-23-14:18:14,100,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,100,100,-77,-88,100,100,100,100,100,100,-53,100,34,
56,2022-07-23-14:18:19,-82,-82,100,100,-90,-62,100,100,100,100,100,100,-77,-78,-88,100,-81,100,100,100,100,100,100,100,-53,-67,34,
57,2022-07-23-14:18:24,-83,-88,100,100,-82,-69,100,100,-94,100,100,100,-82,-86,-95,100,-89,-89,100,100,100,100,100,100,-54,-80,34,
58,2022-07-23-14:18:29,-80,-82,100,100,-82,-72,100,100,100,100,100,100,-77,-78,-94,100,-81,-89,100,100,100,100,100,100,-53,-66,34,
59,2022-07-23-14:18:34,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,100,100,100,100,100,100,100,100,-66,34,
