index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-19-17:16:23,100,-81,-76,-98,-75,100,-84,-80,-76,-95,-95,-87,100,100,-79,-96,-100,-65,-69,-88,-91,100,-98,-90,-100,100,27
1,2022-07-19-17:16:28,100,-92,-83,-89,-81,100,-79,-92,-74,100,-98,-95,100,100,-77,-91,100,-77,-88,100,-99,100,100,100,-94,100,27
2,2022-07-19-17:16:33,100,-73,-71,-82,-89,100,-85,-82,-78,-80,-93,-82,100,100,-78,-88,100,-85,-73,100,100,100,100,100,-82,100,27
3,2022-07-19-17:16:38,100,-73,-77,-82,-85,100,-85,-80,-79,-81,-97,100,100,100,-78,-92,100,-85,-68,100,100,100,100,100,-96,100,27
4,2022-07-19-17:16:43,100,-73,-74,-86,-81,100,-79,-78,-74,-86,-92,-82,100,100,-79,-87,100,-78,-66,-89,100,100,100,100,-81,100,27
5,2022-07-19-17:16:48,100,-73,-77,-82,-84,100,-85,-80,-78,-80,-92,-88,100,100,-78,-91,-98,-83,-67,-90,100,100,100,-94,-92,100,27
6,2022-07-19-17:16:53,100,-89,-73,-86,-79,100,-85,-92,-85,-94,-93,-82,100,100,-75,-90,100,-79,-85,100,-94,100,100,-91,-95,100,27
7,2022-07-19-17:16:58,100,-72,-73,-86,-81,100,-80,-78,-74,-93,-92,-85,100,100,-78,100,100,-77,-67,-89,100,100,100,100,-81,100,27
8,2022-07-19-17:17:03,100,-91,-84,-89,-80,100,-85,-93,-85,-92,-97,-94,100,100,-76,-88,100,-80,-85,100,100,100,100,-93,100,100,27
9,2022-07-19-17:17:08,100,-72,-73,-85,-81,100,-80,-78,-74,-85,-94,-83,100,100,-78,-87,100,-77,-66,100,-95,100,100,-92,-81,100,27
10,2022-07-19-17:17:13,100,-73,-83,-83,-81,100,-84,-80,-78,-81,-96,-89,100,100,-78,-92,100,-85,-68,-91,100,100,100,100,-94,100,27
11,2022-07-19-17:17:18,100,-91,-84,-92,-80,100,-84,-92,-84,-97,100,-93,100,100,-77,-89,100,-80,-84,100,-95,100,100,-92,-93,100,27
12,2022-07-19-17:17:23,100,-73,-77,100,100,100,-85,-80,-78,-81,100,-88,100,100,-78,100,100,100,-68,100,100,100,100,100,100,100,27
13,2022-07-19-17:17:28,100,-90,-83,-88,-80,100,-85,-93,-85,-93,-97,-94,100,100,-77,-89,100,-79,-84,-90,-96,100,100,100,-94,100,27
14,2022-07-19-17:17:33,100,-72,-73,-86,-80,100,-79,-78,-74,-86,-92,-82,100,100,-79,-87,100,-77,-66,-89,100,100,-95,-91,-82,100,27
15,2022-07-19-17:17:38,100,-73,-77,-82,-85,100,-85,-80,-79,-80,-97,-89,100,100,-78,-93,100,-85,-68,-90,100,100,100,100,-93,100,27
16,2022-07-19-17:17:43,100,-72,-73,-86,-81,100,-80,-78,-74,-86,-92,-82,100,100,-78,-87,100,-77,-66,100,100,100,100,100,-82,100,27
17,2022-07-19-17:17:48,100,-73,-77,-82,-85,100,-85,-80,-79,-80,-92,-89,100,100,-78,-90,100,-76,-68,-90,100,100,-96,100,-94,100,27
18,2022-07-19-17:17:53,100,-90,-83,-89,-80,100,-84,-92,-84,-92,-96,-95,100,100,-76,-90,-94,-79,-85,100,-95,100,100,-91,-92,100,27
19,2022-07-19-17:17:58,100,-72,-73,-86,-82,100,-80,-78,-74,-87,-92,-82,100,100,-81,-87,100,-77,-67,-89,100,100,100,100,-81,100,27
20,2022-07-19-17:18:03,100,-91,-83,-89,-80,100,-84,-92,-84,100,100,-95,100,100,-77,-87,100,-79,-84,100,-95,100,100,100,100,100,27
21,2022-07-19-17:18:08,100,-90,-73,-86,-82,100,-80,-78,-74,-86,-98,-82,100,100,-79,-86,100,-77,-66,100,-96,100,100,-91,-81,100,27
22,2022-07-19-17:18:13,100,-73,-77,-82,-85,100,-85,-80,-78,-80,-92,-88,100,100,-78,-91,100,-86,-68,100,100,100,100,100,-94,100,27
23,2022-07-19-17:18:18,100,-91,-83,-90,-80,100,-84,-92,-85,-92,-97,-94,100,100,-77,-89,100,-80,-85,100,-95,100,100,-92,-94,100,27
24,2022-07-19-17:18:23,100,-90,-83,-82,100,100,100,-80,100,-93,100,-94,100,100,-78,100,100,-79,-68,100,100,100,100,100,100,100,27
25,2022-07-19-17:18:28,100,-90,-83,-88,-80,100,-85,-92,-85,-93,100,-89,100,100,-77,-92,100,-75,-85,100,100,100,100,-91,-94,100,27
26,2022-07-19-17:18:33,100,-72,-74,-86,-80,100,-79,-78,-74,-86,-92,-82,100,100,-79,-87,100,-77,-67,100,-96,100,-95,-91,-81,100,27
27,2022-07-19-17:18:38,100,-72,-77,-82,-85,100,-85,-80,-78,-80,-93,-88,100,100,-78,-92,-97,-85,-67,-90,100,100,100,100,-93,100,27
28,2022-07-19-17:18:43,100,-73,-77,-82,-85,100,-85,-80,-78,-80,100,-89,100,100,-78,-92,100,100,-68,-90,100,100,100,100,100,100,27
29,2022-07-19-17:18:48,100,-72,-76,-85,-85,100,-84,-80,-74,-80,-93,-82,100,100,-78,-87,100,-85,-68,-89,100,100,100,100,-81,100,27
30,2022-07-19-17:18:53,100,-90,-83,-89,-80,100,-84,-80,-85,-92,100,-94,100,100,-77,-89,100,-80,-85,100,100,100,100,-91,-95,100,27
31,2022-07-19-17:18:58,100,-72,-73,-84,-81,100,-80,-78,-74,-85,100,-81,100,100,-78,-89,100,-78,-67,100,-96,100,-91,-91,-82,100,27
32,2022-07-19-17:19:03,100,-72,-73,-88,100,100,-80,-78,-74,-88,100,100,100,100,100,-88,100,-78,-66,100,100,100,-91,100,-81,100,27
33,2022-07-19-17:19:08,100,-90,-83,-89,-82,100,-80,-92,-74,-91,100,-92,100,100,-74,-95,100,-79,-67,-94,-98,100,100,-92,-82,100,27
34,2022-07-19-17:19:13,100,-71,-73,-83,-85,100,-84,-78,-78,-81,100,-85,100,100,-78,-88,100,-78,-67,-90,100,100,100,100,-82,100,27
35,2022-07-19-17:19:18,100,-84,-83,-89,-80,100,-84,-91,-77,-92,100,-92,100,100,-77,-90,100,-80,-84,100,-95,100,100,-91,-92,100,27
36,2022-07-19-17:19:23,100,-90,-83,-88,-80,100,-85,-92,-85,-92,-96,-91,100,100,-77,-90,100,-80,-85,100,-96,100,100,-92,100,100,27
37,2022-07-19-17:19:28,100,-73,-77,-82,-85,100,-85,-80,-79,-80,-96,-88,100,100,-78,-92,100,-85,-67,-90,100,100,100,100,100,100,27
38,2022-07-19-17:19:33,100,-72,-83,-86,-80,100,-80,-91,-73,-87,-92,-82,100,100,-77,-87,100,-77,-85,-89,-96,100,100,-90,-94,100,27
39,2022-07-19-17:19:38,100,-73,-77,-82,-82,100,-84,-80,-78,-81,-92,-89,100,100,-80,-92,-100,-85,-66,-88,100,100,-95,100,-82,100,27
40,2022-07-19-17:19:43,100,-73,-77,-82,-85,100,-85,-80,-80,-80,100,-88,100,100,-78,-91,100,-84,-68,100,100,100,100,100,-94,100,27
41,2022-07-19-17:19:48,100,-72,-73,-86,-82,100,-79,-78,-74,-86,-93,-82,100,100,-79,-87,100,-77,-66,-89,100,100,100,100,-82,100,27
42,2022-07-19-17:19:53,100,-73,-76,-82,-85,100,-84,-80,-79,-94,-96,-88,100,100,-78,-93,-97,-80,-67,-90,100,100,100,100,-95,100,27
43,2022-07-19-17:19:58,100,-72,-74,-85,-80,100,-80,-92,-74,-86,-92,-82,100,100,-80,-89,100,-77,-66,-89,-94,100,-96,100,-82,100,27
44,2022-07-19-17:20:03,100,-72,-74,-86,-80,100,-80,-78,-74,-86,-92,-82,100,100,-79,-87,100,-77,-66,-89,100,100,100,100,-81,100,27
45,2022-07-19-17:20:08,100,-91,-83,-89,-80,100,-85,-92,-84,-94,100,100,100,100,-77,-89,100,-80,-85,100,100,100,100,-90,-96,100,27
46,2022-07-19-17:20:13,100,-72,-74,-86,-81,100,-79,-78,-74,-86,-92,-82,100,100,-78,-87,100,-77,-66,100,-94,100,100,-92,-81,100,27
47,2022-07-19-17:20:18,100,-90,-83,-89,-85,100,-85,-80,-78,-80,100,-88,100,100,-78,-90,100,-80,-68,-90,100,100,100,100,-93,100,27
48,2022-07-19-17:20:23,100,-90,-83,-90,-80,100,-84,100,-85,-93,100,-95,100,100,-77,-90,100,-80,-85,100,-96,100,100,-90,-93,100,27
49,2022-07-19-17:20:28,100,-73,-77,-82,-85,100,-85,-80,-78,-81,100,-88,100,100,-76,-92,-96,-82,-67,100,100,100,100,100,-93,100,27
50,2022-07-19-17:20:33,100,-91,-83,-89,-80,100,-84,-80,-84,-93,-97,-94,100,100,-76,-90,100,-79,-84,-90,-96,100,-95,-91,-94,100,27
51,2022-07-19-17:20:38,100,-72,-77,-85,-80,100,-80,-78,-74,-86,-96,-88,100,100,-79,-86,100,-77,-66,100,-96,100,100,-91,-81,100,27
52,2022-07-19-17:20:43,100,-73,-77,-82,-84,100,-85,-81,-78,-80,100,-88,100,100,-78,-93,100,-85,-68,100,100,100,100,100,-92,100,27
53,2022-07-19-17:20:48,100,-72,-73,-86,-80,100,-80,-78,-74,-87,-91,-82,100,100,-79,-85,100,-77,-66,100,100,100,100,100,100,100,27
54,2022-07-19-17:20:53,100,-73,-77,-82,-80,100,-85,-80,-78,-80,-96,-88,100,100,-78,-92,100,-85,-67,-90,100,100,100,100,-94,100,27
55,2022-07-19-17:20:58,100,-90,-83,-89,-80,100,-85,-92,-85,-94,100,-96,100,100,-77,-90,100,-80,-84,100,-95,100,100,-91,-93,100,27
56,2022-07-19-17:21:03,100,-72,-73,-85,-80,100,-80,-78,-74,-87,-92,-82,100,100,-78,-87,100,-77,-66,-89,100,100,100,100,-81,100,27
57,2022-07-19-17:21:08,100,-90,-83,-88,-80,100,100,100,-84,-91,100,-95,100,100,-77,-90,100,-79,-84,-96,100,100,100,100,100,100,27
58,2022-07-19-17:21:13,100,-72,-73,-85,-81,100,-79,-79,-74,-86,-93,-82,100,100,-79,-87,100,-77,-67,100,-96,100,100,100,-82,100,27
59,2022-07-19-17:21:18,100,-73,-77,-82,-80,100,-85,-80,-79,-80,100,-89,100,100,-78,-87,100,-86,-67,100,100,100,100,100,-94,100,27
