index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
36,2022-07-19-20:42:16,100,100,100,-69,-86,100,100,-95,100,-74,-82,-73,100,100,-96,-87,100,100,-85,-60,-63,100,-89,-75,100,100,12
37,2022-07-19-20:42:21,100,100,100,-69,-86,100,100,100,100,-76,-83,-74,100,100,-95,-87,100,-84,-85,-65,-64,100,-81,-90,100,100,12
38,2022-07-19-20:42:26,100,100,100,-69,100,100,100,100,100,-73,-83,-79,100,100,100,-87,100,-85,-85,-60,-64,100,-80,-76,100,100,12
39,2022-07-19-20:42:31,100,100,100,-69,-91,100,-96,-94,100,-76,-85,-78,100,100,-96,-92,100,-85,-85,-60,-64,100,-81,-80,100,100,12
40,2022-07-19-20:42:36,100,100,100,-72,-91,100,-92,-94,100,-79,-81,-73,100,100,100,-86,100,-89,-86,-54,-71,100,-81,-85,100,100,12
41,2022-07-19-20:42:41,100,100,100,-68,-93,100,-95,100,100,-76,-80,-79,100,100,100,-85,100,-85,-86,-60,-63,100,-81,-76,100,100,12
42,2022-07-19-20:42:46,100,100,100,-72,-86,100,100,-95,100,-73,-84,-79,100,100,-96,-85,100,-85,100,-54,-71,100,-81,-76,100,100,12
43,2022-07-19-20:42:51,100,100,100,-70,-86,100,-96,100,100,-74,-83,-74,100,100,100,-91,100,-85,-85,-54,-64,100,-81,-76,100,100,12
44,2022-07-19-20:42:56,100,100,100,-71,100,100,-95,-93,100,-76,-80,-79,100,100,100,-92,100,-88,-85,-54,-63,100,-81,-76,100,100,12
45,2022-07-19-20:43:01,100,100,100,-72,100,100,-96,-95,100,-72,-82,-78,100,100,100,-87,100,-84,-85,-60,-63,100,-81,-90,100,100,12
46,2022-07-19-20:43:06,100,100,100,-70,-86,100,100,-94,100,-73,-82,-79,100,100,100,-87,100,-84,-85,-60,-63,100,-81,-76,100,100,12
47,2022-07-19-20:43:11,100,100,100,-70,-91,100,-97,100,100,-73,-85,-78,100,100,100,-87,100,-85,-85,-60,-64,100,-81,-76,100,100,12
48,2022-07-19-20:43:16,100,100,100,-72,-93,100,-96,-95,100,-73,-83,-73,100,100,100,-87,100,-84,-85,-60,-72,100,100,-76,100,100,12
49,2022-07-19-20:43:21,100,100,100,-72,100,100,-96,100,100,-74,-85,-79,100,100,100,-92,100,-85,-85,-60,-63,100,-81,-80,100,100,12
50,2022-07-19-20:43:26,100,100,100,-72,100,100,100,-93,100,-73,-83,-79,100,100,100,-91,100,-88,-85,-60,-71,100,-89,-76,100,100,12
51,2022-07-19-20:43:31,100,100,100,-70,100,100,-96,100,100,-73,-82,-79,100,100,100,-87,100,-85,-85,-65,-71,100,100,-90,100,100,12
52,2022-07-19-20:43:36,100,100,100,-69,-86,100,100,100,100,-73,-85,-73,100,100,100,-92,100,-84,-85,-54,-72,100,100,-76,100,100,12
53,2022-07-19-20:43:41,100,100,100,-69,-86,100,-96,100,100,-74,-85,-75,100,100,-95,-87,100,-84,-86,-60,-64,100,-81,-76,100,100,12
54,2022-07-19-20:43:46,100,100,100,-69,-86,100,-97,-94,100,-75,-85,-74,100,100,100,-87,100,-84,-85,-54,-64,100,-81,-76,100,100,12
55,2022-07-19-20:43:51,100,100,100,-72,100,100,-96,100,100,-76,-82,-74,100,100,100,-92,100,-85,-85,-60,-64,100,-81,-76,100,100,12
56,2022-07-19-20:43:56,100,100,100,-72,100,100,-97,-94,100,-74,-83,-73,100,100,-96,-87,100,-84,100,-66,-72,100,-81,-90,100,100,12
57,2022-07-19-20:44:01,100,100,100,-72,-86,100,100,-94,100,-73,-85,-79,100,100,100,-87,100,-88,-98,-65,-63,100,100,-76,100,100,12
58,2022-07-19-20:44:06,100,100,100,-69,-91,100,100,-94,100,-74,-83,-78,100,100,100,-87,100,-85,-85,-65,-71,100,-81,-90,100,100,12
59,2022-07-19-20:44:11,100,100,100,-72,-86,100,-96,-94,100,-74,-85,-74,100,100,-94,-87,100,-84,-85,-65,-64,100,-81,-76,100,100,12
