index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-14:38:04,-96,-86,-80,100,-79,-97,-93,-91,-75,-96,-101,-100,-95,-95,-99,-99,-92,-81,100,100,100,-91,100,-93,-92,55
1,2022-07-22-14:38:09,100,-78,100,100,-74,100,-93,-91,-64,100,100,100,100,-79,100,100,-78,-74,100,100,100,-91,100,100,100,55
2,2022-07-22-14:38:14,100,-78,100,100,-74,100,100,-86,-64,100,100,100,100,100,100,100,-75,-76,100,100,100,-89,100,100,100,55
3,2022-07-22-14:38:19,100,-76,100,100,-78,100,100,-92,-63,100,100,100,100,-85,100,100,-80,-72,100,100,100,-91,100,100,100,55
4,2022-07-22-14:38:24,100,-76,100,100,-75,100,-90,-84,-65,100,100,100,100,-77,100,100,-80,-71,100,100,100,-90,100,100,100,55
5,2022-07-22-14:38:29,100,-80,100,100,-78,100,-94,-91,-58,100,100,100,100,-87,100,100,-77,-71,100,100,100,100,100,-92,100,55
6,2022-07-22-14:38:34,100,-80,100,100,-78,100,-91,-88,-70,100,100,100,100,-82,100,100,-82,-71,100,100,100,100,100,100,100,55
7,2022-07-22-14:38:39,100,-85,100,100,-80,100,100,-92,-60,100,100,100,100,-87,100,100,-82,-89,100,100,100,100,100,100,100,55
8,2022-07-22-14:38:44,100,-76,100,100,-78,100,-93,100,-66,100,100,100,100,-84,100,100,-78,-70,100,100,100,-91,100,-93,100,55
9,2022-07-22-14:38:49,100,-82,100,100,-75,100,-93,-87,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,-90,100,100,100,55
10,2022-07-22-14:38:54,100,-82,100,100,-76,100,-92,-91,-58,100,100,100,100,-82,100,100,-91,-81,100,100,100,100,100,-92,100,55
11,2022-07-22-14:38:59,100,-78,100,100,-75,100,100,-87,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,100,100,100,100,55
12,2022-07-22-14:39:04,100,-82,100,100,-76,100,-93,-92,-58,100,100,100,100,-82,100,100,-90,-82,100,100,100,-91,100,-91,100,55
13,2022-07-22-14:39:09,100,-76,100,100,-78,100,-92,-94,-66,100,100,100,100,-84,100,100,-78,-71,100,100,100,100,100,100,100,55
14,2022-07-22-14:39:14,100,-78,100,100,-75,100,100,-87,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,-90,100,100,100,55
15,2022-07-22-14:39:19,100,-75,100,100,-78,100,-92,-95,-66,100,100,100,100,100,100,100,-78,-71,100,100,100,-93,100,-96,100,55
16,2022-07-22-14:39:24,100,-78,100,100,-75,100,-92,-87,-66,100,100,100,100,-77,100,100,-79,-72,100,100,100,-90,100,100,100,55
17,2022-07-22-14:39:29,100,-82,100,100,-76,100,-93,-91,-58,100,100,100,100,-83,100,100,-91,-81,100,100,100,-91,100,-92,100,55
18,2022-07-22-14:39:34,100,-76,100,100,-78,100,-92,-94,-66,100,100,100,100,-84,100,100,-76,-71,100,100,100,-92,100,100,100,55
19,2022-07-22-14:39:39,100,-82,100,100,-76,100,-92,-90,-57,100,100,100,100,-83,100,100,100,-80,100,100,100,100,100,100,100,55
20,2022-07-22-14:39:44,100,-76,100,100,-78,100,-92,-91,-66,100,100,100,100,-84,100,100,-78,-71,100,100,100,100,100,-92,100,55
21,2022-07-22-14:39:49,100,-78,100,100,-75,100,100,-86,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,-90,100,100,100,55
22,2022-07-22-14:39:54,100,-82,100,100,-76,100,-94,-94,-58,100,100,100,100,-83,100,100,-91,-80,100,100,100,-90,100,-91,100,55
23,2022-07-22-14:39:59,100,-83,100,100,-73,100,100,100,-66,100,100,100,100,-78,100,100,-79,100,100,100,100,100,100,100,100,55
24,2022-07-22-14:40:04,100,-83,100,100,-74,100,-90,-85,-58,100,100,100,100,-83,100,100,-88,-81,100,100,100,100,100,-91,100,55
25,2022-07-22-14:40:09,100,-77,100,100,-78,100,-92,-91,-66,100,100,100,100,-83,100,100,-78,-71,100,100,100,-92,100,-91,100,55
26,2022-07-22-14:40:14,100,-78,100,100,-75,100,-96,-86,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,-90,100,100,100,55
27,2022-07-22-14:40:19,100,-78,100,100,-75,100,100,-86,100,100,100,100,100,-77,100,100,100,100,100,100,100,100,100,100,100,55
28,2022-07-22-14:40:24,100,-78,100,100,-78,100,-93,-87,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,-90,100,100,100,55
29,2022-07-22-14:40:29,100,-82,100,100,-76,100,-92,-91,-58,100,100,100,100,-83,100,100,-91,-80,100,100,100,100,100,-93,100,55
30,2022-07-22-14:40:34,100,-76,100,100,-78,100,-92,-92,-66,100,100,100,100,-84,100,100,-78,-71,100,100,100,100,100,-95,100,55
31,2022-07-22-14:40:39,100,100,100,100,100,100,100,-95,100,100,100,100,100,-84,100,100,-78,-70,100,100,100,100,100,100,100,55
32,2022-07-22-14:40:44,100,-76,100,100,-78,100,-92,-96,-66,100,100,100,100,-84,100,100,-91,-81,100,100,100,-98,100,-91,100,55
33,2022-07-22-14:40:49,100,-76,100,100,-75,100,100,-87,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,-91,100,100,100,55
34,2022-07-22-14:40:54,100,-83,100,100,-76,100,-91,-91,-57,100,100,100,100,-82,100,100,-79,-80,100,100,100,-90,100,-92,100,55
35,2022-07-22-14:40:59,100,-82,100,100,-76,100,-92,-92,-58,100,100,100,100,100,100,100,-91,-81,100,100,100,100,100,-92,100,55
36,2022-07-22-14:41:04,100,-78,100,100,-76,100,100,-86,-58,100,100,100,100,-77,100,100,-78,-72,100,100,100,-90,100,100,100,55
37,2022-07-22-14:41:09,100,-76,100,100,-78,100,-93,-92,-58,100,100,100,100,-83,100,100,-91,-69,100,100,100,-98,100,-91,100,55
38,2022-07-22-14:41:14,100,-78,100,100,-75,100,-92,-86,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,-91,100,100,100,55
39,2022-07-22-14:41:19,100,-78,100,100,-75,100,100,-86,-66,100,100,100,100,-77,100,100,-80,-72,100,100,100,-90,100,100,100,55
40,2022-07-22-14:41:24,100,-76,100,100,-78,100,-94,-94,-66,100,100,100,100,-84,100,100,-78,-70,100,100,100,-92,100,-94,100,55
41,2022-07-22-14:41:29,100,-82,100,100,-76,100,-92,-87,-58,100,100,100,100,-82,100,100,-90,-81,100,100,100,-89,100,-96,100,55
42,2022-07-22-14:41:34,100,-76,100,100,-78,100,-93,-91,-66,100,100,100,100,-84,100,100,-78,-81,100,100,100,100,100,-94,100,55
43,2022-07-22-14:41:39,100,-75,100,100,-78,100,-93,100,100,100,100,100,100,-84,100,100,-78,-70,100,100,100,100,100,-96,100,55
44,2022-07-22-14:41:44,100,-83,100,100,-76,100,-92,-90,-58,100,100,100,100,-83,100,100,-92,-80,100,100,100,100,100,-91,100,55
