index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-19-15:58:18,100,-87,-74,-90,-83,100,-88,-70,-71,-85,-89,-91,100,100,-90,-95,100,-79,-65,-90,-87,100,-92,-96,-92,100,29
1,2022-07-19-15:58:23,100,-83,-66,100,-86,100,-79,-84,-76,-92,-93,-83,100,100,-76,-85,100,-76,-64,100,100,100,-85,-88,100,100,29
2,2022-07-19-15:58:28,100,-88,-65,-85,-89,100,-77,-68,-80,-89,-98,-84,100,100,-85,100,100,-72,-57,100,-90,100,-85,100,100,100,29
3,2022-07-19-15:58:33,100,-92,-66,-80,-76,100,-82,-69,-87,-88,100,100,100,100,-80,100,100,-72,-60,-88,100,100,-91,100,100,100,29
4,2022-07-19-15:58:38,100,-83,-63,-82,-83,100,-78,-70,-68,-85,100,-89,100,100,-82,-96,100,-68,-61,100,100,100,-85,100,-97,100,29
5,2022-07-19-15:58:43,100,-84,-67,-93,-91,100,-73,-69,-76,-88,100,-85,100,100,-84,-94,100,-76,-63,100,-92,100,-82,100,-100,100,29
6,2022-07-19-15:58:48,100,-92,-62,-82,-87,100,-78,-71,-68,100,100,-89,100,100,-82,-97,100,-66,-71,-98,100,100,-96,100,100,100,29
7,2022-07-19-15:58:53,100,-87,-62,-80,-87,100,-87,-75,-64,-90,100,-89,100,100,-80,100,100,-67,-56,100,100,100,-84,100,100,100,29
8,2022-07-19-15:58:58,100,-86,-62,100,-89,100,-76,-84,-77,-91,100,-89,100,100,-78,-90,100,-74,-64,100,100,100,-92,-94,100,100,29
9,2022-07-19-15:59:03,100,-92,-63,-82,-85,100,-77,-72,-64,-92,-97,-90,100,100,-78,100,100,-65,-59,100,-96,100,-83,-92,100,100,29
