index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,
36,2022-07-23-14:01:29,-83,-62,-96,100,-66,-82,100,100,-96,100,100,-78,-80,-86,100,-86,-77,-93,100,100,100,100,100,-52,-79,33,
37,2022-07-23-14:01:34,-78,-62,100,100,-83,-83,100,100,-89,100,100,-77,-80,-93,100,100,-77,-93,100,100,100,100,100,-58,-79,33,
38,2022-07-23-14:01:39,-78,-65,100,100,-83,-87,100,100,-95,100,100,-77,-82,-93,100,-76,-93,-98,100,100,100,100,100,-52,-76,33,
39,2022-07-23-14:01:44,-81,-65,100,100,-74,-88,100,100,-85,100,100,-78,-78,-88,100,-96,-82,100,100,100,100,100,100,-52,-79,33,
40,2022-07-23-14:01:49,-84,-61,100,100,-83,-91,100,100,-89,100,100,-78,-80,-86,100,-84,-77,-93,100,100,100,100,100,-51,-79,33,
41,2022-07-23-14:01:54,-83,-62,-97,100,-76,-82,100,100,-89,100,100,-78,-79,-86,100,-77,-77,100,100,100,100,100,100,-52,-78,33,
42,2022-07-23-14:01:59,-85,-65,100,100,-66,-82,100,100,100,100,100,-85,-82,100,100,-86,-84,100,100,100,100,100,100,-58,-77,33,
43,2022-07-23-14:02:04,-85,-62,100,100,-76,-89,100,100,-89,100,100,-77,-81,-87,100,-75,-92,100,100,100,100,100,100,-52,-79,33,
44,2022-07-23-14:02:09,-78,-62,100,100,-66,-82,100,100,-89,100,100,-78,-78,-93,100,-96,-84,100,100,100,100,100,100,-52,-76,33,
45,2022-07-23-14:02:14,-83,-62,100,100,-82,-89,100,100,-89,100,100,-85,-78,-93,100,-76,-85,100,100,100,100,100,100,-52,-79,33,
46,2022-07-23-14:02:19,-82,-62,100,100,-66,-83,100,100,-89,100,100,-85,-78,-87,100,-96,-85,100,100,100,100,100,100,-52,-79,33,
47,2022-07-23-14:02:24,-85,-65,100,100,-83,-83,100,100,-89,100,100,-77,-80,-93,100,-86,-77,-97,100,100,100,100,100,-51,-76,33,
