index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-20:34:57,100,-85,-72,100,-88,100,-89,-96,-65,-99,100,100,100,-79,-97,-96,-88,-87,100,-100,100,100,100,100,-99,55
1,2022-07-22-20:35:02,100,-80,-72,100,-84,100,-88,-88,-51,100,100,100,100,-91,100,100,-89,-84,100,100,100,100,100,100,100,55
2,2022-07-22-20:35:07,100,-77,-69,100,-88,100,-93,-88,-51,100,100,100,100,-72,100,100,-79,-75,100,100,100,100,100,100,-96,55
3,2022-07-22-20:35:12,100,-82,-69,100,-73,100,-98,-96,-58,-95,100,100,100,-72,100,100,-79,-76,100,100,100,100,100,-95,-95,55
4,2022-07-22-20:35:17,100,-89,-73,100,-72,100,-89,-88,-59,100,100,100,100,-71,100,100,100,-84,100,100,100,100,100,-94,100,55
5,2022-07-22-20:35:22,100,-80,-79,100,100,100,100,-86,-59,-95,100,100,100,-77,100,100,-80,-88,100,100,100,100,100,100,100,55
6,2022-07-22-20:35:27,100,-79,-81,100,-77,100,-92,-89,-59,100,100,100,100,-77,100,100,-81,-76,100,100,100,100,100,-95,100,55
7,2022-07-22-20:35:32,100,-77,-82,100,-77,100,100,-88,-53,100,100,100,100,-77,100,100,-79,-71,100,100,100,100,100,100,-96,55
8,2022-07-22-20:35:37,100,-87,-76,100,-86,100,100,-89,-53,100,100,100,-99,-76,100,100,-78,-71,100,100,100,100,100,-93,100,55
9,2022-07-22-20:35:42,100,-80,-77,100,-77,100,-92,-89,-59,100,100,100,100,-85,100,100,-78,-77,100,100,100,100,100,-93,100,55
10,2022-07-22-20:35:47,100,-79,-84,100,-77,100,-92,-88,-58,100,100,100,100,-72,100,100,-78,-71,100,100,100,100,100,100,100,55
11,2022-07-22-20:35:52,100,-91,-78,100,-73,100,-95,-88,-59,100,100,100,100,-72,100,100,-78,-77,100,100,100,100,100,-95,100,55
12,2022-07-22-20:35:57,100,-80,-85,100,-84,100,-96,-88,-59,-96,100,100,-98,-85,100,100,-78,-77,100,100,100,100,100,-94,100,55
13,2022-07-22-20:36:02,100,-86,-83,100,-80,100,100,100,-59,100,-93,100,100,-76,100,100,-77,-77,100,100,100,100,100,-93,100,55
14,2022-07-22-20:36:07,100,-80,-78,100,-77,100,100,-88,-59,100,100,100,100,-85,100,100,-78,-77,100,100,100,100,100,-94,-97,55
15,2022-07-22-20:36:12,100,-80,-77,100,-77,100,100,-93,-53,100,100,100,100,-77,100,100,-82,-77,100,100,100,100,100,100,100,55
16,2022-07-22-20:36:17,100,-80,-78,100,-73,100,-92,-93,-59,100,100,100,100,-77,100,100,-91,-78,100,100,100,100,100,-94,100,55
