index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-18-09:25:15,100,100,100,-89,-85,100,-84,-95,100,-85,-87,-83,100,100,-86,-80,100,-84,-80,-56,-74,100,-76,-86,100,100,13
1,2022-07-18-09:25:20,100,100,100,-83,-91,100,-89,-96,100,-90,-88,-85,100,100,-96,-90,100,-95,-89,-76,-72,100,-75,-85,100,100,13
2,2022-07-18-09:25:25,100,100,100,-82,-91,100,-86,-94,100,-83,-85,-82,100,100,-94,-85,100,-83,-84,-60,-68,100,-81,-79,100,100,13
3,2022-07-18-09:25:30,100,100,100,-83,100,100,100,100,100,-91,-89,-85,100,100,-97,100,100,-83,100,-76,-73,100,-81,100,100,100,13
4,2022-07-18-09:25:35,100,100,100,-89,-89,100,-84,-94,100,-90,-82,-80,100,100,-92,-86,100,-84,-81,-67,-76,100,-79,-80,100,100,13
5,2022-07-18-09:25:40,100,100,100,-78,-88,100,-82,-91,100,-84,-81,-79,100,100,-90,-82,100,-88,-82,-56,-68,100,-81,-87,100,100,13
6,2022-07-18-09:25:45,100,100,100,-90,-89,100,-92,-90,100,-90,-91,-84,100,100,-92,-84,100,-97,-95,-64,-76,100,-83,-90,100,100,13
7,2022-07-18-09:25:50,100,100,100,100,-86,100,100,100,100,-95,100,-78,100,100,-91,-94,100,100,100,-64,-73,100,-72,-87,100,100,13
8,2022-07-18-09:25:55,100,100,-97,-88,-85,100,-84,-92,100,-81,-85,-86,100,100,-86,-80,100,100,-89,-66,-93,100,-86,100,100,100,13
9,2022-07-18-09:26:00,100,100,100,-83,-91,100,-91,-91,100,-81,-87,-67,100,100,-83,-94,100,-82,-82,-54,-74,100,-78,100,100,100,13
10,2022-07-18-09:26:05,100,100,100,-81,-85,100,-89,-86,100,-80,-80,-81,100,100,100,-83,100,-87,-84,-57,-85,100,-78,-87,100,100,13
11,2022-07-18-09:26:10,100,100,100,-77,-88,100,-83,-87,100,-76,-82,-89,100,100,100,-80,100,-84,-84,-60,-72,100,-80,-80,100,100,13
12,2022-07-18-09:26:15,100,100,100,-76,-86,100,-91,-94,100,-75,-78,-85,100,100,100,-82,100,-91,-90,-63,-74,100,-84,-80,100,100,13
13,2022-07-18-09:26:20,100,100,100,-78,-89,100,-92,-93,100,-83,-82,-80,100,100,100,-88,100,100,-96,-66,-76,100,-77,-87,100,100,13
14,2022-07-18-09:26:25,100,100,100,-77,-92,100,-89,100,100,-76,-80,-76,100,100,100,-84,100,-91,-88,-54,-74,100,-82,-80,100,100,13
15,2022-07-18-09:26:30,100,100,100,-76,100,100,-89,100,100,-76,100,-80,100,100,-94,-88,100,100,-84,-52,-76,100,-81,-81,100,100,13
16,2022-07-18-09:26:35,100,100,100,-86,-89,100,-88,-92,100,-92,-91,-82,100,100,-93,100,100,100,100,-60,-81,100,-75,-86,100,100,13
17,2022-07-18-09:26:40,100,100,100,-84,-89,100,-86,100,100,-86,-86,-72,100,100,-89,-88,100,-83,-83,-56,-76,100,-80,-89,100,100,13
18,2022-07-18-09:26:45,100,100,100,-78,-92,100,-83,-92,100,-84,-82,-75,100,100,-90,-92,100,-88,-88,-70,-77,100,-75,-85,100,100,13
19,2022-07-18-09:26:50,100,100,100,-79,-89,100,-86,-92,100,-84,-82,-77,100,100,100,-96,100,100,100,-69,-77,100,-77,-86,100,100,13
20,2022-07-18-09:26:55,100,100,100,-81,100,100,-89,-91,100,-74,-84,100,100,100,-88,-86,100,-90,-86,-58,-72,100,-81,-79,100,100,13
21,2022-07-18-09:27:00,100,100,100,-77,-89,100,-90,-96,100,-84,-83,-73,100,100,-89,-95,100,-87,-97,-69,-77,100,-76,-87,100,100,13
22,2022-07-18-09:27:05,100,100,100,-81,-90,100,-89,-90,100,-76,-84,-88,100,100,-90,-86,100,-88,-88,-57,-71,100,-82,-80,100,100,13
23,2022-07-18-09:27:10,100,100,100,-83,-88,100,-94,-91,100,-75,-91,100,100,100,-88,-85,100,-95,-84,-61,-71,100,-80,-79,100,100,13
24,2022-07-18-09:27:15,100,100,100,-78,-91,100,-91,100,100,-77,-82,-72,100,100,-95,-85,100,-87,-82,-54,-74,100,-82,-80,100,100,13
25,2022-07-18-09:27:20,100,100,100,-83,100,100,-91,-91,100,-74,-86,-90,100,100,-92,-85,100,-87,-88,-59,-71,100,-84,-79,100,100,13
26,2022-07-18-09:27:25,100,100,100,-78,-91,100,-83,-92,100,-76,-82,-72,100,100,-92,-92,100,100,-96,-69,-76,100,-82,-80,100,100,13
27,2022-07-18-09:27:30,100,100,100,-79,-90,100,-90,100,100,-78,-84,-76,100,100,-95,-84,100,-89,-84,-53,-71,100,-90,-79,100,100,13
28,2022-07-18-09:27:35,100,100,100,-80,-91,100,-83,-93,100,-89,-84,-77,100,100,-96,-92,100,100,100,-71,-80,100,-75,100,100,100,13
29,2022-07-18-09:27:40,100,100,100,-90,-91,100,-85,100,100,-82,-92,-72,100,100,-88,-81,100,-90,-84,-59,-76,100,-82,100,100,100,13
30,2022-07-18-09:27:45,100,100,100,-89,-86,100,-84,100,100,-75,-83,-88,100,100,-90,-85,100,-89,-84,-57,-70,100,-83,-85,100,100,13
31,2022-07-18-09:27:50,100,100,100,-80,-90,100,-86,-92,100,-84,-83,-77,100,100,100,-89,100,100,100,-69,-77,100,-75,-86,100,100,13
32,2022-07-18-09:27:55,100,100,100,-82,100,100,100,100,100,-74,-85,100,100,100,-90,-89,100,-89,-87,-58,-72,100,-82,-80,100,100,13
33,2022-07-18-09:28:00,100,100,100,-79,-91,100,-86,-92,100,-83,-83,-76,100,100,-91,-87,100,-89,-86,-69,-77,100,-74,-87,100,100,13
34,2022-07-18-09:28:05,100,100,100,-78,100,100,-91,-96,100,-77,-85,-73,100,100,-85,-83,100,100,-85,-54,-73,100,-90,-81,100,100,13
35,2022-07-18-09:28:10,100,100,100,-82,-94,100,-90,-92,100,-74,-85,-96,100,100,-88,-89,100,-91,-89,-58,-72,100,-83,-80,100,100,13
36,2022-07-18-09:28:15,100,100,100,-77,100,100,-91,100,100,-77,-84,-72,100,100,100,-84,100,-85,-83,-54,-73,100,-88,-80,100,100,13
37,2022-07-18-09:28:20,100,100,100,-82,100,100,-91,-92,100,-74,-84,-72,100,100,-90,-88,100,-88,-89,-58,-71,100,-83,-79,100,100,13
38,2022-07-18-09:28:25,100,100,-97,-78,-90,100,-84,-90,100,-84,100,-76,100,100,-91,-90,100,100,-93,-68,-77,100,-74,-87,100,100,13
39,2022-07-18-09:28:30,100,100,100,-78,-91,100,-91,100,100,-77,-84,-72,100,100,-93,-85,100,100,-85,-54,-73,100,-91,-80,100,100,13
40,2022-07-18-09:28:35,100,100,100,-78,-91,100,-89,-94,100,-84,-82,-76,100,100,100,-91,100,100,100,100,-77,100,-74,-87,100,100,13
41,2022-07-18-09:28:40,100,100,100,-77,-92,100,-90,-93,100,-76,-85,-76,100,100,-93,-84,100,-87,-83,-54,-73,100,-88,-81,100,100,13
42,2022-07-18-09:28:45,100,100,100,-82,100,100,-90,100,100,-73,-85,-95,100,100,-88,-83,100,-86,-88,-58,-72,100,-90,-80,100,100,13
43,2022-07-18-09:28:50,100,100,100,-78,-90,100,-87,-92,100,-84,-83,-76,100,100,-91,-92,100,100,-86,-68,-77,100,-74,-85,100,100,13
44,2022-07-18-09:28:55,100,100,100,100,100,100,-89,100,100,100,-85,100,100,100,-87,100,100,100,100,100,-72,100,100,100,100,100,13
45,2022-07-18-09:29:00,100,100,100,-80,-88,100,-91,-95,100,-85,-86,-78,100,100,-90,-86,100,-91,-97,-65,-79,100,-80,-84,100,100,13
46,2022-07-18-09:29:05,100,100,100,-89,-91,100,-90,-91,100,-82,100,-70,100,100,-94,-86,100,-94,-82,-61,-79,100,-82,-94,100,100,13
47,2022-07-18-09:29:10,100,100,100,-87,-89,100,-95,100,100,-82,100,-81,100,100,-88,-86,100,-89,-86,-55,-78,100,-80,100,100,100,13
48,2022-07-18-09:29:15,100,100,100,100,100,100,100,100,100,-76,100,100,100,100,100,-84,100,-86,-85,-57,100,100,-81,100,100,100,13
49,2022-07-18-09:29:20,100,100,100,-83,-90,100,100,-90,100,-83,-85,-84,100,100,-86,-85,100,100,-88,-60,-72,100,-83,-91,100,100,13
50,2022-07-18-09:29:25,100,100,100,-87,100,100,-84,-92,100,-89,-87,-77,100,100,-86,-86,100,-95,-89,-64,-85,100,-73,-89,100,100,13
51,2022-07-18-09:29:30,100,100,100,-77,100,100,-90,100,100,-77,-85,-76,100,100,100,-89,100,-93,-87,-54,-73,100,-90,-80,100,100,13
52,2022-07-18-09:29:35,100,100,100,-77,100,100,-89,100,100,100,-84,-76,100,100,100,100,100,100,-86,-54,-74,100,100,-80,100,100,13
53,2022-07-18-09:29:40,100,100,100,-78,-91,100,-87,-95,100,-77,-84,-74,100,100,100,-91,100,100,-83,-54,-74,100,-76,-86,100,100,13
54,2022-07-18-09:29:45,100,100,100,-83,-91,100,-91,-90,100,-75,-88,-89,100,100,-92,-85,100,100,-87,-59,-70,100,-82,-79,100,100,13
55,2022-07-18-09:29:50,100,100,100,-82,-94,100,-82,-92,100,-86,-85,-75,100,100,-89,-85,100,-94,100,-61,-86,100,-74,-80,100,100,13
56,2022-07-18-09:29:55,100,100,100,-92,-94,100,-83,-92,100,-87,-94,-75,100,100,100,100,100,100,100,-60,-85,100,-75,100,100,100,13
57,2022-07-18-09:30:00,100,100,100,-82,-91,100,-87,100,100,-82,-84,100,100,100,-93,-85,100,-89,-84,-59,-76,100,-82,100,100,100,13
58,2022-07-18-09:30:05,100,100,100,-81,100,100,-91,-91,100,-85,-91,-73,100,100,100,-96,100,100,-82,-60,-85,100,-86,-88,100,100,13
59,2022-07-18-09:30:10,100,100,100,-84,-90,100,-91,100,100,-87,-88,-88,100,100,-89,-83,100,-86,-86,-56,-75,100,-82,-87,100,100,13
