index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,classification
0,2022-07-22-19:23:13,100,-93,-61,-96,-83,100,-85,-85,-87,100,-90,100,100,-89,100,100,-75,-63,100,100,100,100,100,100,-102,53,53
1,2022-07-22-19:23:18,100,100,-60,100,-80,100,100,-85,-76,100,-90,100,100,-83,100,100,-68,-66,100,100,100,100,100,100,100,53,53
2,2022-07-22-19:23:23,100,-89,-73,100,-80,100,-85,-90,-73,100,100,100,100,100,100,100,-81,-65,100,100,100,100,100,100,100,53,53
3,2022-07-22-19:23:28,100,-82,-64,100,-83,100,-83,-80,-81,-99,100,100,100,-89,100,100,-69,-60,100,100,100,100,100,100,100,53,53
4,2022-07-22-19:23:33,100,-87,-75,-95,-80,100,100,-85,-75,100,100,100,100,-88,100,100,-73,-62,100,100,100,100,100,100,100,53,53
5,2022-07-22-19:23:38,100,-95,-61,-99,-86,100,-87,-80,-68,100,100,100,100,-83,100,100,-71,-66,100,100,100,100,100,100,100,53,53
6,2022-07-22-19:23:43,100,-85,-59,100,-80,100,-87,-85,-71,100,-90,100,100,-83,100,100,-71,-62,100,100,100,100,100,100,100,53,53
7,2022-07-22-19:23:48,100,-81,-60,-96,100,100,-83,-84,-80,-99,-90,100,100,-84,100,100,-65,-60,100,100,100,100,100,100,100,53,53
8,2022-07-22-19:23:53,100,-85,-58,100,100,100,-87,-91,-76,100,100,100,100,-89,100,100,-71,-58,100,100,100,100,100,100,100,53,53
9,2022-07-22-19:23:58,100,-94,100,100,-87,100,-82,-81,-71,100,100,100,100,-88,100,100,-72,-67,100,100,100,100,100,100,100,53,53
10,2022-07-22-19:24:03,100,-86,-59,100,-86,100,-85,-85,-72,100,100,100,100,-99,100,100,-73,-59,100,100,100,100,100,100,100,53,53
11,2022-07-22-19:24:08,100,-83,-73,100,-82,100,-78,-80,-72,100,-86,100,100,-83,100,100,-67,-59,100,100,100,100,100,100,-98,53,53
12,2022-07-22-19:24:13,100,100,-59,100,100,100,-83,-85,-76,100,-90,100,100,-83,100,100,-69,-64,100,100,100,100,100,100,100,53,53
13,2022-07-22-19:24:18,100,-84,-65,100,-80,100,-81,-86,-70,100,-85,100,100,100,100,100,-68,-62,100,100,100,100,100,100,-98,53,53
14,2022-07-22-19:24:23,100,100,-77,100,-87,100,-83,100,-72,100,-86,100,100,-88,100,100,-81,-65,100,100,100,100,100,100,100,53,53
15,2022-07-22-19:24:28,100,-95,-77,-99,-87,100,-79,-85,-72,100,-93,100,100,-88,100,100,-80,-66,100,100,100,100,100,100,100,53,53
16,2022-07-22-19:24:33,100,-82,-65,100,-85,100,-81,-85,-72,-98,100,100,100,-99,100,100,-70,-62,100,100,100,100,100,100,100,53,53
17,2022-07-22-19:24:38,100,-81,-77,-99,100,100,-85,-80,-81,100,-93,100,100,-88,100,100,-68,-65,100,100,100,100,100,100,100,53,53
