index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-85.80434783
0,2022-07-23-14:32:08,-82,-88,100,100,-87,-53,100,100,-96,100,100,100,-71,-79,-96,100,-72,-92,100,100,100,-92,100,100,-84,-74,35,
1,2022-07-23-14:32:13,-84,-95,100,100,-77,-57,100,100,100,100,100,100,-87,-84,100,100,-91,100,100,100,100,100,100,100,-70,-83,35,
2,2022-07-23-14:32:18,-86,100,100,100,-76,-56,100,100,100,100,100,100,100,-84,-99,100,100,100,100,100,100,100,100,100,100,-83,35,
3,2022-07-23-14:32:23,100,-76,100,100,-76,-56,100,100,-92,100,100,100,-76,-90,100,100,-75,-94,100,100,100,100,100,100,-69,-82,35,
4,2022-07-23-14:32:28,-87,-89,100,100,-80,-55,100,100,100,100,100,100,-74,-86,-96,100,-91,100,100,100,100,100,100,100,-68,-70,35,
5,2022-07-23-14:32:33,-85,-76,100,100,-78,-58,100,100,100,100,100,100,-72,-84,100,100,-75,-93,100,100,100,100,100,100,-68,-76,35,
6,2022-07-23-14:32:38,-91,100,100,100,-78,-56,100,100,100,100,100,100,-72,100,100,100,-73,-91,100,100,100,100,100,100,-69,-72,35,
7,2022-07-23-14:32:43,-82,-77,100,100,-79,-56,100,100,100,100,100,100,-73,-85,100,100,-74,-90,100,100,100,100,100,100,-68,-69,35,
8,2022-07-23-14:32:48,-88,-91,100,100,-76,-56,100,100,-91,100,100,100,-71,-84,100,100,-90,-92,100,100,100,100,100,100,-69,-74,35,
9,2022-07-23-14:32:53,-83,-90,100,100,-76,-55,100,100,100,100,100,100,-73,-82,-96,100,-76,-90,100,100,100,100,100,100,-68,-71,35,
10,2022-07-23-14:32:58,-83,-80,100,100,-80,100,100,100,100,100,100,100,-74,100,100,100,-76,100,100,100,100,100,100,100,-68,-71,35,
11,2022-07-23-14:33:03,-89,-92,100,100,-76,-56,100,100,100,100,100,100,-87,-85,-97,100,-90,100,100,100,100,100,100,100,-69,-84,35,
12,2022-07-23-14:33:08,-94,-76,100,100,-80,-55,100,100,100,100,100,100,-73,-84,-96,100,-76,-91,100,100,100,100,100,100,-67,-71,35,
13,2022-07-23-14:33:13,-88,-76,100,100,-78,-57,100,100,100,100,100,100,-86,-84,100,100,-91,-93,100,100,100,100,100,100,-70,-85,35,
14,2022-07-23-14:33:18,-88,-90,100,100,-77,-56,100,100,100,100,100,100,-86,-84,-97,100,-90,100,100,100,100,100,100,100,-69,-86,35,
15,2022-07-23-14:33:23,-89,-76,100,100,-77,-57,100,100,100,100,100,100,-71,-84,100,100,-73,-94,100,100,100,100,100,100,-67,-74,35,
16,2022-07-23-14:33:28,-88,-91,100,100,-76,-56,100,100,100,100,100,100,-86,-85,100,100,-90,100,100,100,100,100,100,100,-69,-85,35,
17,2022-07-23-14:33:33,-83,-80,100,100,-78,-55,100,100,100,100,100,100,-71,-82,100,100,-76,-93,100,100,100,100,100,100,-68,-74,35,
18,2022-07-23-14:33:38,-89,-76,100,100,-77,-57,100,100,-93,100,100,100,-71,-84,100,100,-73,-93,100,100,100,100,100,100,-68,-74,35,
19,2022-07-23-14:33:43,-83,-78,100,100,-80,-54,100,100,100,100,100,100,-73,-83,100,100,-77,-91,100,100,100,100,100,100,-68,-71,35,
20,2022-07-23-14:33:48,100,-76,100,100,-78,-57,100,100,100,100,100,100,-71,-84,100,100,-73,100,100,100,100,100,100,100,-68,-74,35,
21,2022-07-23-14:33:53,-84,-90,100,100,-76,-56,100,100,100,100,100,100,-86,-84,-96,100,-76,100,100,100,100,100,100,100,-69,-86,35,
22,2022-07-23-14:33:58,-83,100,100,100,-80,-55,100,100,100,100,100,100,-73,-83,100,100,-76,-91,100,100,100,100,100,100,-68,-71,35,
23,2022-07-23-14:34:03,-88,-91,100,100,100,-57,100,100,100,100,100,100,-86,100,-96,100,-90,100,100,100,100,100,100,100,-70,-85,35,
24,2022-07-23-14:34:08,-84,-79,100,100,-80,-54,100,100,-98,100,100,100,-74,-82,-96,100,-76,-91,100,100,100,100,100,100,-68,-71,35,
25,2022-07-23-14:34:13,-88,-77,100,100,-78,-57,100,100,100,100,100,100,-71,-83,100,100,-74,-92,100,100,100,100,100,100,-68,-74,35,
26,2022-07-23-14:34:18,-88,-91,100,100,-76,-56,100,100,-98,100,100,100,-86,-84,-96,100,-90,100,100,100,100,100,100,100,-69,-86,35,
27,2022-07-23-14:34:23,100,-76,100,100,-78,100,100,100,100,100,100,100,-71,100,100,100,-73,100,100,100,100,100,100,100,-67,-74,35,
28,2022-07-23-14:34:28,-88,-75,100,100,-77,-56,100,100,-93,100,100,100,-86,-84,-98,100,-91,100,100,100,100,100,100,100,-69,-86,35,
29,2022-07-23-14:34:33,-83,-78,100,100,-80,-55,100,100,100,100,100,100,-73,-83,100,100,-76,100,100,100,100,100,100,100,-68,-71,35,
30,2022-07-23-14:34:38,-89,-76,100,100,-78,-57,100,100,-91,100,100,100,-71,-84,100,100,-74,-93,100,100,100,100,100,100,-68,-73,35,
31,2022-07-23-14:34:43,-83,-80,100,100,-80,100,100,100,100,100,100,100,-73,100,100,100,-76,100,100,100,100,100,100,100,-68,-71,35,
32,2022-07-23-14:34:48,-89,-76,100,100,-77,-57,100,100,-98,100,100,100,-71,-84,100,100,-73,-94,100,100,100,100,100,100,-67,-74,35,
33,2022-07-23-14:34:53,-88,-91,100,100,-77,-57,100,100,-92,100,100,100,-71,-84,100,100,-91,-93,100,100,100,100,100,100,-70,-85,35,
34,2022-07-23-14:34:58,-83,-80,100,100,-80,-55,100,100,100,100,100,100,-74,-82,100,100,-76,-91,100,100,100,100,100,100,-68,-71,35,
35,2022-07-23-14:35:03,100,-91,100,100,-76,100,100,100,100,100,100,100,-86,100,100,100,-77,100,100,100,100,100,100,100,100,-86,35,
36,2022-07-23-14:35:08,-83,-80,100,100,-80,-56,100,100,100,100,100,100,-74,-82,100,100,-76,100,100,100,100,100,100,100,-68,-71,35,
37,2022-07-23-14:35:13,-90,-76,100,100,-77,-57,100,100,100,100,100,100,-71,100,-97,100,-73,-92,100,100,100,100,100,100,-67,-74,35,
38,2022-07-23-14:35:18,-88,-91,100,100,-76,-56,100,100,-101,100,100,100,-87,-84,-96,100,-73,-92,100,100,100,100,100,100,-69,-85,35,
39,2022-07-23-14:35:23,-87,-91,100,100,100,-56,100,100,100,100,100,100,-71,-85,100,100,-91,100,100,100,100,100,100,100,100,100,35,
40,2022-07-23-14:35:28,-88,-91,100,100,-76,-56,100,100,-92,100,100,100,-71,-85,100,100,-74,-92,100,100,100,100,100,100,-68,-86,35,
41,2022-07-23-14:35:33,-88,-80,100,100,-80,-56,100,100,100,100,100,100,-74,-84,100,100,-76,-91,100,100,100,100,100,100,-68,-71,35,
42,2022-07-23-14:35:38,-89,-76,100,100,-77,-57,100,100,-92,100,100,100,-71,-84,100,100,-73,-93,100,100,100,100,100,100,-67,-74,35,
43,2022-07-23-14:35:43,100,-76,100,100,-77,-57,100,100,-91,100,100,100,100,100,100,100,-74,100,100,100,100,100,100,100,-67,-74,35,
44,2022-07-23-14:35:48,-90,-80,100,100,-80,-55,100,100,-90,100,100,100,-73,-83,100,100,-76,100,100,100,100,100,100,100,-67,-74,35,
45,2022-07-23-14:35:53,-88,-90,100,100,-76,-56,100,100,-92,100,100,100,-86,100,-96,100,-73,-94,100,100,100,100,100,100,-69,-86,35,
46,2022-07-23-14:35:58,-83,-79,100,100,-76,-54,100,100,100,100,100,100,-74,-82,-96,100,-76,-91,100,100,100,100,100,100,-68,-71,35,
47,2022-07-23-14:36:03,-83,-80,100,100,100,-55,100,100,100,100,100,100,-73,-82,100,100,-76,-92,100,100,100,100,100,100,100,-71,35,
