index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-19-19:57:59,100,-96,-95,-87,-77,100,-92,-91,-100,-94,-96,-82,100,100,-85,-69,100,-80,-87,-86,-90,100,-66,-91,100,100,17
1,2022-07-19-19:58:04,100,100,100,-91,-79,100,-97,100,100,-97,-96,-71,100,100,-91,-65,100,-86,-86,-75,-89,100,-60,100,100,100,17
2,2022-07-19-19:58:09,100,100,100,-82,100,100,-91,100,100,-93,-92,-68,100,100,-91,-81,100,-83,-89,-72,-85,100,-53,100,100,100,17
3,2022-07-19-19:58:14,100,100,100,-92,-78,100,-95,100,100,-94,-92,-74,100,100,100,-84,100,-90,-98,-92,-88,100,-67,100,100,100,17
4,2022-07-19-19:58:19,100,-99,100,-83,-89,100,-97,100,100,-93,-96,-64,100,100,-95,-65,100,-82,-86,-76,-89,100,-60,100,100,100,17
5,2022-07-19-19:58:24,100,100,100,-80,-80,100,-89,-96,100,-93,-89,-63,100,100,-87,-67,100,-81,-85,-80,-89,100,-66,100,100,100,17
6,2022-07-19-19:58:29,100,100,100,-93,-79,100,-97,100,100,100,-93,-75,100,100,-95,-84,100,-91,100,-91,-85,100,-67,100,100,100,17
7,2022-07-19-19:58:34,100,100,100,-80,-80,100,-89,100,100,-97,-92,-64,100,100,-86,-67,100,-82,-85,100,100,100,-66,100,100,100,17
8,2022-07-19-19:58:39,100,100,100,-91,-79,100,-92,100,100,-99,-91,-77,100,100,-86,-84,100,-91,-86,-84,-85,100,-67,100,100,100,17
9,2022-07-19-19:58:44,100,100,100,-85,-88,100,-96,100,100,-98,-92,-66,100,100,-92,-65,100,-82,-86,-77,-87,100,-60,100,100,100,17
10,2022-07-19-19:58:49,100,100,100,-82,-80,100,-90,-96,100,100,-91,-65,100,100,-86,-67,100,-81,-85,-83,-88,100,-66,100,100,100,17
11,2022-07-19-19:58:54,100,-100,100,-85,-87,100,100,100,100,100,100,-66,100,100,-92,-65,100,-82,-85,100,-86,100,-60,100,100,100,17
12,2022-07-19-19:58:59,100,100,100,-80,-80,100,100,100,100,-92,-92,-64,100,100,-86,-67,100,-81,-85,-80,-86,100,-66,100,100,100,17
13,2022-07-19-19:59:04,100,100,100,-92,-78,100,-89,-96,100,100,-93,-76,100,100,-96,-83,100,-90,-85,-85,-84,100,-68,100,100,100,17
14,2022-07-19-19:59:09,100,100,100,-85,-88,100,-96,100,100,-94,-92,-66,100,100,-92,-65,100,-82,-86,-76,-86,100,-60,100,100,100,17
