index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-19-18:46:52,100,-94,-82,-101,-80,100,-91,-92,-93,-93,-90,-94,100,100,-64,-96,-95,-82,-82,-94,-99,100,-99,-94,100,-97,22
1,2022-07-19-18:46:57,100,-86,-96,100,-69,100,-84,-86,-93,-82,-93,-84,100,100,-62,-72,100,-80,100,-94,-88,100,100,100,100,100,22
2,2022-07-19-18:47:02,100,100,100,-88,-78,100,-89,-90,-97,-87,100,100,100,100,-65,-71,100,-84,-80,-86,-88,100,-83,-86,100,100,22
3,2022-07-19-18:47:07,100,-83,100,-94,-71,100,-83,-88,100,-84,100,-88,100,100,-60,-69,100,-82,-81,-85,-89,100,-73,-89,100,100,22
4,2022-07-19-18:47:12,100,-84,100,100,-74,100,-81,-89,-89,-83,-94,-89,100,100,-62,-76,100,-75,-78,100,-93,100,-83,-89,-93,100,22
5,2022-07-19-18:47:17,100,-84,-98,-87,-78,100,-91,-89,-94,-86,100,-81,100,100,-66,-71,100,-83,-80,-85,-86,100,-83,-85,100,100,22
6,2022-07-19-18:47:22,100,-81,-94,100,100,100,100,100,-88,-84,-91,100,100,100,-60,100,100,100,-78,100,-86,100,-80,100,100,100,22
7,2022-07-19-18:47:27,100,-83,-90,-87,-81,100,-94,100,-88,-86,100,-87,100,100,-70,-70,100,-83,-89,-86,-85,100,-86,-87,-93,100,22
8,2022-07-19-18:47:32,100,-83,100,-90,-70,100,-84,-87,-89,-82,-92,-83,100,100,-61,-71,100,-82,-90,-94,-89,100,-77,-87,100,100,22
9,2022-07-19-18:47:37,100,-89,-94,-91,-78,100,-80,-86,-89,-81,-90,-87,100,100,-63,-74,100,-75,-83,-86,-93,100,-80,-91,-95,100,22
10,2022-07-19-18:47:42,100,-83,100,100,-70,100,-82,100,100,-84,100,-85,100,100,100,-68,100,-82,-92,100,100,100,-74,100,100,100,22
11,2022-07-19-18:47:47,100,-83,100,-95,-75,100,-80,-88,-87,-84,-93,-86,100,100,-63,-74,100,-82,-80,100,-91,100,-80,100,100,100,22
12,2022-07-19-18:47:52,100,-82,100,-93,-80,100,-93,-91,-94,-86,-91,-82,100,100,-66,-70,100,-82,-80,-88,-86,100,-86,-87,100,100,22
13,2022-07-19-18:47:57,100,-83,100,-88,-70,100,-82,-88,-91,-84,-91,-86,100,100,-62,-68,100,-81,-92,100,-90,100,-73,-86,100,100,22
14,2022-07-19-18:48:02,100,-83,100,100,-70,100,-91,-88,100,100,-93,-85,100,100,-66,-70,100,-82,100,100,-90,100,-86,100,100,100,22
15,2022-07-19-18:48:07,100,-83,100,-89,-70,100,-82,-88,-92,-84,-92,-82,100,100,-62,-68,100,-82,-93,-87,-86,100,-85,-86,100,100,22
16,2022-07-19-18:48:12,100,-82,-93,-97,-70,100,-82,-88,-87,-84,-91,-86,100,100,-63,-73,100,-75,-80,-90,-89,100,-80,100,100,100,22
17,2022-07-19-18:48:17,100,-82,100,-88,-79,100,-91,-91,-88,-88,-89,-82,100,100,-66,-70,100,-82,-80,-88,-86,100,-85,100,100,100,22
18,2022-07-19-18:48:22,100,100,100,100,100,100,100,100,100,-87,100,-82,100,100,-66,-70,100,-82,-80,-88,100,100,-86,-87,100,100,22
19,2022-07-19-18:48:27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
20,2022-07-19-18:48:32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
21,2022-07-19-18:48:37,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
22,2022-07-19-18:48:42,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
23,2022-07-19-18:48:47,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
24,2022-07-19-18:48:52,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
25,2022-07-19-18:48:57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
26,2022-07-19-18:49:02,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
27,2022-07-19-18:49:07,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
28,2022-07-19-18:49:12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
29,2022-07-19-18:49:17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
30,2022-07-19-18:49:22,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
31,2022-07-19-18:49:27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
32,2022-07-19-18:49:32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
33,2022-07-19-18:49:37,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
34,2022-07-19-18:49:42,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
35,2022-07-19-18:49:47,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
36,2022-07-19-18:49:52,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
37,2022-07-19-18:49:57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
38,2022-07-19-18:50:02,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
39,2022-07-19-18:50:07,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
40,2022-07-19-18:50:12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
41,2022-07-19-18:50:17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
42,2022-07-19-18:50:22,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
43,2022-07-19-18:50:27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
44,2022-07-19-18:50:32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22
