index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-81.68
37,2022-07-23-13:51:01,-78,-68,-94,100,-72,-79,100,100,-81,100,100,-84,-81,-89,100,-80,-86,100,100,100,100,100,100,-59,-76,33,
38,2022-07-23-13:51:06,-78,-65,100,100,-72,-76,100,100,-81,100,100,-85,-80,100,100,-84,-85,100,100,100,100,100,100,-60,-76,33,
39,2022-07-23-13:51:11,-78,-65,100,100,-68,-79,100,100,-76,100,100,-89,-81,-89,100,-84,-85,100,100,100,100,100,100,-62,-79,33,
40,2022-07-23-13:51:16,-78,-58,-95,100,-73,-78,100,100,-75,100,100,-84,-81,100,100,-80,-85,100,100,100,100,100,100,-60,-79,33,
41,2022-07-23-13:51:21,-78,-59,-96,100,-68,-79,100,100,-75,100,100,-85,-93,-89,100,-85,-87,100,100,100,100,100,100,-60,-81,33,
42,2022-07-23-13:51:26,-85,-59,-95,100,-68,-76,100,100,-81,100,100,-84,-80,-89,100,-84,-76,100,100,100,100,100,100,-62,-81,33,
43,2022-07-23-13:51:31,-78,-65,-94,100,-72,-78,100,100,-81,100,100,-84,-81,-99,100,-84,-85,100,100,100,100,100,100,100,-79,33,
44,2022-07-23-13:51:36,-85,-65,-96,100,-72,-76,100,100,-75,100,100,-89,100,-89,100,-84,-76,100,100,100,100,100,100,-62,-81,33,
45,2022-07-23-13:51:41,-85,-68,100,100,-72,100,100,100,-75,100,100,-85,-80,-89,100,-80,-76,100,100,100,100,100,100,-59,-76,33,
46,2022-07-23-13:51:46,100,-59,100,100,-72,-91,100,100,-75,100,100,-90,-81,-88,100,-80,-86,100,100,100,100,100,100,-60,-79,33,
47,2022-07-23-13:51:51,-78,-58,-95,100,-68,-78,100,100,-84,100,100,-89,-80,100,100,-80,-85,100,100,100,100,100,100,-60,-81,33,
48,2022-07-23-13:51:56,-78,-65,-101,100,-68,-91,100,100,-75,100,100,-84,-81,-89,100,-84,-85,-94,100,100,100,100,100,-59,-81,33,
49,2022-07-23-13:52:01,-85,-59,100,100,-72,-76,100,100,-75,100,100,-85,-80,-89,100,-84,-86,100,100,100,100,100,100,-60,-76,33,
50,2022-07-23-13:52:06,-85,-59,100,100,-72,-76,100,100,-81,100,100,-85,-80,-88,100,-80,-85,100,100,100,100,100,100,-60,-79,33,
51,2022-07-23-13:52:11,-85,-65,100,100,-68,-76,100,100,-75,100,100,-84,100,-89,100,-85,-86,100,100,100,100,100,100,-59,-79,33,
52,2022-07-23-13:52:16,-85,-58,-94,100,-73,-78,100,100,-81,100,100,-84,-81,-88,100,-84,-76,100,100,100,100,100,100,-59,-81,33,
53,2022-07-23-13:52:21,-78,-65,100,100,-68,-78,100,100,-81,100,100,-85,-81,-88,100,-85,-76,100,100,100,100,100,100,-60,-81,33,
54,2022-07-23-13:52:26,-85,-68,100,100,-73,-76,100,100,-85,100,100,-85,-80,-88,100,-84,-76,100,100,100,100,100,100,-60,-79,33,
55,2022-07-23-13:52:31,-85,-59,-95,100,-72,-76,100,100,-75,100,100,-89,-81,-89,100,-80,-76,100,100,100,100,100,100,-59,-86,33,
56,2022-07-23-13:52:36,-85,-65,100,100,-73,-78,100,100,-81,100,100,-85,-81,-88,100,-84,-86,100,100,100,100,100,100,-62,-81,33,
57,2022-07-23-13:52:41,-85,-58,-95,100,-73,-76,100,100,-85,100,100,-85,-81,-88,100,-84,-76,100,100,100,100,100,100,-59,-79,33,
58,2022-07-23-13:52:46,-85,-65,100,100,-68,-76,100,100,-85,100,100,-84,-81,-89,100,-80,-85,100,100,100,100,100,100,-60,-79,33,
59,2022-07-23-13:52:51,-85,-58,-95,100,-68,-76,100,100,-85,100,100,-85,-81,100,100,-84,-86,100,100,100,100,100,100,-60,-79,33,
