index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-85
36,2022-07-23-13:48:11,-85,-71,-93,100,-86,-70,100,100,-85,100,100,-79,-72,100,100,-80,-78,100,100,100,100,100,100,-71,-88,33,
37,2022-07-23-13:48:16,-87,100,-91,100,-85,100,100,100,-83,100,100,-82,100,-93,100,-85,-85,100,100,100,100,100,100,-63,-79,33,
38,2022-07-23-13:48:21,-89,-71,-99,100,-86,-69,100,100,-84,100,100,-84,-73,-95,100,-87,-77,-96,100,100,100,100,100,-72,-79,33,
39,2022-07-23-13:48:26,-82,-72,-89,100,-85,-69,100,100,-89,100,100,-88,-72,-90,100,-83,-77,100,100,100,100,100,100,-59,-80,33,
40,2022-07-23-13:48:31,-90,-72,-89,100,-92,-76,100,100,-84,100,100,-81,-72,-92,100,-85,-92,100,100,100,100,100,100,-63,-79,33,
41,2022-07-23-13:48:36,-82,-70,-89,100,100,-69,100,100,-89,100,100,100,100,100,100,100,-77,100,100,100,100,100,100,-59,-80,33,
42,2022-07-23-13:48:41,-89,-71,-88,100,-92,-76,100,100,-83,100,100,-82,-91,-93,100,-87,-91,-98,100,100,100,100,100,-63,-79,33,
43,2022-07-23-13:48:46,-84,-71,-96,100,-85,-70,-97,100,-85,100,100,-78,-72,-96,100,-80,-77,-97,100,100,100,100,100,-71,-88,33,
44,2022-07-23-13:48:51,-82,-69,-90,100,-90,-69,100,100,-89,100,100,-87,-72,100,100,-82,-77,100,100,100,100,100,100,-59,-80,33,
45,2022-07-23-13:48:56,100,100,-97,100,100,-69,100,100,-89,100,100,-78,100,-97,100,-83,100,100,100,100,100,100,100,100,100,33,
46,2022-07-23-13:49:01,-82,-70,-90,100,100,-68,100,100,-89,100,100,-86,-72,-90,100,-80,-77,-95,100,100,100,100,100,-58,-88,33,
47,2022-07-23-13:49:06,-90,-72,-88,100,-91,-76,100,100,-83,100,100,100,-90,-94,100,-85,-91,-98,100,100,100,100,100,-59,-79,33,
48,2022-07-23-13:49:11,-85,-71,100,100,-86,-70,-97,100,-85,100,100,-78,-72,-97,100,-80,-77,100,100,100,100,100,100,-71,-88,33,
49,2022-07-23-13:49:16,-85,-71,-98,100,100,-70,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,33,
50,2022-07-23-13:49:21,-90,-71,-89,100,-86,-70,-96,100,-84,100,100,-79,-91,-93,100,-79,-77,-98,100,100,100,100,100,-63,-79,33,
51,2022-07-23-13:49:26,-82,-69,-88,100,-92,-69,100,100,-90,100,100,-79,-72,-91,100,-83,-77,100,100,100,100,100,100,-59,-80,33,
52,2022-07-23-13:49:31,-90,-72,-88,100,-91,-76,100,100,-84,100,100,-82,-90,-93,100,-85,-91,-97,100,100,100,100,100,-63,-79,33,
53,2022-07-23-13:49:36,100,-71,-89,100,100,-76,-101,100,100,100,100,-82,100,100,100,100,-91,-96,100,100,100,100,100,100,-79,33,
54,2022-07-23-13:49:41,-82,-72,-88,100,-91,-69,100,100,-89,100,100,-85,-91,-91,100,-83,-77,100,100,100,100,100,100,-59,-79,33,
55,2022-07-23-13:49:46,-89,-71,-89,100,-86,-70,100,100,-84,100,100,-78,-72,-93,100,-80,-91,-96,100,100,100,100,100,-63,-88,33,
56,2022-07-23-13:49:51,-82,-69,-90,100,-91,-69,100,100,-89,100,100,-86,-72,-90,100,-82,-77,100,100,100,100,100,100,-72,-80,33,
57,2022-07-23-13:49:56,-82,100,-90,100,-91,-69,100,100,-90,100,100,-87,-72,100,100,-83,-77,100,100,100,100,100,100,-58,-80,33,
58,2022-07-23-13:50:01,-85,-71,-98,100,-87,-71,100,100,-85,100,100,-78,-72,-97,100,-80,-77,100,100,100,100,100,100,-71,-88,33,
59,2022-07-23-13:50:06,-82,-72,-88,100,-92,-76,100,100,-84,100,100,-82,-91,-90,100,-85,-77,100,100,100,100,100,100,-63,-80,33,
