index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
37,2022-07-22-15:04:00,100,-84,100,100,-88,100,-81,-83,-74,-91,100,100,100,100,-88,100,100,-74,-68,100,100,100,100,100,100,100,52
38,2022-07-22-15:04:05,100,-81,100,100,-86,100,-86,-76,-73,-94,100,100,100,100,-80,100,100,-76,-63,100,100,100,100,100,100,100,52
39,2022-07-22-15:04:10,100,-84,100,-96,-87,100,-83,-76,-74,-95,100,100,100,100,-80,100,100,-69,-74,100,100,100,100,100,100,100,52
40,2022-07-22-15:04:15,100,-79,100,100,-88,100,-80,-84,-74,100,100,100,100,100,-82,100,100,-72,-71,100,100,100,100,100,100,100,52
41,2022-07-22-15:04:20,100,-84,100,100,-88,100,-80,-76,-73,100,100,100,100,100,-84,100,100,-72,-71,100,100,100,100,100,100,100,52
42,2022-07-22-15:04:25,100,-84,100,100,-93,100,-83,-77,-76,-95,100,100,100,100,-84,100,100,-80,-75,100,100,100,100,100,100,100,52
43,2022-07-22-15:04:30,100,-84,100,100,-88,100,-80,-76,-74,100,100,-95,100,100,-82,100,100,-69,-63,100,100,100,100,100,100,100,52
44,2022-07-22-15:04:35,100,-84,100,-96,-88,100,-86,-85,-74,100,100,100,100,100,-84,100,100,-80,-71,100,100,100,100,100,100,100,52
45,2022-07-22-15:04:40,100,-79,100,-96,-88,100,-86,-84,-73,-98,100,-91,100,100,-82,100,100,-69,-75,100,100,100,100,100,100,100,52
46,2022-07-22-15:04:45,100,-84,100,-97,-88,100,-86,-77,-73,100,100,100,100,100,-82,100,100,-69,-71,100,100,100,100,100,100,100,52
47,2022-07-22-15:04:50,100,-84,100,100,-94,100,-86,-76,-73,-96,100,100,100,100,-88,100,100,-72,-75,100,100,100,100,100,100,100,52
48,2022-07-22-15:04:55,100,-79,100,-96,-88,100,-80,-77,-74,100,100,100,100,100,-82,100,100,-69,-63,100,100,100,100,100,100,100,52
49,2022-07-22-15:05:00,100,-84,100,-97,-88,100,-86,-77,-76,-91,100,100,100,100,-88,100,100,-69,-71,100,100,100,100,100,100,100,52
50,2022-07-22-15:05:05,100,-84,100,-97,-88,100,-83,-76,-74,-91,100,100,100,100,-88,100,100,-80,-63,100,100,100,100,100,100,100,52
51,2022-07-22-15:05:10,100,-79,100,100,-89,100,-80,-85,-73,100,100,100,100,100,-84,100,100,-69,-75,100,100,100,100,100,-96,100,52
52,2022-07-22-15:05:15,100,-84,100,-97,-88,100,-80,-76,-73,100,100,-91,100,100,-89,100,100,-72,-75,100,100,100,100,100,100,100,52
53,2022-07-22-15:05:20,100,-84,100,-96,-88,100,-86,-77,-76,-96,100,100,100,100,100,100,100,-72,-75,100,100,100,100,100,-96,100,52
54,2022-07-22-15:05:25,100,-84,100,-96,-88,100,-83,-84,-74,100,100,100,100,100,-84,100,100,-80,-75,100,100,100,100,100,100,100,52
55,2022-07-22-15:05:30,100,-79,100,-97,-88,100,-80,-76,-74,100,100,100,100,100,-88,100,100,-72,-63,100,100,100,100,100,100,100,52
56,2022-07-22-15:05:35,100,-84,100,100,-88,100,-83,-85,-73,-96,100,100,100,100,-88,100,100,-80,-63,100,100,100,100,100,100,100,52
57,2022-07-22-15:05:40,100,-83,100,100,-87,100,-86,-75,-73,-97,100,100,100,100,-82,100,100,-72,-63,100,100,100,100,100,100,100,52
58,2022-07-22-15:05:45,100,-85,100,-96,100,100,-80,-85,-76,-93,100,100,100,100,-85,100,100,-68,-76,100,100,100,100,100,100,100,52
59,2022-07-22-15:05:50,100,-84,100,100,-97,100,-85,-77,-74,100,100,-89,100,100,-85,100,100,-71,-67,100,100,100,100,100,100,100,52
