index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-14:04:00,-89,-64,-73,100,-79,-87,-89,-87,-65,100,-94,-93,-96,-78,-96,-82,-69,-84,100,100,100,100,100,-74,-80,50
1,2022-07-22-14:04:05,-86,-58,-85,100,-75,100,100,-91,-70,100,100,100,100,-73,100,-82,-69,-83,100,100,100,100,100,-74,-82,50
2,2022-07-22-14:04:10,100,-74,100,100,-76,100,-94,100,-74,100,100,-94,100,-94,100,-94,-82,-85,100,100,100,100,100,-72,-82,50
3,2022-07-22-14:04:15,-88,-60,-82,100,-74,100,100,-89,-67,100,-93,-98,100,-75,100,-82,-69,-82,100,100,100,100,100,-72,-84,50
4,2022-07-22-14:04:20,-95,-69,-73,100,-80,100,-93,-94,-73,100,100,-95,-100,-73,100,-82,-79,-80,100,100,100,100,100,-67,-82,50
5,2022-07-22-14:04:25,100,-65,-90,100,-68,100,100,-94,-73,100,100,100,-93,100,100,-92,-82,100,100,100,100,100,100,-72,-81,50
6,2022-07-22-14:04:30,100,-61,-72,100,-75,100,-89,100,-69,100,-94,100,-98,-71,100,-84,-75,100,100,100,100,100,100,-69,-84,50
7,2022-07-22-14:04:35,-97,-61,-85,100,-73,100,100,100,-72,100,100,100,100,-89,100,-91,100,-87,100,100,100,100,100,-71,-80,50
8,2022-07-22-14:04:40,100,-61,-82,100,-70,-84,-94,-89,-65,100,100,100,100,-74,100,-78,-69,-88,100,100,100,100,100,-75,-87,50
9,2022-07-22-14:04:45,-95,-60,-72,100,-74,-84,-86,100,-70,100,100,-94,-90,-72,100,-84,-77,-82,100,100,100,100,100,-71,-82,50
10,2022-07-22-14:04:50,100,-61,-83,100,-73,-80,100,-89,-65,100,100,100,-92,-74,100,-80,-69,-90,100,100,100,100,100,-75,-84,50
11,2022-07-22-14:04:55,-90,-60,-72,100,-74,-89,-88,100,-70,100,100,100,-91,-72,100,-84,-77,-81,100,100,100,100,100,-69,-84,50
12,2022-07-22-14:05:00,100,-63,-91,100,-74,-86,-88,100,100,100,100,100,100,-92,100,-91,-79,-88,100,100,100,100,100,-71,-80,50
13,2022-07-22-14:05:05,100,-61,-83,100,-73,-91,-97,-89,-65,100,100,100,-94,-74,-93,-81,-69,-90,100,100,100,100,100,-74,-86,50
14,2022-07-22-14:05:10,100,-62,-92,100,100,100,100,100,100,100,100,100,100,-93,100,-90,100,100,100,100,100,100,100,-71,100,50
15,2022-07-22-14:05:15,-91,-62,-83,100,-72,-97,100,-88,-65,100,100,100,-94,-74,100,-81,-69,-90,100,100,100,100,100,-75,-86,50
16,2022-07-22-14:05:20,100,-60,-72,100,-74,-85,-88,100,-70,100,100,-94,-91,-72,100,-84,-77,-81,100,100,100,100,100,-69,-83,50
17,2022-07-22-14:05:25,-94,-62,-72,100,-74,-86,-88,100,-74,100,100,100,100,-93,100,-90,-79,-88,100,100,100,100,100,-72,-80,50
18,2022-07-22-14:05:30,-94,-60,-72,100,-74,100,-87,100,100,100,100,100,100,-72,100,-85,-77,100,100,100,100,100,100,-69,-84,50
19,2022-07-22-14:05:35,-94,-63,-72,100,-74,-94,-94,100,-74,100,100,100,-96,-71,100,-90,-80,-86,100,100,100,100,100,-71,-80,50
20,2022-07-22-14:05:40,-91,-61,-83,100,-73,100,-96,100,-65,100,100,100,-93,-74,100,-81,-69,-87,100,100,100,100,100,-75,-86,50
