index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-20:09:13,100,-93,-55,100,-93,100,-94,-75,-86,100,100,100,100,-93,100,100,-78,-72,100,100,100,100,100,100,100,57
1,2022-07-22-20:09:18,100,-73,-48,100,100,100,-93,-96,-77,100,100,100,100,-83,100,100,-78,-76,100,100,100,100,100,100,100,57
2,2022-07-22-20:09:23,100,-75,-51,100,100,100,-93,-80,-82,100,100,100,100,-87,100,100,-85,-77,100,100,100,100,100,100,100,57
3,2022-07-22-20:09:28,100,-74,-51,100,100,100,100,-76,-86,100,100,100,100,-86,100,100,-85,-74,100,100,100,100,100,100,100,57
4,2022-07-22-20:09:33,100,-78,-50,100,100,100,100,-79,-84,100,100,100,100,-87,100,100,-82,-83,100,100,100,100,100,100,100,57
5,2022-07-22-20:09:38,100,-72,-56,100,-93,100,-93,-77,-75,100,100,100,100,-84,100,100,-71,-80,100,100,100,100,100,100,100,57
6,2022-07-22-20:09:43,100,-76,-58,100,-90,100,100,-81,-76,100,100,100,100,-84,100,100,-78,-68,100,100,100,100,100,100,100,57
7,2022-07-22-20:09:48,100,-76,-58,100,-94,100,100,-80,-74,100,100,100,100,-90,100,100,-80,-79,100,100,100,100,100,100,100,57
8,2022-07-22-20:09:53,100,-74,-50,100,-97,100,100,-77,-76,100,100,100,100,-89,100,100,-71,-78,100,100,100,100,100,100,100,57
9,2022-07-22-20:09:58,100,-74,-57,100,100,100,-95,-77,-76,100,100,100,100,-89,100,100,-70,-80,100,100,100,100,100,100,100,57
10,2022-07-22-20:10:03,100,-74,-57,100,100,100,-96,-77,-75,100,100,100,100,-84,100,100,-77,-79,100,100,100,100,100,100,100,57
11,2022-07-22-20:10:08,100,-74,-58,100,-99,100,100,-80,-75,100,100,100,100,-89,100,100,-70,-80,100,100,100,100,100,100,100,57
12,2022-07-22-20:10:13,100,-73,-58,100,-96,100,100,-93,-75,100,100,100,100,-89,100,100,-70,-78,100,100,100,100,100,100,100,57
13,2022-07-22-20:10:18,100,-74,-50,100,100,100,-96,-77,-74,100,100,100,100,-84,100,100,-77,-78,100,100,100,100,100,100,100,57
14,2022-07-22-20:10:23,100,-74,-57,100,100,100,100,-93,-75,100,100,100,100,-84,100,100,-71,-80,100,100,100,100,100,100,100,57
15,2022-07-22-20:10:28,100,-73,-51,100,100,100,100,-93,-74,100,100,100,100,-84,100,100,-81,-80,100,100,100,100,100,100,100,57
16,2022-07-22-20:10:33,100,-73,-57,100,100,100,-95,-80,-75,100,100,100,100,-82,100,100,-70,-68,100,100,100,100,100,100,100,57
17,2022-07-22-20:10:38,100,-73,-50,100,-94,100,100,-77,-74,100,100,100,100,-89,100,100,-77,-68,100,100,100,100,100,100,100,57
18,2022-07-22-20:10:43,100,-74,-51,100,100,100,-95,-77,-75,100,100,100,100,-84,100,100,-70,-80,100,100,100,100,100,100,100,57
19,2022-07-22-20:10:48,100,-74,-50,100,-93,100,-95,-77,-75,100,100,100,100,-82,100,100,-77,-68,100,100,100,100,100,100,100,57
20,2022-07-22-20:10:53,100,-74,-57,100,-93,100,100,-77,-75,100,100,100,100,-83,100,100,100,-80,100,100,100,100,100,100,100,57
21,2022-07-22-20:10:58,100,-74,-50,100,-98,100,-94,-93,-75,100,100,100,100,-83,100,100,-70,-78,100,100,100,100,100,100,100,57
22,2022-07-22-20:11:03,100,-73,-58,100,100,100,-95,-93,-75,100,100,100,100,-82,100,100,-70,-68,100,100,100,100,100,100,100,57
23,2022-07-22-20:11:08,100,-74,-50,100,-97,100,-96,-79,-74,100,100,100,100,-89,100,100,-71,-79,100,100,100,100,100,100,100,57
24,2022-07-22-20:11:13,100,-78,-58,100,-92,100,-97,-81,-74,100,100,100,100,-82,100,100,-77,-84,100,100,100,100,100,100,100,57
25,2022-07-22-20:11:18,100,-73,-51,100,100,100,-96,-77,-74,100,100,100,100,-84,100,100,-70,-78,100,100,100,100,100,100,100,57
26,2022-07-22-20:11:23,100,-73,-58,100,100,100,100,-80,-74,100,100,100,100,-82,100,100,-71,-68,100,100,100,100,100,100,100,57
27,2022-07-22-20:11:28,100,-73,-57,100,100,100,100,-93,-75,100,100,100,100,-89,100,100,-77,-68,100,100,100,100,100,100,100,57
28,2022-07-22-20:11:33,100,-73,-50,100,-99,100,-95,-80,-75,100,100,100,100,-84,100,100,-70,-78,100,100,100,100,100,100,100,57
29,2022-07-22-20:11:38,100,-73,-58,100,100,100,-96,-77,-75,100,100,100,100,-89,100,100,-81,-80,100,100,100,100,100,100,100,57
30,2022-07-22-20:11:43,100,-73,-58,100,100,100,100,-77,-75,100,100,100,100,-83,100,100,-80,-80,100,100,100,100,100,100,100,57
31,2022-07-22-20:11:48,100,-74,-58,100,100,100,100,-80,-75,100,100,100,100,-82,100,100,-70,-80,100,100,100,100,100,100,100,57
32,2022-07-22-20:11:53,100,-72,-50,100,-93,100,100,-80,-75,100,100,100,100,-84,100,100,-70,-80,100,100,100,100,100,100,100,57
33,2022-07-22-20:11:58,100,-74,-50,100,100,100,-96,-77,-74,100,100,100,100,-84,100,100,-80,-68,100,100,100,100,100,100,100,57
