index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-84.68,-84.68
36,2022-07-23-14:11:15,-90,-67,100,100,-81,-80,100,100,-85,100,100,-78,-85,-88,100,-83,-83,100,100,100,100,100,100,-61,-82,34,,
37,2022-07-23-14:11:20,-95,-67,100,100,-71,-69,100,100,-94,100,100,-78,-84,-89,100,-83,-88,100,100,100,100,100,100,-61,-82,34,,
38,2022-07-23-14:11:25,-86,-63,100,100,-71,-68,100,100,-85,100,100,-78,-84,-90,100,-80,-83,100,100,100,100,100,100,-77,-83,34,,
39,2022-07-23-14:11:30,-95,-63,100,100,-71,-68,100,100,-85,100,100,-78,-85,-90,100,-76,-85,100,100,100,100,100,100,-61,-81,34,,
40,2022-07-23-14:11:35,-90,-63,100,100,-71,-68,100,100,-84,100,100,-77,100,-88,100,-83,-88,100,100,100,100,100,100,-59,-83,34,,
41,2022-07-23-14:11:40,-90,-63,100,100,-74,-68,100,100,100,100,100,-77,-84,-88,100,-83,-83,100,100,100,100,100,100,-77,-82,34,,
42,2022-07-23-14:11:45,-90,-65,100,100,-71,-80,100,100,-89,100,100,-78,-78,-88,100,-83,-85,100,100,100,100,100,100,-61,-82,34,,
43,2022-07-23-14:11:50,-90,-63,100,100,-71,-80,100,100,-94,100,100,-77,-85,-90,100,-83,-88,100,100,100,100,100,100,-61,-81,34,,
44,2022-07-23-14:11:55,-90,-66,100,100,-71,-80,100,100,-95,100,100,-88,-85,-90,100,-83,-88,100,100,100,100,100,100,-61,-82,34,,
45,2022-07-23-14:12:00,-90,-65,100,100,-81,-68,100,100,-85,100,100,-88,-84,-90,100,-83,-88,100,100,100,100,100,100,-77,-81,34,,
46,2022-07-23-14:12:05,-85,-68,100,100,-73,-80,100,100,100,100,100,-93,-78,-90,100,-80,-85,100,100,100,100,100,100,-59,-81,34,,
47,2022-07-23-14:12:10,-86,-68,100,100,-71,-68,100,100,-85,100,100,-77,-78,-88,100,-76,-83,100,100,100,100,100,100,-59,-81,34,,
48,2022-07-23-14:12:15,-90,-63,100,100,-74,-68,100,100,-85,100,100,-77,-85,-89,100,-83,-85,100,100,100,100,100,100,-77,-84,34,,
49,2022-07-23-14:12:20,-86,-65,100,100,-82,-80,100,100,-83,100,100,-88,-78,-89,100,-76,-83,100,100,100,100,100,100,-77,-81,34,,
50,2022-07-23-14:12:25,-88,-62,100,100,-80,-79,100,100,-90,100,100,-79,-79,-89,100,-77,-81,100,100,100,100,100,100,-59,-84,34,,
51,2022-07-23-14:12:30,-85,-67,100,100,-81,-83,100,100,-84,100,100,-87,-86,-90,100,-80,-88,100,100,100,100,100,100,-76,-81,34,,
52,2022-07-23-14:12:35,-92,-63,100,100,-74,-68,100,100,-95,100,100,-93,-79,-88,100,-77,-89,100,100,100,100,100,100,-59,-81,34,,
53,2022-07-23-14:12:40,-90,-67,100,100,-81,-68,100,100,-94,100,100,-89,-84,-88,100,100,-83,100,100,100,100,100,100,-59,-82,34,,
54,2022-07-23-14:12:45,-86,-65,100,100,-81,-80,100,100,-94,100,100,-77,-78,-88,100,-76,-85,100,100,100,100,100,100,-59,-82,34,,
55,2022-07-23-14:12:50,-86,-68,100,100,-71,-68,100,100,-85,100,100,-89,-84,-89,100,-83,-85,100,100,100,100,100,100,-77,-81,34,,
56,2022-07-23-14:12:55,-90,-66,100,100,-71,-80,100,100,-85,100,100,-93,-85,-90,100,-80,-85,100,100,100,100,100,100,-59,-83,34,,
57,2022-07-23-14:13:00,-90,-67,100,100,-71,-68,100,100,-94,100,100,-94,-78,-88,100,-83,-83,-100,100,100,100,100,100,-61,-82,34,,
58,2022-07-23-14:13:05,100,-67,100,100,-81,-68,100,100,100,100,100,-78,-85,-90,100,-83,-85,100,100,100,100,100,100,-77,-82,34,,
59,2022-07-23-14:13:10,-86,-63,100,100,-81,-68,100,100,100,100,100,-93,-78,-90,100,-80,-83,100,100,100,100,100,100,-77,-84,34,,
