index,time,rvX,rvY,rvZ,rvW,gacX,gacY,gacZ,lacX,lacY,lacZ
0,2022-11-19-09:48:26:339,-0.021215275,0.104719095,0.99427366,0.001924031,-0.41767058,2.041325,9.582741,-0.08500272,0.036119938,-0.021767616
1,2022-11-19-09:48:26:348,-0.021215275,0.104719095,0.99427366,0.001924031,-0.41767058,2.041325,9.582741,-0.08500272,0.036119938,-0.021767616
2,2022-11-19-09:48:26:358,-0.021215275,0.104719095,0.99427366,0.001924031,-0.41767058,2.041325,9.582741,-0.08500272,0.036119938,-0.021767616
3,2022-11-19-09:48:26:369,-0.02050771,0.105374046,0.99422026,0.0013850834,-0.40276173,2.0542305,9.580622,-0.1951369,0.13195753,0.4876461
4,2022-11-19-09:48:26:379,-0.02050771,0.105374046,0.99422026,0.0013850834,-0.40276173,2.0542305,9.580622,-0.1951369,0.13195753,0.4876461
5,2022-11-19-09:48:26:391,-0.019026853,0.10704979,0.99407125,0.00084630726,-0.3727438,2.0868359,9.574788,0.124310404,0.023972511,0.10449505
6,2022-11-19-09:48:26:402,-0.019026853,0.10704979,0.99407125,0.00084630726,-0.3727438,2.0868359,9.574788,0.124310404,0.023972511,0.10449505
7,2022-11-19-09:48:26:413,-0.01772959,0.10873087,0.9939131,0.00011912273,-0.3458732,2.119549,9.568608,0.37392512,-0.079523325,-0.8286314
8,2022-11-19-09:48:26:425,-0.01772959,0.10873087,0.9939131,0.00011912273,-0.32288545,2.1192772,9.569473,0.15437979,0.0018692017,0.04807186
9,2022-11-19-09:48:26:435,0.016611509,-0.10870498,-0.99393517,0.00044327645,-0.32288545,2.1192772,9.569473,0.15437979,0.0018692017,0.04807186
10,2022-11-19-09:48:26:446,0.01586103,-0.10876329,-0.99394107,0.0003399019,-0.30847722,2.1203878,9.569701,0.11601493,-0.08155894,0.14208984
11,2022-11-19-09:48:26:456,0.01586103,-0.10876329,-0.99394107,0.0003399019,-0.30847722,2.1203878,9.569701,0.11601493,-0.08155894,0.14208984
12,2022-11-19-09:48:26:466,0.016056776,-0.10952283,-0.9938546,6.779836e-05,-0.3128454,2.1349244,9.566327,-0.3076044,-0.02908969,0.639349
13,2022-11-19-09:48:26:476,0.016056776,-0.10952283,-0.9938546,6.779836e-05,-0.3128454,2.1349244,9.566327,-0.3076044,-0.02908969,0.639349
