index,time,rvX,rvY,rvZ,rvW,gacX,gacY,gacZ,lacX,lacY,lacZ
0,2022-12-01-14:01:32:396,0.08963253,-0.036351103,-0.6519232,0.75209093,-0.66162807,1.7762519,9.621723,-0.006746471,0.029601097,-0.15989113
1,2022-12-01-14:01:32:411,0.09101507,-0.035357177,-0.65158576,0.7522646,-0.66162807,1.7762519,9.621723,-0.006746471,0.029601097,-0.15989113
2,2022-12-01-14:01:32:422,0.09236703,-0.03601278,-0.65144145,0.75219375,-0.64194816,1.773461,9.623571,-0.02386409,-0.0044699907,0.15636158
3,2022-12-01-14:01:32:432,0.09236703,-0.03601278,-0.65144145,0.75219375,-0.64194816,1.773461,9.623571,-0.02386409,-0.0044699907,0.15636158
4,2022-12-01-14:01:32:441,0.09250223,-0.03607834,-0.65142703,0.7521866,-0.61858463,1.774671,9.624878,-0.19199985,0.030563474,0.7104559
5,2022-12-01-14:01:32:452,0.09250223,-0.03607834,-0.65142703,0.7521866,-0.61858463,1.774671,9.624878,-0.19199985,0.030563474,0.7104559
6,2022-12-01-14:01:32:466,0.092596486,-0.035308085,-0.6515075,0.75214183,-0.5935795,1.8005868,9.621639,0.10321945,-0.00879693,-0.19214535
7,2022-12-01-14:01:32:473,0.092596486,-0.035308085,-0.6515075,0.75214183,-0.5935795,1.8005868,9.621639,0.10321945,-0.00879693,-0.19214535
8,2022-12-01-14:01:32:485,0.093589574,-0.035622094,-0.651445,0.75205827,-0.57402366,1.8191957,9.619325,0.008455098,0.041771173,-0.37867165
9,2022-12-01-14:01:32:495,0.09146212,-0.035424232,-0.65177095,0.7520468,-0.57402366,1.8191957,9.619325,0.008455098,0.041771173,-0.37867165
10,2022-12-01-14:01:32:505,0.09146212,-0.035424232,-0.65177095,0.7520468,-0.5580434,1.8255609,9.61906,-0.34279805,0.21670437,0.044430733
11,2022-12-01-14:01:32:516,0.08869321,-0.034122273,-0.6520041,0.75223655,-0.5380504,1.8361945,9.618175,-0.34624225,0.2658484,-0.0719614
12,2022-12-01-14:01:32:525,0.08828902,-0.033595372,-0.65209866,0.7522258,-0.5380504,1.8361945,9.618175,-0.34624225,0.2658484,-0.0719614
13,2022-12-01-14:01:32:538,0.08828902,-0.033595372,-0.65209866,0.7522258,-0.5380504,1.8361945,9.618175,-0.34624225,0.2658484,-0.0719614
14,2022-12-01-14:01:32:546,0.08828902,-0.033595372,-0.65209866,0.7522258,-0.5380504,1.8361945,9.618175,-0.34624225,0.2658484,-0.0719614
15,2022-12-01-14:01:32:557,0.08828902,-0.033595372,-0.65209866,0.7522258,-0.51800823,1.8478061,9.617051,-0.13296068,0.26790714,-0.71952057
16,2022-12-01-14:01:32:568,0.08729946,-0.03428099,-0.6521834,0.7520719,-0.50086564,1.8138247,9.624426,0.31023282,-0.0746268,-0.25701904
17,2022-12-01-14:01:32:594,0.08870959,-0.03428099,-0.6521834,0.7520719,-0.50086564,1.8138247,9.624426,0.31023282,-0.0746268,-0.25701904
18,2022-12-01-14:01:32:605,0.08870959,-0.03428099,-0.6521834,0.7520719,-0.49024203,1.7848785,9.630383,0.5373928,-0.31641793,0.5131941
19,2022-12-01-14:01:32:616,0.08745476,-0.03612213,-0.6527591,0.75163317,-0.49024203,1.7848785,9.630383,0.5373928,-0.31641793,0.5131941
