index,time,rvX,rvY,rvZ,rvW,gacX,gacY,gacZ,lacX,lacY,lacZ
105,2022-11-19-14:27:44:946,0.08449089,-0.08604674,-0.77206117,0.62400234,0.007287629,1.7688428,9.645803,-0.3895754,0.77353776,-0.94098186
106,2022-11-19-14:27:44:957,0.095962405,-0.10129268,-0.7699282,0.62268907,0.007287629,1.7688428,9.645803,-0.3895754,0.77353776,-0.94098186
107,2022-11-19-14:27:44:968,0.095667414,-0.10104436,-0.7702629,0.6223607,-0.010309124,1.7515892,9.648949,-0.53716236,0.9995507,-0.5328741
108,2022-11-19-14:27:44:979,0.095667414,-0.10104436,-0.7702629,0.6223607,-0.010309124,1.7515892,9.648949,-0.53716236,0.9995507,-0.5328741
109,2022-11-19-14:27:44:990,0.095667414,-0.10104436,-0.7702629,0.6223607,-0.031343665,1.7444574,9.650196,-0.71004295,1.3422403,-0.48981953
110,2022-11-19-14:27:44:999,0.095667414,-0.10104436,-0.7702629,0.6223607,-0.031343665,1.7444574,9.650196,-0.71004295,1.3422403,-0.48981953
111,2022-11-19-14:27:45:011,0.10396612,-0.10671512,-0.7688004,0.6218914,-0.047400597,1.7432877,9.650341,-0.9142703,1.7100006,-0.47003746
112,2022-11-19-14:27:45:021,0.103818834,-0.10654635,-0.7687735,0.6219783,-0.065113224,1.7431191,9.650269,-0.8126478,1.8799621,-0.04986286
113,2022-11-19-14:27:45:033,0.103818834,-0.10654635,-0.7687735,0.6219783,-0.065113224,1.7431191,9.650269,-0.8126478,1.8799621,-0.04986286
114,2022-11-19-14:27:45:043,0.0992071,-0.10649721,-0.7688308,0.6226682,-0.08213441,1.7524439,9.64845,-0.60392267,1.8341287,0.27710056
115,2022-11-19-14:27:45:054,0.09722744,-0.10796195,-0.76786023,0.6239245,-0.08213441,1.7524439,9.64845,-0.60392267,1.8341287,0.27710056
116,2022-11-19-14:27:45:064,0.09722744,-0.10796195,-0.76786023,0.6239245,-0.09207521,1.7772341,9.643825,-0.48134077,1.8422318,0.24297333
117,2022-11-19-14:27:45:075,0.09403882,-0.10848977,-0.76779544,0.6244013,-0.09207521,1.7772341,9.643825,-0.48134077,1.8422318,0.24297333
118,2022-11-19-14:27:45:085,0.09403882,-0.10848977,-0.76779544,0.6244013,-0.09207521,1.7772341,9.643825,-0.48134077,1.8422318,0.24297333
119,2022-11-19-14:27:45:096,0.092893,-0.109583914,-0.76766115,0.6245469,-0.094610535,1.8095511,9.637788,-0.2632149,1.7590584,0.110370636
120,2022-11-19-14:27:45:107,0.0927784,-0.10969331,-0.76764756,0.6245613,-0.09727692,1.8386388,9.632255,0.014930844,1.659768,0.33075047
121,2022-11-19-14:27:45:117,0.0927784,-0.10969331,-0.76764756,0.6245613,-0.09727692,1.8386388,9.632255,0.014930844,1.659768,0.33075047
122,2022-11-19-14:27:45:127,0.09531062,-0.10391908,-0.7684375,0.624196,-0.100310795,1.8654321,9.627071,0.25993526,1.5696077,0.711874
123,2022-11-19-14:27:45:137,0.09531062,-0.10391908,-0.7684375,0.624196,-0.100310795,1.8654321,9.627071,0.25993526,1.5696077,0.711874
124,2022-11-19-14:27:45:148,0.09528876,-0.10368665,-0.76846766,0.6242008,-0.09989299,1.896331,9.621037,0.4272284,1.6571832,0.8297348
