index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-12-01-14:01:33:174,-88,-69,-80,100,-69,-86,-92,-90,-72,100,100,100,-94,-80,-85,100,-68,-71,-80,100,100,-80,100,100,-83,-89
1,2022-12-01-14:01:36:376,100,100,-77,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,-79,-81,100,100,100,100,100,100,100
2,2022-12-01-14:01:39:520,100,-88,100,100,-79,100,-92,-88,-66,100,100,100,100,100,100,100,100,-95,100,100,100,100,100,100,100,100
3,2022-12-01-14:01:42:532,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,2022-12-01-14:01:45:577,100,-90,-67,100,-91,100,-87,-86,100,100,100,100,100,100,-86,100,100,-77,-61,100,100,100,100,100,100,100
5,2022-12-01-14:01:48:860,100,-89,-73,-90,-92,100,-84,-82,-87,-93,100,100,100,100,-83,100,100,-76,-60,100,-92,100,100,100,100,100
6,2022-12-01-14:01:51:947,100,-86,-69,-81,-77,100,-84,-92,-79,-80,100,100,100,100,-72,-91,100,-58,-64,-84,-81,100,-88,-86,100,100
7,2022-12-01-14:01:54:886,100,-74,-78,-87,-76,100,-91,-86,-75,-80,-87,100,100,100,-75,-85,100,-56,-76,-78,-85,100,100,100,-90,100
8,2022-12-01-14:01:57:916,100,-69,-86,100,-61,100,-87,100,-85,-82,-88,100,100,-82,-72,-88,-82,-76,-82,-85,-82,100,-85,-81,-77,-78
9,2022-12-01-14:02:00:998,-86,-56,100,-80,-63,-90,-88,100,-84,-85,-91,100,100,100,100,-85,100,-78,-84,-81,-80,100,-83,100,-83,100
10,2022-12-01-14:02:04:140,-80,100,100,100,100,100,100,100,100,100,100,100,-78,100,-90,100,-70,100,100,100,100,100,100,100,100,100
11,2022-12-01-14:02:07:157,100,-77,100,100,-85,-72,100,100,100,100,100,100,100,100,-89,100,-75,100,100,100,100,100,100,100,100,-74
