x,y
3,4.5
3.6,4.5
4.2,4.5
4.8,4.5
5.4,4.5
6,4.5
6.6,4.5
7.2,4.5
7.8,4.5
8.4,4.5
9,4.5
9.6,4.5
10.2,4.5
10.8,4.5
11.4,4.5
12,4.5
12.6,4.5
13.2,4.5
13.5,3.9
13.5,3.3
13.5,2.7
13.5,2.1
13.5,1.5
12.9,1.5
12.3,1.5
11.7,1.5
11.1,1.5
10.5,1.5
9.9,1.5
9.3,1.5
8.7,1.5
8.1,1.5
7.5,1.5
6.9,1.5
6.3,1.5
5.7,1.5
5.1,1.5
4.5,1.5
3.9,1.5
3.3,1.5
2.7,1.5
2.1,1.5
1.5,1.5
1.5,2.1
1.5,2.7
1.5,3.3
1.5,3.9
1.5,4.5
1.5,5.1
1.5,5.7
1.5,6.3
1.5,7.1
1.5,7.7
1.5,8.5
1.5,9.2
