index,time,rvX,rvY,rvZ,rvW,gacX,gacY,gacZ,lacX,lacY,lacZ
0,2022-12-01-14:02:28:576,0.085798234,-0.023526732,-0.6101445,0.7872795,-0.79145736,1.6075029,9.641572,0.18898171,-0.061315536,0.25747204
1,2022-12-01-14:02:28:586,0.08586439,-0.023709524,-0.6102646,0.7871737,-0.79145736,1.6075029,9.641572,0.18898171,-0.061315536,0.25747204
2,2022-12-01-14:02:28:596,0.08586439,-0.023709524,-0.6102646,0.7871737,-0.79145736,1.6075029,9.641572,0.18898171,-0.061315536,0.25747204
3,2022-12-01-14:02:28:607,0.08569967,-0.024115732,-0.61025023,0.7871904,-0.8180033,1.6279305,9.635927,-0.026986837,0.058785677,-0.34370804
4,2022-12-01-14:02:28:617,0.08569967,-0.024115732,-0.61025023,0.7871904,-0.8341956,1.6397243,9.63254,-0.23808056,0.16169405,-0.024899483
5,2022-12-01-14:02:28:627,0.085683204,-0.024156353,-0.6102488,0.78719205,-0.8341956,1.6397243,9.63254,-0.23808056,0.16169405,-0.024899483
6,2022-12-01-14:02:28:637,0.08609321,-0.02394382,-0.6102816,0.78712845,-0.8385221,1.6559925,9.629379,-0.6784922,0.3427161,0.9511013
7,2022-12-01-14:02:28:648,0.08609321,-0.02394382,-0.6102816,0.78712845,-0.8385221,1.6559925,9.629379,-0.6784922,0.3427161,0.9511013
8,2022-12-01-14:02:28:657,0.087433204,-0.023270037,-0.61029416,0.7869912,-0.8059309,1.6890692,9.626417,0.57982546,-0.02926445,-0.6464758
9,2022-12-01-14:02:28:667,0.087433204,-0.023270037,-0.61029416,0.7869912,-0.8059309,1.6890692,9.626417,0.57982546,-0.02926445,-0.6464758
10,2022-12-01-14:02:28:679,0.08642406,-0.02302399,-0.61070496,0.7867911,-0.7824468,1.7020453,9.626069,0.41658658,-7.56979e-05,-1.0554094
11,2022-12-01-14:02:28:690,0.0877689,-0.020942485,-0.61086345,0.7865774,-0.7824468,1.7020453,9.626069,0.41658658,-7.56979e-05,-1.0554094
12,2022-12-01-14:02:28:699,0.0877689,-0.020942485,-0.61086345,0.7865774,-0.74521387,1.6673217,9.635097,0.13961422,-0.07543087,0.059970856
13,2022-12-01-14:02:28:710,0.08648859,-0.020466195,-0.6110483,0.78658813,-0.74521387,1.6673217,9.635097,0.13961422,-0.07543087,0.059970856
14,2022-12-01-14:02:28:720,0.08648859,-0.020466195,-0.6110483,0.78658813,-0.71340567,1.639453,9.642284,-0.027620375,0.02137816,0.55148506
15,2022-12-01-14:02:28:730,0.08648859,-0.020466195,-0.6110483,0.78658813,-0.71340567,1.639453,9.642284,-0.027620375,0.02137816,0.55148506
16,2022-12-01-14:02:28:741,0.08648859,-0.020466195,-0.6110483,0.78658813,-0.71340567,1.639453,9.642284,-0.027620375,0.02137816,0.55148506
17,2022-12-01-14:02:28:751,0.08529645,-0.019695329,-0.6111647,0.7866476,-0.6939384,1.6384915,9.6438675,-0.103863,0.07048392,0.36231327
18,2022-12-01-14:02:28:760,0.086564,-0.019000603,-0.61101145,0.7866452,-0.67788726,1.6520495,9.642695,0.09867728,0.13481605,-0.6824894
19,2022-12-01-14:02:28:771,0.086564,-0.019000603,-0.61101145,0.7866452,-0.67788726,1.6520495,9.642695,0.09867728,0.13481605,-0.6824894
20,2022-12-01-14:02:28:781,0.0872416,-0.02000971,-0.61088777,0.7866415,-0.6513282,1.6314563,9.648031,0.41466886,-0.093054295,-0.8797884
21,2022-12-01-14:02:28:792,0.08907916,-0.019583311,-0.6108088,0.7865076,-0.6513282,1.6314563,9.648031,0.41466886,-0.093054295,-0.8797884
22,2022-12-01-14:02:28:802,0.08907916,-0.019583311,-0.6108088,0.7865076,-0.6245389,1.5803497,9.658304,0.23493472,-0.071659565,0.26589203
23,2022-12-01-14:02:28:812,0.09686588,-0.015372864,-0.6108225,0.7856695,-0.6245389,1.5803497,9.658304,0.23493472,-0.071659565,0.26589203
24,2022-12-01-14:02:28:823,0.097644135,-0.014951746,-0.6108212,0.78558224,-0.6099064,1.5502082,9.664122,-0.014956474,-0.00317204,0.92829514
25,2022-12-01-14:02:28:835,0.097644135,-0.014951746,-0.6108212,0.78558224,-0.6099064,1.5502082,9.664122,-0.014956474,-0.00317204,0.92829514
26,2022-12-01-14:02:28:846,0.09836773,-0.017032355,-0.6095119,0.7864662,-0.61352473,1.5650834,9.661496,-0.05424851,0.04604721,0.51403904
27,2022-12-01-14:02:28:856,0.0935939,-0.026650356,-0.60873723,0.7873811,-0.62515205,1.5936989,9.656071,0.19455355,-0.114444256,-0.17404842
28,2022-12-01-14:02:28:868,0.09085866,-0.028615009,-0.60874915,0.7876232,-0.62515205,1.5936989,9.656071,0.19455355,-0.114444256,-0.17404842
29,2022-12-01-14:02:28:877,0.09085866,-0.028615009,-0.60874915,0.7876232,-0.62894803,1.617575,9.651853,0.033048928,-0.04975152,-0.24518394
30,2022-12-01-14:02:28:887,0.09085866,-0.028615009,-0.60874915,0.7876232,-0.62894803,1.617575,9.651853,0.033048928,-0.04975152,-0.24518394
31,2022-12-01-14:02:28:897,0.08823691,-0.026792103,-0.60900646,0.7877865,-0.63813007,1.6394258,9.647562,0.033048928,-0.04975152,-0.24518394
32,2022-12-01-14:02:28:907,0.08542743,-0.027828362,-0.6095251,0.7876592,-0.63813007,1.6394258,9.647562,-0.5014557,0.33079898,-0.4045744
33,2022-12-01-14:02:28:917,0.08542743,-0.027828362,-0.6095251,0.7876592,-0.63813007,1.6394258,9.647562,-0.5014557,0.33079898,-0.4045744
34,2022-12-01-14:02:28:926,0.08542743,-0.027828362,-0.6095251,0.7876592,-0.6382133,1.6535547,9.645144,-0.4558928,0.3237785,-0.17178631
35,2022-12-01-14:02:28:937,0.08542743,-0.027828362,-0.6095251,0.7876592,-0.62998056,1.664719,9.643766,-0.07132727,0.051193,0.2736969
36,2022-12-01-14:02:28:948,0.0883324,-0.027631905,-0.60950786,0.7873589,-0.62998056,1.664719,9.643766,-0.07132727,0.051193,0.2736969
37,2022-12-01-14:02:28:959,0.086899824,-0.028153548,-0.6093063,0.78765583,-0.6286593,1.6806321,9.641092,0.14761835,-0.07248998,-0.18722916
38,2022-12-01-14:02:28:969,0.086899824,-0.028153548,-0.6093063,0.78765583,-0.6286593,1.6806321,9.641092,0.14761835,-0.07248998,-0.18722916
39,2022-12-01-14:02:28:980,0.08214244,-0.030928588,-0.60918486,0.78815603,-0.63705796,1.690104,9.638885,0.13680339,0.0620178,-0.44153214
40,2022-12-01-14:02:28:992,0.07804377,-0.0303838,-0.6098452,0.7880831,-0.63705796,1.690104,9.638885,0.13680339,0.0620178,-0.44153214
41,2022-12-01-14:02:29:001,0.07804377,-0.0303838,-0.6098452,0.7880831,-0.6469645,1.689639,9.638306,0.050848782,0.1203866,-0.50802517
42,2022-12-01-14:02:29:012,0.07779677,-0.027461894,-0.6101347,0.7879906,-0.6469645,1.689639,9.638306,0.050848782,0.1203866,-0.50802517
43,2022-12-01-14:02:29:023,0.077772036,-0.02716969,-0.6101634,0.78798103,-0.6538437,1.6796383,9.639589,0.033796847,0.0779227,-0.16130733
44,2022-12-01-14:02:29:034,0.077772036,-0.02716969,-0.6101634,0.78798103,-0.6610175,1.6670723,9.641281,-0.06673986,0.09780705,-0.031238556
45,2022-12-01-14:02:29:045,0.079838105,-0.027760299,-0.6096453,0.7881547,-0.6610175,1.6670723,9.641281,-0.06673986,0.09780705,-0.031238556
46,2022-12-01-14:02:29:058,0.07988234,-0.027742699,-0.60959977,0.7881861,-0.6697619,1.6546077,9.642825,-0.00042057037,0.14151692,-0.006539345
47,2022-12-01-14:02:29:068,0.07988234,-0.027742699,-0.60959977,0.7881861,-0.6697619,1.6546077,9.642825,-0.00042057037,0.14151692,-0.006539345
48,2022-12-01-14:02:29:078,0.081758946,-0.028672878,-0.61008275,0.78758645,-0.67854005,1.6425582,9.644272,0.018053472,0.13206255,0.06105709
49,2022-12-01-14:02:29:089,0.0941602,-0.024845304,-0.6100678,0.786342,-0.67854005,1.6425582,9.644272,0.018053472,0.13206255,0.06105709
50,2022-12-01-14:02:29:099,0.0941602,-0.024845304,-0.6100678,0.786342,-0.6855014,1.6342793,9.645186,0.0012068748,0.11150885,0.19322777
51,2022-12-01-14:02:29:110,0.09606671,-0.025496265,-0.61015236,0.786025,-0.6855014,1.6342793,9.645186,0.0012068748,0.11150885,0.19322777
52,2022-12-01-14:02:29:121,0.09606671,-0.025496265,-0.61015236,0.786025,-0.6904782,1.6334232,9.644976,-0.027236164,0.12659943,0.15187168
53,2022-12-01-14:02:29:133,0.09606671,-0.025496265,-0.61015236,0.786025,-0.6904782,1.6334232,9.644976,-0.027236164,0.12659943,0.15187168
54,2022-12-01-14:02:29:143,0.09184397,-0.026714187,-0.61022174,0.7864353,-0.6970971,1.6400492,9.643375,-0.02517581,0.16263151,0.038650513
55,2022-12-01-14:02:29:155,0.09184397,-0.026714187,-0.61022174,0.7864353,-0.6970971,1.6400492,9.643375,-0.082283616,0.18378317,-0.08927059
