index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-51.14
0,2022-07-23-18:15:40,-62,-83,100,100,-93,-90,100,100,100,100,100,-75,-83,100,100,-84,100,100,100,100,100,100,100,-96,-83,,
1,2022-07-23-18:15:45,-52,-84,100,100,-92,-88,100,100,100,100,100,-76,-80,100,100,-85,100,100,100,100,100,100,100,100,-85,,
2,2022-07-23-18:15:50,-53,100,100,100,-89,-86,100,100,100,100,100,-74,-79,100,100,-82,100,100,100,100,100,100,100,100,-85,,
3,2022-07-23-18:15:55,-49,-85,100,100,-89,-78,100,100,100,100,100,-71,-72,100,100,-79,100,100,100,100,100,100,100,100,-78,,
4,2022-07-23-18:16:00,-51,-80,100,100,-94,-77,100,100,100,100,100,-64,-72,100,100,-80,100,100,100,100,100,100,100,-95,-81,,
5,2022-07-23-18:16:05,-49,-83,100,100,-91,-78,100,100,100,100,100,-70,-72,100,100,-80,100,100,100,100,100,100,100,-91,-79,,
6,2022-07-23-18:16:10,-50,-84,100,100,100,-79,100,100,100,100,100,-72,-72,100,100,-80,100,100,100,100,100,100,100,-92,100,,
7,2022-07-23-18:16:15,-52,-78,100,100,100,-78,100,100,100,100,100,100,-73,100,100,-80,100,100,100,100,100,100,100,-90,-87,,
8,2022-07-23-18:16:20,-47,-81,100,100,-89,-78,100,100,100,100,100,-72,-74,100,100,-84,100,100,100,100,100,100,100,-92,-80,,
9,2022-07-23-18:16:25,-52,-81,100,100,-95,-86,100,100,100,100,100,-63,-77,100,100,-80,100,100,100,100,100,100,100,-91,-92,,
