index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-70.44
0,2022-07-23-17:07:48,-75,-90,100,100,-82,-87,100,100,100,100,100,-81,-62,-98,100,-87,100,100,100,100,-86,100,100,-96,-80,,
1,2022-07-23-17:07:53,-68,-83,100,100,-84,-88,100,100,100,100,100,-68,-53,100,100,-74,100,100,100,100,100,100,100,-93,-83,,
2,2022-07-23-17:07:58,-69,-82,100,100,-81,-86,100,100,100,100,100,-68,-53,100,100,-74,100,100,100,100,-86,100,100,-94,-81,,
3,2022-07-23-17:08:03,-69,100,100,100,-84,100,100,100,100,100,100,-68,-53,100,100,-73,100,100,100,100,100,100,100,100,-85,,
4,2022-07-23-17:08:08,-69,-82,100,100,-81,-86,100,100,100,100,100,-66,-53,100,100,-73,100,100,100,100,100,100,100,-95,-81,,
5,2022-07-23-17:08:13,-74,-94,100,100,-88,-86,100,100,100,100,100,-77,-62,100,100,-75,100,100,100,100,100,100,100,100,-85,,
6,2022-07-23-17:08:18,-69,-82,100,100,-83,100,100,100,100,100,100,-66,-53,100,100,-73,100,100,100,100,100,100,100,-90,-82,,
7,2022-07-23-17:08:23,-74,100,100,100,100,100,100,100,100,100,100,-75,-62,100,100,-74,100,100,100,100,100,100,100,100,100,,
8,2022-07-23-17:08:28,-69,-82,100,100,-84,-91,100,100,100,100,100,-68,-53,100,100,-74,100,100,100,100,100,100,100,-92,-83,,
9,2022-07-23-17:08:33,-68,-80,100,100,-82,-85,100,100,100,100,100,-69,-55,100,100,-74,100,100,100,100,-86,100,100,-91,-80,,
10,2022-07-23-17:08:38,-72,-94,100,100,-89,100,100,100,100,100,100,-77,-62,100,100,-81,100,100,100,100,100,100,100,100,-86,,
11,2022-07-23-17:08:43,-69,-84,100,100,100,100,100,100,100,100,100,100,-54,100,100,100,100,100,100,100,100,100,100,100,-77,,
12,2022-07-23-17:08:48,-69,-83,100,100,-80,-83,100,100,100,100,100,-76,-62,100,100,-74,100,100,100,100,-86,100,100,100,-84,,
