index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-60.7,-60.7
38,2022-07-24-11:35:41,-69,-91,100,100,-88,-79,100,100,100,100,100,-71,-74,-97,100,-82,100,100,100,100,100,100,100,-91,-84,,,
39,2022-07-24-11:35:46,-69,-86,100,100,100,-80,100,100,100,100,100,-79,-67,100,100,-83,100,100,100,100,100,100,100,-90,-83,,,
40,2022-07-24-11:35:51,-57,-86,100,100,-92,-80,100,100,100,100,100,-73,-74,100,100,-82,100,100,100,100,100,100,100,100,-84,,,
41,2022-07-24-11:35:56,-57,-86,100,100,-88,-80,100,100,100,100,100,-79,-67,100,100,-82,100,100,100,100,100,100,100,-90,-71,,,
42,2022-07-24-11:36:01,-59,-92,100,100,100,-79,100,100,100,100,100,-71,-65,100,100,-83,100,100,100,100,100,100,100,100,-71,,,
43,2022-07-24-11:36:06,-57,-86,100,100,-88,-79,100,100,100,100,100,-79,-67,100,100,-82,100,100,100,100,100,100,100,-90,-71,,,
44,2022-07-24-11:36:11,-59,-86,100,100,100,-80,100,100,100,100,100,-79,-67,100,100,-82,100,100,100,100,100,100,100,-90,-84,,,
45,2022-07-24-11:36:16,-59,-86,100,100,100,-80,100,100,100,100,100,-79,-67,100,100,-82,100,100,100,100,100,100,100,-90,-70,,,
46,2022-07-24-11:36:21,-69,-91,100,100,-88,-79,100,100,100,100,100,-72,-67,100,100,-82,100,100,100,100,100,100,100,-90,-71,,,
47,2022-07-24-11:36:26,-57,-96,100,100,100,-85,100,100,100,100,100,-79,-79,100,100,-82,100,100,100,100,100,100,100,100,-83,,,
48,2022-07-24-11:36:31,-59,-86,100,100,-93,-79,100,100,100,100,100,-71,-67,-97,100,-81,100,100,100,100,100,100,100,-91,-84,,,
49,2022-07-24-11:36:36,-57,-86,100,100,-88,-79,100,100,100,100,100,-71,-74,100,100,-82,100,100,100,100,100,100,100,-90,-84,,,
50,2022-07-24-11:36:41,-59,-86,100,100,100,-80,100,100,100,100,100,-71,-67,100,100,-82,100,100,100,100,100,100,100,-91,-84,,,
51,2022-07-24-11:36:46,-69,-86,100,100,100,-80,100,100,100,100,100,-73,-67,100,100,-94,100,100,100,100,100,100,100,100,-70,,,
52,2022-07-24-11:36:51,-59,-87,100,100,-93,-80,100,100,100,100,100,-71,-67,-97,100,-82,100,100,100,100,100,100,100,-90,-84,,,
53,2022-07-24-11:36:56,-59,-86,100,100,100,-80,100,100,100,100,100,-79,-74,100,100,-82,100,100,100,100,100,100,100,-90,-70,,,
54,2022-07-24-11:37:01,-68,-91,100,100,100,-79,100,100,100,100,100,-72,-74,100,100,-83,100,100,100,100,100,100,100,100,-71,,,
55,2022-07-24-11:37:06,-59,-87,100,100,100,-80,100,100,100,100,100,-72,-67,100,100,-83,100,100,100,100,100,100,100,-90,-71,,,
56,2022-07-24-11:37:11,-58,-93,100,100,100,-78,100,100,100,100,100,-73,-74,100,100,-80,100,100,100,100,100,100,100,100,-71,,,
57,2022-07-24-11:37:16,-58,-90,100,100,-87,-81,100,100,100,100,100,-71,-74,100,100,-82,100,100,100,100,100,100,100,-96,-70,,,
58,2022-07-24-11:37:21,-59,-86,100,100,-91,-80,100,100,100,100,100,-71,-74,-97,100,-82,100,100,100,100,100,100,100,100,-84,,,
59,2022-07-24-11:37:26,-69,-86,100,100,-88,-79,100,100,100,100,100,-80,-67,100,100,-81,100,100,100,100,100,100,100,100,-70,,,
