index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-17-16:09:03,100,100,100,-74,-90,100,100,100,100,-74,-78,-95,100,100,100,100,100,-82,100,-85,-84,100,-82,-65,100,100
1,2022-07-17-16:09:08,100,100,100,-72,-87,100,-92,-94,-98,-73,-85,-89,100,100,-97,-90,100,-82,-89,-84,-81,100,-82,-51,100,100
2,2022-07-17-16:09:13,100,100,100,-69,100,100,-94,-93,100,-71,-84,-96,100,100,100,100,100,-87,-88,-86,100,100,-82,-52,100,100
3,2022-07-17-16:09:18,100,100,100,-65,-85,100,-93,-99,100,-71,-80,-88,100,100,-97,100,100,-84,-83,-85,-82,100,-78,-49,100,100
4,2022-07-17-16:09:23,100,100,100,-69,-91,100,-95,-92,-97,-70,-86,-87,100,100,-95,-92,100,-87,-88,-84,-91,100,-87,-50,100,100
5,2022-07-17-16:09:28,100,100,100,-65,-85,100,-95,100,100,-69,-84,-88,100,100,100,-92,100,-82,-83,-83,-82,100,-78,-49,100,100
6,2022-07-17-16:09:33,100,100,100,-64,-85,100,-93,100,100,-70,-81,-87,100,100,100,100,100,-82,-83,-87,-82,100,-78,-49,100,100
7,2022-07-17-16:09:38,100,100,100,-64,-86,100,-93,100,-100,-69,-84,-87,100,100,-97,100,100,-86,-89,-87,-82,100,-81,-52,100,100
8,2022-07-17-16:09:43,100,100,100,-80,100,100,-98,-92,100,-67,-88,-100,100,100,-93,-92,100,-97,-88,-87,-92,100,-88,-56,100,100
9,2022-07-17-16:09:48,100,100,100,-64,-87,100,100,100,-94,-70,-81,-87,100,100,100,-92,100,-85,-84,-88,-83,100,-78,-50,100,100
10,2022-07-17-16:09:53,100,100,100,-64,-89,100,100,100,100,-70,-82,-86,100,100,100,-94,100,-84,-85,100,-82,100,-78,-50,100,100
11,2022-07-17-16:09:58,100,100,100,-64,100,100,-93,100,100,-68,-80,-88,100,100,-94,-91,100,-83,-84,-85,-82,100,-78,-49,100,100
12,2022-07-17-16:10:03,100,100,100,-72,100,100,-92,100,100,-70,-86,-87,100,100,100,-91,100,-90,-84,-85,-82,100,-80,-51,100,100
13,2022-07-17-16:10:08,100,100,100,-77,100,100,-94,100,100,-67,-91,100,100,100,-95,-90,100,-91,-89,-85,-88,100,-86,-56,100,100
14,2022-07-17-16:10:13,100,100,100,-76,100,100,-95,100,100,-68,-86,100,100,100,100,-91,100,100,100,100,-91,100,-86,-60,100,100
15,2022-07-17-16:10:18,100,100,100,-69,-89,100,-93,-92,-95,-68,-82,100,100,100,100,-92,100,-86,-88,-85,-94,100,-85,-52,100,100
16,2022-07-17-16:10:23,100,100,100,-66,-85,100,-93,100,100,-70,-79,-88,100,100,-96,-90,100,-81,-82,-85,-81,100,-77,-51,100,100
17,2022-07-17-16:10:28,100,100,100,-68,-85,100,-93,-99,-96,-69,-80,-87,100,100,-95,100,100,-87,-87,-86,-80,100,-81,-54,100,100
18,2022-07-17-16:10:33,100,100,100,-67,100,100,100,100,100,-70,-81,100,100,100,100,100,100,-88,-87,-84,100,100,-80,-54,100,100
19,2022-07-17-16:10:38,100,100,100,-64,-86,100,100,-97,100,-69,-81,-86,100,100,100,100,100,-82,-82,-85,-80,100,-76,-52,100,100
20,2022-07-17-16:10:43,100,100,100,-69,-91,100,-93,100,100,-68,-84,100,100,100,100,-94,100,-93,-88,-88,-93,100,-80,-58,100,100
21,2022-07-17-16:10:48,100,100,100,-66,100,100,-94,-98,-98,-71,-81,100,100,100,100,-91,100,-84,-84,-84,-79,100,-80,-51,100,100
22,2022-07-17-16:10:53,100,100,100,-63,-85,100,-92,100,100,-71,-84,100,100,100,100,100,100,-82,-83,-85,-79,100,-78,-52,100,100
23,2022-07-17-16:10:58,100,100,100,-77,100,100,-96,100,100,-66,-89,-97,100,100,100,-90,100,-96,100,-88,-94,100,-86,-57,100,100
24,2022-07-17-16:11:03,100,100,100,-62,-85,100,-91,100,100,-71,-84,-89,100,100,100,-88,100,-86,-83,-85,-79,100,-78,-54,100,100
25,2022-07-17-16:11:08,100,100,100,-75,-89,100,-89,-93,-97,-68,-86,-96,100,100,100,100,100,-85,-87,-82,-88,100,-85,-56,100,100
26,2022-07-17-16:11:13,100,100,100,-77,100,100,-94,100,100,-65,-89,-97,100,100,100,-88,100,-93,100,-88,-92,100,-85,-58,100,100
27,2022-07-17-16:11:18,100,100,100,-71,-92,100,100,100,-96,-72,-80,100,100,100,100,100,100,-86,-87,-83,-89,100,-83,-55,100,100
28,2022-07-17-16:11:23,100,100,100,-81,100,100,-96,-93,100,-66,-87,-97,100,100,100,-90,100,-96,100,-87,-97,100,-85,-58,100,100
29,2022-07-17-16:11:28,100,100,100,-71,-87,100,-93,100,100,-70,-79,-90,100,100,-93,-93,100,-82,-85,-87,-80,100,-78,-53,100,100
30,2022-07-17-16:11:33,100,100,100,-69,100,100,-96,100,100,-69,-82,-100,100,100,100,-93,100,-89,-88,-84,-91,100,-82,-54,100,100
31,2022-07-17-16:11:38,100,100,100,-65,-85,100,-91,100,100,-75,-81,-87,100,100,100,100,100,-84,-86,-85,-81,100,-80,-62,100,100
32,2022-07-17-16:11:43,100,100,100,-67,-92,100,-92,100,100,-76,-81,-88,100,100,-96,100,100,-87,-88,-84,-91,100,-83,-65,100,100
33,2022-07-17-16:11:48,100,100,100,-64,100,100,100,100,100,-69,-91,-85,100,100,100,-97,100,100,-84,-86,-89,100,-86,-66,100,100
34,2022-07-17-16:11:53,100,100,100,-64,-86,100,100,100,100,-75,-82,-86,100,100,-91,-91,100,-83,-85,-87,-83,100,-79,-57,100,100
35,2022-07-17-16:11:58,100,100,100,-78,100,100,-94,100,100,-70,-88,-97,100,100,100,-93,100,100,100,-85,-88,100,-83,-66,100,100
36,2022-07-17-16:12:03,100,100,100,-65,-91,100,-91,100,100,-84,-78,-88,100,100,-96,100,100,-80,-85,-85,-84,100,-82,-60,100,100
37,2022-07-17-16:12:08,100,100,100,-76,-87,100,-93,100,100,-80,-85,-97,100,100,100,-90,100,-84,-90,-89,-84,100,-79,-62,100,100
38,2022-07-17-16:12:13,100,100,100,-72,100,100,-93,100,100,-85,-89,-93,100,100,100,-91,100,-90,-96,-85,-87,100,-92,-66,100,100
39,2022-07-17-16:12:18,100,100,100,-72,100,100,-95,100,100,-80,-83,-92,100,100,100,-88,100,-85,100,-87,100,100,-79,-60,100,100
40,2022-07-17-16:12:23,100,100,100,-73,-88,100,-97,-93,100,-86,-91,-93,100,100,100,-92,100,-96,-95,-87,-86,100,-87,-70,100,100
41,2022-07-17-16:12:28,100,100,100,-67,-91,100,100,100,-97,-76,-79,-94,100,100,100,-92,100,-82,-84,-84,-82,100,-80,-57,100,100
42,2022-07-17-16:12:33,100,100,100,-77,-90,100,100,100,-97,-76,-82,100,100,100,100,-92,100,-85,-88,-87,-92,100,-81,-60,100,100
43,2022-07-17-16:12:38,100,100,100,-66,100,100,100,100,-99,100,100,-91,100,100,100,100,100,-83,-84,100,-82,100,-80,-57,100,100
44,2022-07-17-16:12:43,100,100,100,-72,100,100,100,100,100,-76,-82,100,100,100,100,100,100,-83,-89,-88,-90,100,-81,-60,100,100
45,2022-07-17-16:12:48,100,100,100,-83,-89,100,-93,100,100,-75,-94,-96,100,100,-97,-91,100,-95,100,-86,-86,100,-85,-63,100,100
46,2022-07-17-16:12:53,100,100,100,-68,100,100,-95,100,100,-84,-84,-92,100,100,100,-90,100,-82,-84,-84,-83,100,-82,-58,100,100
47,2022-07-17-16:12:58,100,100,100,-67,100,100,100,100,100,-77,-85,100,100,100,100,-96,100,-83,-84,100,-92,100,100,100,100,100
48,2022-07-17-16:13:03,100,100,100,-65,100,100,100,100,100,-82,-82,-89,100,100,-95,-93,100,-88,-83,-88,-85,100,-79,-56,100,100
49,2022-07-17-16:13:08,100,100,100,-70,-88,100,100,100,100,-82,-90,-89,100,100,100,-94,100,-84,-87,-81,-90,100,-82,-58,100,100
50,2022-07-17-16:13:13,100,100,100,-74,-90,100,100,100,100,-77,-87,100,100,100,-94,100,100,-96,-87,-86,-87,100,-94,-70,100,100
51,2022-07-17-16:13:18,100,100,100,-73,100,100,100,100,100,-77,100,100,100,100,100,-93,100,100,100,100,-94,100,100,-72,100,100
52,2022-07-17-16:13:23,100,100,100,-75,-88,100,100,100,100,-81,-91,100,100,100,100,-93,100,-87,-94,-88,-92,100,-92,-57,100,100
53,2022-07-17-16:13:28,100,100,100,-65,100,100,100,100,100,-81,-86,100,100,100,100,100,100,-82,-83,-88,-82,100,-80,-55,100,100
