index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-23-16:10:44,-84,-82,100,100,-89,-86,100,100,100,100,100,-85,-72,-94,100,-67,100,100,100,100,-80,100,100,-88,-67
1,2022-07-23-16:10:49,-81,-71,100,100,-80,-75,100,100,100,100,100,-82,-84,100,100,-58,100,100,100,100,-87,100,100,-93,-72
2,2022-07-23-16:10:54,-77,-88,100,100,-85,-78,100,100,100,100,100,-74,-72,100,100,-64,100,100,100,100,100,100,100,-91,-73
3,2022-07-23-16:10:59,100,-69,100,100,-78,-75,100,100,100,100,100,-82,-92,100,100,-62,100,100,100,100,-85,100,100,-86,-58
4,2022-07-23-16:11:04,-91,-70,100,100,-78,-76,100,100,-95,100,100,-73,-73,100,100,-61,100,100,100,100,-84,100,100,-85,-55
5,2022-07-23-16:11:09,-89,-78,100,100,-81,-85,100,100,100,100,100,-78,-77,100,100,-60,100,100,100,100,-85,100,100,-79,-63
6,2022-07-23-16:11:14,-90,-79,100,100,-83,-85,100,100,100,100,100,-83,-76,100,100,-55,100,100,100,100,-82,100,100,-86,-56
7,2022-07-23-16:11:19,-87,-68,100,100,-83,-74,100,100,100,100,100,-84,-79,100,100,-56,100,100,100,100,100,100,100,-80,-82
8,2022-07-23-16:11:24,-89,-70,100,100,-74,-73,100,100,-96,100,100,-80,-74,100,100,-62,100,100,100,100,100,100,100,-88,-81
9,2022-07-23-16:11:29,-90,-79,100,100,-79,100,100,100,100,100,100,-77,-76,100,100,-63,100,100,100,100,100,100,100,-86,-59
10,2022-07-23-16:11:34,-78,-78,100,100,-79,-72,100,100,100,100,100,-84,-78,100,100,-66,100,100,100,100,-84,100,100,-81,-56
11,2022-07-23-16:11:39,-91,-80,100,100,-81,-83,100,100,100,100,100,-84,-79,100,100,-55,100,100,100,100,100,100,100,-86,-59
12,2022-07-23-16:11:44,-80,-72,100,100,-79,-73,100,100,100,100,100,-83,-99,100,100,-62,100,100,100,100,-84,100,100,-80,-59
13,2022-07-23-16:11:49,-90,-80,100,100,-79,-74,100,100,100,100,100,-83,-78,100,100,-55,100,100,100,100,-84,100,100,-83,-81
14,2022-07-23-16:11:54,-90,-79,100,100,-83,-73,100,100,100,100,100,-77,-79,100,100,-55,100,100,100,100,100,100,100,-88,-82
15,2022-07-23-16:11:59,-79,-70,100,100,-74,-72,100,100,100,100,100,-77,-99,100,100,-64,100,100,100,100,-94,100,100,-86,-59
16,2022-07-23-16:12:04,-79,-71,100,100,-74,-74,100,100,100,100,100,-83,-76,100,100,-62,100,100,100,100,100,100,100,-86,-56
17,2022-07-23-16:12:09,-91,-79,100,100,-74,-72,100,100,100,100,100,-77,-76,100,100,-64,100,100,100,100,100,100,100,-87,-81
18,2022-07-23-16:12:14,-91,-71,100,100,-83,-74,100,100,100,100,100,-83,-76,100,100,-62,100,100,100,100,100,100,100,-88,-59
19,2022-07-23-16:12:19,-79,-79,100,100,-83,-85,100,100,100,100,100,-77,-76,100,100,-62,100,100,100,100,100,100,100,-87,-59
20,2022-07-23-16:12:24,-79,-71,100,100,-74,-85,100,100,100,100,100,-77,-76,100,100,-62,100,100,100,100,-83,100,100,-81,-56
21,2022-07-23-16:12:29,-90,-79,100,100,-80,-74,100,100,-96,100,100,-77,-78,100,100,-64,100,100,100,100,-83,100,100,-86,-56
22,2022-07-23-16:12:34,-86,-71,100,100,-74,-74,100,100,100,100,100,-77,-79,100,100,-64,100,100,100,100,100,100,100,-80,-82
23,2022-07-23-16:12:39,-77,-79,100,100,-74,-86,100,100,100,100,100,-90,-76,100,100,-62,100,100,100,100,100,100,100,-86,-59
24,2022-07-23-16:12:44,-79,-79,100,100,-79,-85,100,100,100,100,100,-90,-76,100,100,-55,100,100,100,100,-84,100,100,-88,-56
25,2022-07-23-16:12:49,100,-79,100,100,-83,-74,100,100,100,100,100,-89,100,100,100,-62,100,100,100,100,-84,100,100,-81,-56
26,2022-07-23-16:12:54,-91,-71,100,100,-74,-74,100,100,100,100,100,-93,-79,100,100,-55,100,100,100,100,100,100,100,-88,-82
