index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-79.86
0,2022-07-23-15:21:02,-81,-98,100,100,-89,-81,100,100,100,100,100,-87,-93,-95,100,-77,-94,100,100,100,-77,100,100,-93,-63,,
1,2022-07-23-15:21:07,-77,-79,100,100,-77,-75,100,100,100,100,100,100,-83,100,100,-73,100,100,100,100,-79,100,100,-79,-59,,-80.1
2,2022-07-23-15:21:12,-78,-80,100,100,-74,-75,100,100,100,100,100,-83,-83,-93,100,-72,100,100,100,100,-79,100,100,-78,-61,,
3,2022-07-23-15:21:17,-79,-75,100,100,-74,-56,100,100,100,100,100,-83,-83,-93,100,-73,100,100,100,100,-79,100,100,-86,-59,,
4,2022-07-23-15:21:22,-78,-80,100,100,-81,-56,100,100,-94,100,100,-83,-84,-93,100,-73,-98,100,100,100,-79,100,100,-86,-59,,
5,2022-07-23-15:21:27,-78,-75,100,100,-81,-59,100,100,100,100,100,-83,-81,-93,100,-73,100,100,100,100,-79,100,100,-86,-59,,
6,2022-07-23-15:21:32,-83,-75,100,100,-85,-59,100,100,100,100,100,-83,-81,100,100,-81,100,100,100,100,100,100,100,-78,-61,,
7,2022-07-23-15:21:37,-83,-80,100,100,-81,-56,100,100,100,100,100,100,-84,100,100,-73,100,100,100,100,-79,100,100,-78,-59,,
8,2022-07-23-15:21:42,-83,-75,100,100,-74,-75,100,100,100,100,100,-83,-81,-93,100,-73,100,100,100,100,-79,100,100,-78,-59,,
9,2022-07-23-15:21:47,-83,-79,100,100,-85,-56,100,100,100,100,100,-87,-86,100,100,-81,100,100,100,100,100,100,100,-86,-59,,
10,2022-07-23-15:21:52,-79,-80,100,100,-74,-75,100,100,100,100,100,-83,-84,100,100,-72,100,100,100,100,-89,100,100,-78,-53,,
11,2022-07-23-15:21:57,-83,-75,100,100,-74,-75,100,100,100,100,100,-83,-81,100,100,-74,100,100,100,100,-78,100,100,-86,-59,,
12,2022-07-23-15:22:02,-78,-75,100,100,-81,-75,100,100,100,100,100,-83,-84,100,100,-72,100,100,100,100,-78,100,100,-78,-53,,
13,2022-07-23-15:22:07,-79,-75,100,100,-85,-75,100,100,100,100,100,-87,-86,100,100,-72,100,100,100,100,-77,100,100,-78,-59,,
14,2022-07-23-15:22:12,-80,-80,100,100,-81,-75,100,100,-95,100,100,-87,-86,-93,100,-73,100,100,100,100,-77,100,100,-78,-60,,
15,2022-07-23-15:22:17,-78,-75,100,100,-74,-59,100,100,100,100,100,-83,-83,100,100,-73,100,100,100,100,-77,100,100,-78,-53,,
16,2022-07-23-15:22:22,-79,-75,100,100,-85,-75,100,100,-95,100,100,-91,-84,-93,100,-81,-99,100,100,100,-92,100,100,-78,-53,,
17,2022-07-23-15:22:27,-79,-75,100,100,-81,-56,100,100,100,100,100,-83,-86,100,100,-73,100,100,100,100,-93,100,100,-78,-59,,
18,2022-07-23-15:22:32,-83,-80,100,100,-85,-75,100,100,100,100,100,-87,-86,100,100,-73,100,100,100,100,-89,100,100,-86,-60,,
19,2022-07-23-15:22:37,-78,-80,100,100,-85,-56,100,100,-94,100,100,-83,-81,100,100,-72,100,100,100,100,-79,100,100,-78,-59,,
20,2022-07-23-15:22:42,-78,-80,100,100,-74,-75,100,100,100,100,100,-83,-86,100,100,-72,100,100,100,100,-78,100,100,-78,-59,,
21,2022-07-23-15:22:47,-78,-80,100,100,-74,-75,100,100,100,100,100,-83,-84,100,100,-71,100,100,100,100,100,100,100,-86,-53,,
22,2022-07-23-15:22:52,-79,-80,100,100,-74,-56,100,100,-94,100,100,-83,-84,100,100,-81,100,100,100,100,-78,100,100,-78,-53,,
23,2022-07-23-15:22:57,-83,-75,100,100,-74,-59,100,100,100,100,100,-87,-86,100,100,-73,100,100,100,100,-78,100,100,-78,-61,,
24,2022-07-23-15:23:02,-83,-79,100,100,-74,-59,100,100,100,100,100,-87,-86,100,100,-73,100,100,100,100,100,100,100,100,-60,,
25,2022-07-23-15:23:07,-78,-80,100,100,-85,-56,100,100,100,100,100,-83,-84,-93,100,-73,100,100,100,100,-78,100,100,-86,-59,,
26,2022-07-23-15:23:12,-79,-75,100,100,-81,-75,100,100,100,100,100,-83,-86,100,100,-72,100,100,100,100,-78,100,100,-86,-53,,
27,2022-07-23-15:23:17,-79,-80,100,100,-74,-56,100,100,-95,100,100,-91,-84,100,100,-72,100,100,100,100,-89,100,100,-86,-59,,
28,2022-07-23-15:23:22,-79,-74,100,100,-85,-56,100,100,-95,100,100,-83,-83,100,100,-72,100,100,100,100,-79,100,100,-78,-61,,
29,2022-07-23-15:23:27,-83,-80,100,100,-81,-56,100,100,100,100,100,-83,-86,-93,100,-73,100,100,100,100,-78,100,100,-78,-53,,
30,2022-07-23-15:23:32,-79,-74,100,100,-85,-75,100,100,100,100,100,-88,-86,-99,100,-73,100,100,100,100,-89,100,100,-78,-53,,
31,2022-07-23-15:23:37,-83,-80,100,100,-85,-60,100,100,100,100,100,-90,-82,100,100,-72,100,100,100,100,100,100,100,-86,-59,,
32,2022-07-23-15:23:42,-83,-80,100,100,-85,-75,100,100,100,100,100,-87,-86,-93,100,-81,100,100,100,100,-78,100,100,-78,-61,,
33,2022-07-23-15:23:47,-83,-80,100,100,-85,-75,100,100,100,100,100,-90,-86,100,100,-72,100,100,100,100,100,100,100,-86,-59,,
34,2022-07-23-15:23:52,-78,-80,100,100,-74,-75,100,100,100,100,100,-87,-81,100,100,-81,100,100,100,100,-94,100,100,-86,-53,,
35,2022-07-23-15:23:57,-83,-80,100,100,-74,-75,100,100,100,100,100,-87,-82,100,100,-73,100,100,100,100,-77,100,100,-78,-61,,
36,2022-07-23-15:24:02,-83,-75,100,100,-81,-60,100,100,100,100,100,100,-84,100,100,-73,100,100,100,100,-78,100,100,-78,-53,,
37,2022-07-23-15:24:07,-79,-80,100,100,-81,-59,100,100,-96,100,100,-83,-86,100,100,-72,100,100,100,100,-93,100,100,-86,-53,,
38,2022-07-23-15:24:12,-83,-80,100,100,-85,-56,100,100,100,100,100,-87,-86,-93,100,-73,100,100,100,100,-78,100,100,-86,-59,,
39,2022-07-23-15:24:17,-79,-80,100,100,-74,-75,100,100,100,100,100,-90,-86,-93,100,-73,100,100,100,100,-92,100,100,-86,-59,,
40,2022-07-23-15:24:22,-78,-75,100,100,-74,-59,100,100,100,100,100,-83,-86,100,100,-81,100,100,100,100,-77,100,100,-78,-60,,
