index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-56.68
0,2022-07-23-18:09:08,-58,-88,100,100,-94,-96,100,100,100,100,100,-76,-86,-96,100,-95,100,100,100,100,100,100,100,-98,-89,,
1,2022-07-23-18:09:13,-55,-75,100,100,-85,-79,100,100,100,100,100,-70,-75,100,100,100,100,100,100,100,100,100,100,-90,-65,,
2,2022-07-23-18:09:18,-62,100,100,100,100,-76,100,100,100,100,100,-73,-74,100,100,100,100,100,100,100,100,100,100,-89,-71,,
3,2022-07-23-18:09:23,-58,-80,100,100,-85,-72,100,100,100,100,100,-88,-74,100,100,-84,100,100,100,100,100,100,100,-91,-65,,
4,2022-07-23-18:09:28,-54,-80,100,100,100,-72,100,100,100,100,100,-70,-76,-92,100,-84,100,100,100,100,100,100,100,-89,-65,,
5,2022-07-23-18:09:33,-57,-80,100,100,-85,-79,100,100,100,100,100,-70,-77,100,100,-90,100,100,100,100,100,100,100,-89,-66,,
6,2022-07-23-18:09:38,-54,-82,100,100,-84,-78,100,100,100,100,100,-81,-78,100,100,-86,100,100,100,100,100,100,100,-91,-71,,
7,2022-07-23-18:09:43,-57,-89,100,100,-90,-81,100,100,100,100,100,-87,-72,100,100,-90,100,100,100,100,100,100,100,100,-71,,
8,2022-07-23-18:09:48,-59,-74,100,100,100,-87,100,100,100,100,100,-70,-80,-98,100,-85,100,100,100,100,100,100,100,-89,-84,,
9,2022-07-23-18:09:53,-57,-75,100,100,100,-72,100,100,100,100,100,-88,-76,100,100,-84,100,100,100,100,100,100,100,-89,-65,,
10,2022-07-23-18:09:58,-60,-81,100,100,-85,-81,100,100,100,100,100,-87,-76,-97,100,-84,100,100,100,100,100,100,100,-91,-65,,
11,2022-07-23-18:10:03,-57,-75,100,100,-94,-79,100,100,100,100,100,-88,-75,100,100,-84,100,100,100,100,100,100,100,-89,-65,,
12,2022-07-23-18:10:08,-54,-80,100,100,-85,-78,100,100,100,100,100,-87,-76,100,100,-84,100,100,100,100,100,100,100,-88,-78,,
13,2022-07-23-18:10:13,-54,-78,100,100,100,-72,100,100,100,100,100,-69,-76,-93,100,-90,100,100,100,100,100,100,100,-92,-79,,
14,2022-07-23-18:10:18,-54,-92,100,100,-81,100,100,100,100,100,100,-69,-75,100,100,-92,100,100,100,100,100,100,100,-87,-70,,
15,2022-07-23-18:10:23,-54,-80,100,100,100,-72,100,100,100,100,100,-88,-77,100,100,-84,100,100,100,100,100,100,100,-91,-79,,
16,2022-07-23-18:10:28,-57,-89,100,100,100,-72,100,100,100,100,100,-88,-77,100,100,100,100,100,100,100,100,100,100,-90,-79,,
17,2022-07-23-18:10:33,-54,-80,100,100,100,-72,100,100,100,100,100,-70,-75,100,100,-84,100,100,100,100,100,100,100,-91,-70,,
18,2022-07-23-18:10:38,-60,100,100,100,-85,-72,100,100,100,100,100,-88,-75,100,100,-84,100,100,100,100,100,100,100,-91,-79,,
19,2022-07-23-18:10:43,-57,-75,100,100,-85,-79,100,100,100,100,100,-70,-75,100,100,-84,100,100,100,100,100,100,100,-91,-65,,
20,2022-07-23-18:10:48,-60,-75,100,100,100,-79,100,100,100,100,100,-70,-75,100,100,-84,100,100,100,100,100,100,100,-89,-65,,
21,2022-07-23-18:10:53,-54,-80,100,100,-85,-81,100,100,100,100,100,-70,-75,100,100,100,100,100,100,100,100,100,100,-91,-65,,
22,2022-07-23-18:10:58,-54,-80,100,100,-85,-79,100,100,100,100,100,-69,-75,100,100,-92,100,100,100,100,100,100,100,-91,-78,,
23,2022-07-23-18:11:03,-57,-80,100,100,-85,-72,100,100,100,100,100,-69,-77,-93,100,-84,100,100,100,100,100,100,100,-91,-65,,
24,2022-07-23-18:11:08,-60,-75,100,100,-85,-79,100,100,100,100,100,-70,-77,100,100,-84,100,100,100,100,100,100,100,-89,-65,,
25,2022-07-23-18:11:13,-60,-89,100,100,100,-79,100,100,100,100,100,-88,-77,-98,100,-84,100,100,100,100,100,100,100,-89,-79,,
26,2022-07-23-18:11:18,-54,-75,100,100,100,-71,100,100,100,100,100,-70,-75,100,100,100,100,100,100,100,100,100,100,-89,-79,,
27,2022-07-23-18:11:23,-54,-80,100,100,100,-81,100,100,100,100,100,-88,-75,100,100,-84,100,100,100,100,100,100,100,-91,-65,,
28,2022-07-23-18:11:28,-59,-80,100,100,-85,-72,100,100,100,100,100,-70,-75,100,100,-84,100,100,100,100,100,100,100,-90,-65,,
29,2022-07-23-18:11:33,-54,-80,100,100,-85,-72,100,100,100,100,100,-69,-75,100,100,-84,100,100,100,100,100,100,100,-91,-65,,
30,2022-07-23-18:11:38,-60,-80,100,100,100,-81,100,100,100,100,100,-70,-75,100,100,-84,100,100,100,100,100,100,100,-90,-65,,
31,2022-07-23-18:11:43,-54,-75,100,100,-85,-79,100,100,100,100,100,-69,-75,100,100,-92,100,100,100,100,100,100,100,-90,-65,,
32,2022-07-23-18:11:48,-57,-89,100,100,100,-79,100,100,100,100,100,-69,-81,100,100,-84,100,100,100,100,100,100,100,-95,-65,,
33,2022-07-23-18:11:53,-57,-75,100,100,-85,-72,100,100,100,100,100,-88,-75,-93,100,-84,100,100,100,100,100,100,100,-91,-65,,
