index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-20:34:57,100,-85,-72,100,-88,100,-89,-96,-65,-99,100,100,100,-79,-97,-96,-88,-87,100,-100,100,100,100,100,-99
1,2022-07-22-20:35:02,100,-80,-72,100,-84,100,-88,-88,-51,100,100,100,100,-91,100,100,-89,-84,100,100,100,100,100,100,100
2,2022-07-22-20:35:07,100,-77,-69,100,-88,100,-93,-88,-51,100,100,100,100,-72,100,100,-79,-75,100,100,100,100,100,100,-96
3,2022-07-22-20:35:12,100,-82,-69,100,-73,100,-98,-96,-58,-95,100,100,100,-72,100,100,-79,-76,100,100,100,100,100,-95,-95
4,2022-07-22-20:35:17,100,-89,-73,100,-72,100,-89,-88,-59,100,100,100,100,-71,100,100,100,-84,100,100,100,100,100,-94,100
5,2022-07-22-20:35:22,100,-80,-79,100,100,100,100,-86,-59,-95,100,100,100,-77,100,100,-80,-88,100,100,100,100,100,100,100
6,2022-07-22-20:35:27,100,-79,-81,100,-77,100,-92,-89,-59,100,100,100,100,-77,100,100,-81,-76,100,100,100,100,100,-95,100
7,2022-07-22-20:35:32,100,-77,-82,100,-77,100,100,-88,-53,100,100,100,100,-77,100,100,-79,-71,100,100,100,100,100,100,-96
8,2022-07-22-20:35:37,100,-87,-76,100,-86,100,100,-89,-53,100,100,100,-99,-76,100,100,-78,-71,100,100,100,100,100,-93,100
9,2022-07-22-20:35:42,100,-80,-77,100,-77,100,-92,-89,-59,100,100,100,100,-85,100,100,-78,-77,100,100,100,100,100,-93,100
10,2022-07-22-20:35:47,100,-79,-84,100,-77,100,-92,-88,-58,100,100,100,100,-72,100,100,-78,-71,100,100,100,100,100,100,100
11,2022-07-22-20:35:52,100,-91,-78,100,-73,100,-95,-88,-59,100,100,100,100,-72,100,100,-78,-77,100,100,100,100,100,-95,100
12,2022-07-22-20:35:57,100,-80,-85,100,-84,100,-96,-88,-59,-96,100,100,-98,-85,100,100,-78,-77,100,100,100,100,100,-94,100
13,2022-07-22-20:36:02,100,-86,-83,100,-80,100,100,100,-59,100,-93,100,100,-76,100,100,-77,-77,100,100,100,100,100,-93,100
14,2022-07-22-20:36:07,100,-80,-78,100,-77,100,100,-88,-59,100,100,100,100,-85,100,100,-78,-77,100,100,100,100,100,-94,-97
15,2022-07-22-20:36:12,100,-80,-77,100,-77,100,100,-93,-53,100,100,100,100,-77,100,100,-82,-77,100,100,100,100,100,100,100
16,2022-07-22-20:36:17,100,-80,-78,100,-73,100,-92,-93,-59,100,100,100,100,-77,100,100,-91,-78,100,100,100,100,100,-94,100
17,2022-07-22-20:36:22,100,-80,-77,100,-73,100,-91,-93,-58,100,100,100,100,-72,100,100,-91,-77,100,100,100,100,100,-94,100
18,2022-07-22-20:36:27,100,-86,-85,100,-77,100,-91,-89,-53,100,100,100,100,-72,100,100,-82,-71,100,100,100,100,100,-94,100
19,2022-07-22-20:36:32,100,-85,-72,100,-77,100,100,-88,-59,100,100,100,100,-72,100,100,-90,-71,100,100,100,100,100,100,-96
20,2022-07-22-20:36:37,100,-85,-72,-96,-83,100,-90,100,-53,100,100,100,100,-72,100,100,-83,-71,100,100,100,100,100,100,100
21,2022-07-22-20:36:42,100,-86,-84,100,-77,100,100,-89,-58,100,100,100,100,-77,100,100,-90,-77,100,100,100,100,100,-94,-97
22,2022-07-22-20:36:47,100,-85,-72,100,-77,100,-92,-88,-53,100,100,100,100,-72,100,100,-78,-77,100,100,100,100,100,-95,-97
23,2022-07-22-20:36:52,100,-85,-72,100,-77,100,100,-89,-53,-94,100,100,-98,-77,100,100,-78,-78,100,100,100,100,100,-93,-96
24,2022-07-22-20:36:57,100,-85,-84,100,-73,100,-92,-88,-58,100,100,100,-99,-72,100,100,-78,-71,100,100,100,100,100,-95,100
25,2022-07-22-20:37:02,100,-85,-77,100,-73,100,-92,-89,-58,100,100,100,-98,-76,100,100,-90,-71,100,100,100,100,100,100,100
26,2022-07-22-20:37:07,100,-89,-78,100,-84,100,-91,-93,-59,100,100,100,100,-77,100,100,-91,-71,100,100,100,100,100,100,100
27,2022-07-22-20:37:12,100,-79,-78,100,-73,100,100,-89,-58,-96,100,100,100,-77,100,100,-78,-77,100,100,100,100,100,100,100
28,2022-07-22-20:37:17,100,-90,-78,100,-77,100,-91,-89,-58,100,100,100,100,-85,100,100,-78,-77,100,100,100,100,100,100,100
29,2022-07-22-20:37:22,100,-91,-72,100,-72,100,-91,-88,-59,-96,100,100,100,-85,100,100,-91,-78,100,100,100,100,100,-95,100
30,2022-07-22-20:37:27,100,-85,-72,100,100,100,100,-88,-59,100,100,100,100,-85,100,100,-78,-77,100,100,100,100,100,-94,100
31,2022-07-22-20:37:32,100,-85,-72,100,-72,100,100,-88,-58,100,100,100,100,-72,100,100,-78,-77,100,100,100,100,100,-94,100
32,2022-07-22-20:37:37,100,-80,-72,100,-84,100,100,100,-53,100,100,100,100,-72,100,100,-91,-77,100,100,100,100,100,100,-97
33,2022-07-22-20:37:42,100,-85,-72,100,-77,100,-92,-89,-58,-94,100,100,100,-85,100,100,-82,-78,100,100,100,100,100,-94,-96
34,2022-07-22-20:37:47,100,-86,-72,100,100,100,-91,-88,-58,100,100,100,100,-77,100,100,-78,-77,100,100,100,100,100,-94,100
35,2022-07-22-20:37:52,100,-91,-77,100,-72,100,100,-88,-53,100,100,100,100,-77,100,100,-91,-77,100,100,100,100,100,-94,100
36,2022-07-22-20:37:57,100,-91,-77,100,-77,100,-91,-88,-59,100,100,100,-99,-72,100,100,-91,-77,100,100,100,100,100,100,100
37,2022-07-22-20:38:02,100,-85,-77,100,-73,100,-91,-89,-59,100,100,100,100,-72,100,100,-82,-71,100,100,100,100,100,100,-97
38,2022-07-22-20:38:07,100,-87,-72,100,-73,100,-92,-88,-58,100,100,100,100,-85,100,100,-91,-71,100,100,100,100,100,-94,100
39,2022-07-22-20:38:12,100,-80,-77,100,-84,100,-92,-88,-59,100,100,100,100,-77,100,100,-91,-71,100,100,100,100,100,-94,-98
40,2022-07-22-20:38:17,100,-80,-72,100,-77,100,-96,-88,-59,100,100,100,100,-77,100,100,-91,-71,100,100,100,100,100,100,100
