index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-65.68
0,2022-07-23-17:36:26,-64,-101,100,100,-99,-87,100,100,100,100,100,-70,-73,100,100,-87,100,100,100,100,100,100,100,-96,-86,,
1,2022-07-23-17:36:31,-73,-87,100,100,-88,-85,100,100,100,100,100,-57,-77,100,100,-88,100,100,100,100,100,100,100,100,100,,
2,2022-07-23-17:36:36,-60,-84,100,100,-86,-82,100,100,100,100,100,-68,-65,100,100,-80,100,100,100,100,100,100,100,100,-76,,
3,2022-07-23-17:36:41,-72,100,100,100,-89,-85,100,100,100,100,100,100,-76,100,100,-88,100,100,100,100,100,100,100,100,100,,
4,2022-07-23-17:36:46,-60,-84,100,100,-85,-83,100,100,100,100,100,-62,-66,100,100,-89,100,100,100,100,100,100,100,-95,-76,,
5,2022-07-23-17:36:51,-65,-81,100,100,-86,-79,100,100,100,100,100,-65,-70,100,100,-82,100,100,100,100,100,100,100,-92,-78,,
6,2022-07-23-17:36:56,-71,-89,100,100,-89,-84,100,100,100,100,100,-57,-75,100,100,-89,100,100,100,100,100,100,100,100,-94,,
7,2022-07-23-17:37:01,-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
8,2022-07-23-17:37:06,-72,-89,100,100,-89,-78,100,100,100,100,100,-58,-72,100,100,-83,100,100,100,100,100,100,100,100,-90,,
9,2022-07-23-17:37:11,-60,-84,100,100,-90,-88,100,100,100,100,100,-64,-66,100,100,-80,100,100,100,100,100,100,100,100,-76,,
10,2022-07-23-17:37:16,-65,-81,100,100,100,-78,100,100,100,100,100,-68,-70,100,100,-82,100,100,100,100,100,100,100,-91,-79,,
11,2022-07-23-17:37:21,-65,100,100,100,100,100,100,100,100,100,100,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,,
12,2022-07-23-17:37:26,-65,-81,100,100,-86,-78,100,100,100,100,100,-64,-65,100,100,-82,100,100,100,100,100,100,100,-92,-78,,
13,2022-07-23-17:37:31,-72,-81,100,100,100,-85,100,100,100,100,100,-58,-70,100,100,-82,100,100,100,100,100,100,100,100,-93,,
14,2022-07-23-17:37:36,-60,-84,100,100,100,-83,100,100,100,100,100,-64,-66,-98,100,-80,100,100,100,100,100,100,100,-93,-76,,
15,2022-07-23-17:37:41,-60,-85,100,100,100,-83,100,100,100,100,100,100,-66,100,100,-80,100,100,100,100,100,100,100,-93,-75,,
16,2022-07-23-17:37:46,-72,-94,100,100,-91,-85,100,100,100,100,100,-64,-78,100,100,-88,100,100,100,100,100,100,100,100,-92,,
17,2022-07-23-17:37:51,-65,-81,100,100,-87,-78,100,100,100,100,100,-69,-70,100,100,-80,100,100,100,100,100,100,100,-93,-78,,
