index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-82.92
0,2022-07-24-11:43:10,-88,-84,100,100,-91,-71,100,100,100,100,100,100,-79,-86,-96,100,-79,100,100,100,100,100,100,100,-68,-76,,
1,2022-07-24-11:43:15,-81,-82,100,100,-84,-69,100,100,100,100,100,100,-80,-83,-96,100,-77,-94,100,100,100,100,100,100,-52,-75,,
2,2022-07-24-11:43:20,-81,-73,100,100,-76,-71,100,100,-93,100,100,100,-86,-80,-89,100,-77,100,100,100,100,100,100,100,-52,-76,,
3,2022-07-24-11:43:25,-88,-74,100,100,-76,-72,100,100,100,100,100,100,-80,-77,100,100,-74,-93,100,100,100,100,100,100,-53,-75,,
4,2022-07-24-11:43:30,-91,-73,100,100,-77,-72,100,100,100,100,100,100,-79,-79,100,100,-81,100,100,100,100,100,100,100,-53,-81,,
5,2022-07-24-11:43:35,-80,-81,100,100,-86,-72,100,100,100,100,100,100,-86,-76,-96,100,-75,100,100,100,100,100,100,100,-53,-76,,
6,2022-07-24-11:43:40,-81,-74,100,100,-77,-73,100,100,100,100,100,100,-86,-83,100,100,-82,100,100,100,100,100,100,100,-53,-75,,
7,2022-07-24-11:43:45,-81,-82,100,100,-80,-72,100,100,-90,100,100,100,-80,-77,100,100,-81,100,100,100,100,100,100,100,-53,-76,,
8,2022-07-24-11:43:50,-80,-81,100,100,-83,-73,100,100,-94,100,100,100,-77,-77,-92,100,-74,100,100,100,100,100,100,100,-53,-77,,
9,2022-07-24-11:43:55,-85,-76,100,100,-85,-72,100,100,-94,100,100,100,-86,-77,-89,100,-77,-93,100,100,100,100,100,100,-53,-75,,
10,2022-07-24-11:44:00,-81,-74,100,100,-86,-71,100,100,-92,100,100,100,-86,-83,100,100,-75,100,100,100,100,100,100,100,-53,-76,,
