index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-14:40:36,100,-85,-84,-96,-87,100,-74,-83,-67,-94,100,-88,100,-97,-87,-89,-98,-82,-68,-89,-100,100,-87,100,-97,-94
1,2022-07-22-14:40:41,100,-85,100,-98,-86,100,-70,-79,-72,-97,100,100,100,100,-89,100,100,-65,-63,100,100,100,100,100,100,100
2,2022-07-22-14:40:46,100,-84,100,-99,-88,100,-71,-79,-72,-99,100,-87,100,100,-88,100,100,-65,-78,100,100,100,100,100,-90,100
3,2022-07-22-14:40:51,100,-83,100,-94,-88,100,-87,-85,-75,100,100,100,100,100,-90,100,100,-62,-68,100,100,100,100,100,100,100
4,2022-07-22-14:40:56,100,-89,100,-96,-93,100,-85,-85,-75,100,100,-95,100,100,-86,100,100,-62,-67,100,100,100,100,100,100,100
5,2022-07-22-14:41:01,100,-86,100,100,100,100,-75,-94,-77,100,100,-89,100,100,-88,100,100,-75,-72,100,100,100,100,100,100,100
6,2022-07-22-14:41:06,100,-87,100,100,-91,100,-77,-91,-76,-93,100,-97,100,100,-90,100,100,-62,-66,100,100,100,100,100,-92,100
7,2022-07-22-14:41:11,100,-86,100,100,100,100,-75,-84,-69,-97,100,100,100,100,-90,100,100,-61,-66,100,100,100,100,100,-99,100
8,2022-07-22-14:41:16,100,-85,100,-94,-84,100,-77,-84,-77,100,100,100,100,100,-90,100,100,-75,-73,100,100,100,-91,100,100,100
9,2022-07-22-14:41:21,100,-85,100,100,100,100,-74,100,-69,100,100,-94,100,100,-86,100,100,-61,-62,100,100,100,100,100,100,100
10,2022-07-22-14:41:26,100,-85,100,-95,-92,100,-77,-84,-69,100,100,-93,100,100,-90,100,100,-75,-73,100,100,100,100,100,100,100
11,2022-07-22-14:41:31,100,-86,100,100,-92,100,-77,100,-64,-99,100,-89,100,100,-86,100,100,-61,-62,100,100,100,-99,100,-91,100
12,2022-07-22-14:41:36,100,-85,100,-96,100,100,-82,-84,-64,-92,100,-94,100,100,100,100,100,-62,-66,100,100,100,100,100,100,100
13,2022-07-22-14:41:41,100,-86,100,-95,100,100,-77,-84,-64,-92,100,-89,100,100,-86,100,100,-61,-62,100,100,100,-92,100,-91,100
14,2022-07-22-14:41:46,100,-89,100,-96,-84,100,-77,-84,-77,100,100,-89,100,100,-90,100,100,-75,-66,100,100,100,100,100,-91,100
15,2022-07-22-14:41:51,100,-85,100,-100,-84,100,-82,-92,-64,100,100,-89,100,100,-90,100,100,-62,-73,100,100,100,100,100,-91,100
16,2022-07-22-14:41:56,100,-89,100,-96,-84,100,-77,-91,-77,100,100,-89,100,100,-90,100,100,-62,-73,100,100,100,100,100,100,100
17,2022-07-22-14:42:01,100,-85,100,100,-92,100,-77,-84,-69,-97,100,-94,100,100,-86,100,100,-62,-73,100,100,100,100,100,-91,100
18,2022-07-22-14:42:06,100,-85,100,-95,-84,100,-75,-91,-77,-97,100,-89,100,100,-90,100,100,-61,-66,100,100,100,100,100,-91,100
19,2022-07-22-14:42:11,100,-86,100,-95,-84,100,-82,100,-77,100,100,-96,100,100,-86,100,100,-61,-66,100,100,100,-91,100,100,100
20,2022-07-22-14:42:16,100,-83,100,100,100,100,-77,-84,-78,100,100,-89,100,100,-87,100,100,-73,-62,100,100,100,100,100,100,100
21,2022-07-22-14:42:21,100,-85,100,100,-91,100,-79,-85,-64,100,100,-91,100,100,-88,100,100,-62,-74,100,100,100,100,100,-96,100
22,2022-07-22-14:42:26,100,-84,100,-96,-89,100,-77,-92,-64,100,100,-93,100,100,-87,100,100,-75,-66,100,100,100,100,100,-99,100
23,2022-07-22-14:42:31,100,-86,100,-97,100,100,-75,-84,-64,100,100,100,100,100,-90,100,100,-62,-73,100,100,100,100,100,-90,100
24,2022-07-22-14:42:36,100,-85,100,-95,-83,100,-87,-92,-78,100,100,-92,100,100,-89,100,100,-62,-62,100,100,100,100,100,100,100
25,2022-07-22-14:42:41,100,-89,100,100,-96,100,-86,-81,-77,100,100,-94,100,100,-90,100,100,-75,-74,100,100,100,100,100,100,100
26,2022-07-22-14:42:46,100,-85,100,100,-84,100,-81,-91,-69,-92,100,-89,100,100,-90,100,100,-75,-62,100,100,100,100,100,100,100
27,2022-07-22-14:42:51,100,-85,100,-95,100,100,-82,-84,-64,100,100,-88,100,100,100,100,100,-62,-73,100,100,100,100,100,-96,100
28,2022-07-22-14:42:56,100,-85,100,100,-97,100,-75,-92,-69,100,100,-89,100,100,-90,100,100,-62,-73,100,100,100,100,100,-91,100
29,2022-07-22-14:43:01,100,-85,100,100,-84,100,-77,-91,-69,100,100,-89,100,100,-96,100,100,-62,-66,100,100,100,100,100,100,100
30,2022-07-22-14:43:06,100,-86,100,-94,-92,100,-75,-92,-69,100,100,100,100,100,-96,100,100,-75,-62,100,100,100,100,100,-95,100
31,2022-07-22-14:43:11,100,-88,100,-95,-92,100,-77,-90,-69,100,100,100,100,100,-86,100,100,-75,-62,100,100,100,100,100,100,100
32,2022-07-22-14:43:16,100,-85,100,100,-96,100,-75,-92,-69,100,100,100,100,100,-90,100,100,-61,-62,100,100,100,100,100,100,100
33,2022-07-22-14:43:21,100,-86,100,-93,-92,100,-74,-92,-69,100,100,-93,100,100,-90,100,100,-75,-66,100,100,100,100,100,-99,100
34,2022-07-22-14:43:26,100,-85,100,100,-93,100,-77,-84,-77,100,100,100,100,100,-86,100,100,-61,-73,100,100,100,100,100,-91,100
35,2022-07-22-14:43:31,100,-85,100,100,-84,100,-77,-84,-69,100,100,-89,100,100,-90,100,100,-75,-62,100,100,100,100,100,-91,100
36,2022-07-22-14:43:36,100,-89,100,100,-93,100,-75,-90,-64,100,100,100,100,100,-86,100,100,-62,-66,100,100,100,100,100,100,100
37,2022-07-22-14:43:41,100,-85,100,-95,100,100,-77,-91,-77,-97,100,-95,100,100,-90,100,100,-61,-73,100,100,100,100,100,-92,100
38,2022-07-22-14:43:46,100,-86,100,-95,100,100,-81,-91,-77,-98,100,-94,100,100,-90,100,100,-61,-66,100,100,100,100,100,100,100
39,2022-07-22-14:43:51,100,-86,100,100,-84,100,-82,-84,-69,100,100,-89,100,100,-90,100,100,-61,-62,100,100,100,100,100,-98,100
40,2022-07-22-14:43:56,100,-85,100,100,-92,100,-75,100,-69,-91,100,-93,100,100,-86,100,100,-75,-62,100,100,100,100,100,-99,100
41,2022-07-22-14:44:01,100,-85,100,100,-84,100,-81,-91,-64,100,100,-89,100,100,-86,100,100,-75,-73,100,100,100,100,100,100,100
42,2022-07-22-14:44:06,100,-89,100,-96,-84,100,-82,-91,-64,100,100,100,100,100,-90,100,100,-61,-66,100,100,100,100,100,100,100
43,2022-07-22-14:44:11,100,-85,100,-95,-92,100,-74,100,-69,-98,100,-94,100,100,-96,100,100,-66,-62,100,100,100,100,100,-100,100
44,2022-07-22-14:44:16,100,-85,100,100,-92,100,-74,-84,-69,100,100,-89,100,100,-96,100,100,-75,-62,100,100,100,100,100,100,100
45,2022-07-22-14:44:21,100,-85,100,-94,-92,100,-77,-84,-69,100,100,-89,100,100,-86,100,100,-62,-73,100,100,100,-97,100,-91,100
46,2022-07-22-14:44:26,100,-90,100,100,-84,100,-79,-91,-77,-92,100,-89,100,100,100,100,100,-75,-66,100,100,100,100,100,-92,100
47,2022-07-22-14:44:31,100,-89,100,-94,-92,100,-77,-92,-64,-98,100,-94,100,100,-86,100,100,-61,-62,100,100,100,100,100,100,100
48,2022-07-22-14:44:36,100,-85,100,-96,-84,100,-75,100,-77,100,100,100,100,100,-90,100,100,-62,-73,100,100,100,100,100,-91,100
49,2022-07-22-14:44:41,100,-89,100,-95,-84,100,-77,-90,-69,100,100,100,100,100,-86,100,100,-75,-62,100,100,100,100,100,-91,100
50,2022-07-22-14:44:46,100,-85,100,-95,-96,100,-82,-84,-77,100,100,-89,100,100,100,100,100,-62,-62,100,100,100,100,100,-91,100
51,2022-07-22-14:44:51,100,-88,100,-97,100,100,-87,-84,-64,100,100,100,100,100,-89,100,100,-62,-66,100,100,100,100,100,-91,100
52,2022-07-22-14:44:56,100,-84,100,100,-83,100,-86,-86,-64,-95,100,-95,100,100,100,100,100,-61,-72,100,100,100,100,100,100,100
53,2022-07-22-14:45:01,100,-93,100,100,-84,100,-75,-96,-77,-98,100,-95,100,100,-92,100,100,-61,-62,100,100,100,100,100,-91,100
54,2022-07-22-14:45:06,100,-82,100,100,-84,100,-77,-91,-64,-92,100,100,100,100,-86,100,100,-63,-73,100,100,100,100,100,-98,100
55,2022-07-22-14:45:11,100,-85,100,100,-84,100,-82,-84,-69,100,100,100,100,100,-86,100,100,-62,-66,100,100,100,100,100,100,100
56,2022-07-22-14:45:16,100,-88,100,100,100,100,-82,-84,-69,-97,100,-89,100,100,-90,100,100,-75,-66,100,100,100,100,100,-91,100
57,2022-07-22-14:45:21,100,-85,100,100,-92,100,-77,-84,-64,100,100,100,100,100,-86,100,100,-63,-66,100,100,100,-98,100,100,100
58,2022-07-22-14:45:26,100,-89,100,100,-92,100,-82,100,-77,100,100,100,100,100,-86,100,100,-75,-66,100,100,100,100,100,-91,100
59,2022-07-22-14:45:31,100,-85,100,100,-84,100,-77,-91,-69,-92,100,100,100,100,-86,100,100,-75,-73,100,100,100,100,100,-91,100
