index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-14:38:04,-96,-86,-80,100,-79,-97,-93,-91,-75,-96,-101,-100,-95,-95,-99,-99,-92,-81,100,100,100,-91,100,-93,-92
1,2022-07-22-14:38:09,100,-78,100,100,-74,100,-93,-91,-64,100,100,100,100,-79,100,100,-78,-74,100,100,100,-91,100,100,100
2,2022-07-22-14:38:14,100,-78,100,100,-74,100,100,-86,-64,100,100,100,100,100,100,100,-75,-76,100,100,100,-89,100,100,100
3,2022-07-22-14:38:19,100,-76,100,100,-78,100,100,-92,-63,100,100,100,100,-85,100,100,-80,-72,100,100,100,-91,100,100,100
4,2022-07-22-14:38:24,100,-76,100,100,-75,100,-90,-84,-65,100,100,100,100,-77,100,100,-80,-71,100,100,100,-90,100,100,100
5,2022-07-22-14:38:29,100,-80,100,100,-78,100,-94,-91,-58,100,100,100,100,-87,100,100,-77,-71,100,100,100,100,100,-92,100
6,2022-07-22-14:38:34,100,-80,100,100,-78,100,-91,-88,-70,100,100,100,100,-82,100,100,-82,-71,100,100,100,100,100,100,100
7,2022-07-22-14:38:39,100,-85,100,100,-80,100,100,-92,-60,100,100,100,100,-87,100,100,-82,-89,100,100,100,100,100,100,100
8,2022-07-22-14:38:44,100,-76,100,100,-78,100,-93,100,-66,100,100,100,100,-84,100,100,-78,-70,100,100,100,-91,100,-93,100
9,2022-07-22-14:38:49,100,-82,100,100,-75,100,-93,-87,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,-90,100,100,100
10,2022-07-22-14:38:54,100,-82,100,100,-76,100,-92,-91,-58,100,100,100,100,-82,100,100,-91,-81,100,100,100,100,100,-92,100
11,2022-07-22-14:38:59,100,-78,100,100,-75,100,100,-87,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,100,100,100,100
12,2022-07-22-14:39:04,100,-82,100,100,-76,100,-93,-92,-58,100,100,100,100,-82,100,100,-90,-82,100,100,100,-91,100,-91,100
13,2022-07-22-14:39:09,100,-76,100,100,-78,100,-92,-94,-66,100,100,100,100,-84,100,100,-78,-71,100,100,100,100,100,100,100
14,2022-07-22-14:39:14,100,-78,100,100,-75,100,100,-87,-66,100,100,100,100,-77,100,100,-78,-72,100,100,100,-90,100,100,100
15,2022-07-22-14:39:19,100,-75,100,100,-78,100,-92,-95,-66,100,100,100,100,100,100,100,-78,-71,100,100,100,-93,100,-96,100
16,2022-07-22-14:39:24,100,-78,100,100,-75,100,-92,-87,-66,100,100,100,100,-77,100,100,-79,-72,100,100,100,-90,100,100,100
17,2022-07-22-14:39:29,100,-82,100,100,-76,100,-93,-91,-58,100,100,100,100,-83,100,100,-91,-81,100,100,100,-91,100,-92,100
