index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,RFstar_9120
0,2022-07-19-17:37:33,100,-92,-68,-97,-94,100,-84,-82,-86,-98,-91,100,100,-96,100,100,-89,-59,100,100,100,100,100,100,100,
1,2022-07-19-17:37:38,100,-89,-66,-80,100,100,-75,-90,-77,-80,-80,100,100,-69,-89,100,-73,-59,-90,-89,100,-82,100,-96,100,
2,2022-07-19-17:37:43,100,-86,-67,-77,-83,100,-79,-74,-80,-86,-87,100,100,-69,-90,100,-73,-63,-86,-86,100,-84,100,100,100,
3,2022-07-19-17:37:48,100,-85,-66,-86,-86,100,-85,-77,-74,-78,-79,100,100,-71,-88,100,-71,-61,-87,-87,100,-82,100,100,100,
4,2022-07-19-17:37:53,100,-84,-66,-76,-78,100,-75,-75,-73,-81,-89,100,100,-68,-93,100,-77,-62,100,-86,100,-88,100,100,100,
5,2022-07-19-17:37:58,100,-91,-66,-80,-84,100,-82,-76,-77,-78,-78,100,100,-82,-92,100,-68,-69,-85,-87,100,-82,100,100,100,-94.0
6,2022-07-19-17:38:03,100,-84,-65,-91,-85,100,-77,-76,-78,-79,-81,100,100,-69,100,100,-73,-69,100,-86,100,-84,100,-95,100,100.0
7,2022-07-19-17:38:08,100,-85,-62,-76,-84,100,-76,-75,-70,-78,-79,100,100,-68,-93,100,-71,-58,-90,-85,100,-80,100,-97,100,100.0
8,2022-07-19-17:38:13,100,-82,-65,-80,-80,100,-77,-83,-72,-78,-88,100,100,-68,-87,100,-72,-58,100,-86,100,-79,100,-93,100,-93.0
9,2022-07-19-17:38:18,100,-97,-66,-76,-80,100,-83,-84,-78,-80,-88,100,100,-69,-94,100,-66,-69,100,-87,100,-80,100,100,100,100.0
10,2022-07-19-17:38:23,100,-87,100,-80,-85,100,-81,-75,-85,-79,-81,100,100,-68,-93,100,-80,-61,-92,-90,100,-79,100,-96,100,100.0
11,2022-07-19-17:38:28,100,-84,-62,-80,-86,100,-81,-82,-80,-80,-89,100,100,-68,100,100,-83,-61,-86,-90,100,-79,100,-95,100,100.0
12,2022-07-19-17:38:33,100,-88,-62,-80,-83,100,-81,-76,-85,-80,-81,100,100,-68,100,100,-67,-67,100,-87,100,-79,100,100,100,100.0
13,2022-07-19-17:38:38,100,-85,-65,-76,-85,100,-82,-75,-72,-79,-78,100,100,-83,-93,100,-72,-59,-85,-87,100,-79,100,100,100,100.0
14,2022-07-19-17:38:43,100,-84,-65,-76,-83,100,-83,-76,-72,-79,-89,100,100,-68,-88,100,-84,-60,-85,-96,100,-79,-88,100,100,100.0
15,2022-07-19-17:38:48,100,-88,-63,-80,-85,100,-83,-75,-77,-79,-78,100,100,-68,100,100,-67,-60,100,100,100,-79,100,100,100,100.0
16,2022-07-19-17:38:53,100,-86,-65,-80,-83,100,-83,-83,-80,-79,-79,100,100,-68,-88,100,-78,-61,100,-86,100,-79,100,100,100,100.0
17,2022-07-19-17:38:58,100,-85,-66,-80,-84,100,-81,-75,-72,-80,-78,100,100,-82,-94,100,-67,-69,-85,-86,100,-83,100,100,100,100.0
18,2022-07-19-17:39:03,100,-84,-65,-80,-85,100,-83,-83,-77,-79,-89,100,100,-68,-93,100,-72,-61,-92,-86,100,-80,100,100,100,-94.0
19,2022-07-19-17:39:08,100,-85,-62,-76,-80,100,-81,-75,-72,-80,-89,100,100,-68,-88,100,-67,-61,100,-87,100,-79,100,100,100,100.0
20,2022-07-19-17:39:13,100,-86,-66,-76,-80,100,-83,-75,-80,-79,-78,100,100,-83,-88,100,-67,-58,100,-87,100,-79,100,100,100,-94.0
21,2022-07-19-17:39:18,100,-84,-65,-76,-80,100,-83,-75,-72,-79,-81,100,100,-83,100,100,-72,-61,-86,-86,100,-79,100,100,100,100.0
22,2022-07-19-17:39:23,100,-84,-66,-76,-85,100,-76,-83,-80,-80,-89,100,100,-82,-87,100,-67,-61,-85,-87,100,-79,100,100,100,-95.0
23,2022-07-19-17:39:28,100,-86,-66,-90,-85,100,-76,-83,-80,-79,-89,100,100,-82,-94,100,-67,-61,100,-86,100,-80,100,100,100,100.0
24,2022-07-19-17:39:33,100,-86,-66,-80,-80,100,-81,-76,-72,-80,-89,100,100,-83,-88,100,-67,-69,-86,100,100,-80,100,-95,100,100.0
25,2022-07-19-17:39:38,100,-85,-66,-80,-85,100,-81,-75,-72,-79,-89,100,100,-68,-94,100,-79,-61,-85,-86,100,-83,100,-94,100,100.0
26,2022-07-19-17:39:43,100,-85,-66,-91,100,100,-81,-76,-77,-80,-81,100,100,-83,-94,100,-72,-58,100,-87,100,-83,100,100,100,100.0
27,2022-07-19-17:39:48,100,-86,-66,-80,-83,100,-81,-76,-77,-80,-89,100,100,-83,-94,100,-72,-61,100,-96,100,-83,100,-96,100,100.0
28,2022-07-19-17:39:53,100,-86,-65,-76,-80,100,-81,-75,-77,-80,-78,100,100,-68,-94,100,-72,-61,-86,-96,100,-80,-88,100,100,100.0
29,2022-07-19-17:39:58,100,-86,-65,-80,-85,100,-83,-76,-72,-80,-81,100,100,-83,-87,100,-72,-61,100,-87,100,-79,100,100,100,100.0
30,2022-07-19-17:40:03,100,-86,-62,-76,-84,100,-83,-76,-80,-79,-81,100,100,-68,-94,100,-72,-61,100,-87,100,-83,100,100,100,-94.0
31,2022-07-19-17:40:08,100,-86,-66,-90,-85,100,-77,-76,-72,-80,-81,100,100,-69,-94,100,-72,-61,-92,100,100,100,100,100,100,100.0
32,2022-07-19-17:40:13,100,-84,-65,-91,-80,100,-77,-76,-80,-80,-81,100,100,-68,-94,100,-79,-69,100,-87,100,-83,100,100,100,100.0
33,2022-07-19-17:40:18,100,-85,-65,-91,-80,100,-76,-75,-72,-80,-81,100,100,-82,-95,100,-78,-58,-86,-87,100,-80,100,100,100,100.0
34,2022-07-19-17:40:23,100,-84,-65,-90,-80,100,-81,-75,-72,-79,-89,100,100,-82,-94,100,-67,-58,-86,-97,100,-80,100,100,100,100.0
35,2022-07-19-17:40:28,100,-85,-65,-80,-84,100,-83,-83,-72,-79,-78,100,100,-68,-87,100,-67,-61,-86,-90,100,-79,100,100,100,100.0
36,2022-07-19-17:40:33,100,-86,-65,-76,-83,100,-81,-76,-80,-79,-78,100,100,-69,100,100,-72,-69,-86,-87,100,-79,-88,-95,100,100.0
37,2022-07-19-17:40:38,100,-86,-62,-80,-80,100,-81,-76,-78,-79,-81,100,100,-83,-88,100,-78,-61,100,-86,100,-80,100,-96,100,100.0
38,2022-07-19-17:40:43,100,-85,-62,-80,-85,100,-83,-83,-77,-80,-89,100,100,-68,-87,100,-79,-69,-86,-86,100,-79,100,100,100,100.0
39,2022-07-19-17:40:48,100,-84,-65,-91,-84,100,-83,-75,-77,-80,-81,100,100,-82,-94,100,-79,-61,-86,100,100,-80,100,100,100,100.0
40,2022-07-19-17:40:53,100,-85,-62,-91,-85,100,-81,-83,-77,-80,-81,100,100,-82,-94,100,-79,-61,-86,-87,100,-79,100,100,100,100.0
41,2022-07-19-17:40:58,100,-85,-62,-77,-80,100,-76,-83,-77,-80,-81,100,100,-69,-94,100,-79,-61,-86,-87,100,-80,100,-95,100,-95.0
42,2022-07-19-17:41:03,100,-85,-62,-76,-80,100,-81,-76,-73,100,-78,100,100,-83,-94,100,-67,-69,-86,-87,100,-79,100,100,100,-94.0
43,2022-07-19-17:41:08,100,-86,-62,-76,-80,100,-81,-83,-80,-80,-81,100,100,-69,-87,100,-72,-69,-86,-86,100,-80,100,-96,100,100.0
44,2022-07-19-17:41:13,100,-84,-66,-80,-84,100,-77,-76,-72,-80,-89,100,100,-68,-94,100,-72,-58,-86,-91,100,-79,100,-95,100,-94.0
45,2022-07-19-17:41:18,100,-86,-66,-80,-84,100,-83,-83,-77,-79,-81,100,100,-83,-87,100,-72,-58,100,-87,100,-79,100,100,100,100.0
46,2022-07-19-17:41:23,100,-86,-66,-76,-80,100,-77,-75,-72,-79,-81,100,100,-69,-94,100,-72,-58,-86,100,100,-79,100,100,100,-94.0
47,2022-07-19-17:41:28,100,-84,-65,-76,-83,100,-76,-83,-80,-79,-89,100,100,-82,-94,100,-72,-58,-86,-87,100,-79,-96,100,100,-94.0
48,2022-07-19-17:41:33,100,-86,-62,-79,-84,100,-83,-83,-80,-79,-78,100,100,-69,-94,100,-79,-61,-86,-86,100,-80,100,100,100,-93.0
49,2022-07-19-17:41:38,100,-86,-62,-81,-80,100,-83,-83,-77,-79,-78,100,100,-68,-94,100,-72,-58,-86,-86,100,-80,100,-95,100,100.0
50,2022-07-19-17:41:43,100,-85,-66,-76,-80,100,-76,-83,-80,-80,-78,100,100,-68,-94,100,-79,-58,100,-87,100,-79,100,100,100,-94.0
51,2022-07-19-17:41:48,100,-84,-66,-76,-80,100,-83,-76,-73,-80,-78,100,100,-68,-94,100,-78,-69,100,-87,100,-79,100,100,100,100.0
52,2022-07-19-17:41:53,100,-85,-65,-80,-85,100,-83,-75,-80,-80,-81,100,100,-68,-94,100,-67,-69,-86,-87,100,-80,100,100,100,100.0
53,2022-07-19-17:41:58,100,-86,-66,-80,-84,100,-81,-75,-80,-80,-81,100,100,-69,100,100,-79,-61,100,-87,100,-83,100,100,100,100.0
54,2022-07-19-17:42:03,100,-86,-66,-80,-80,100,-81,-75,-72,-79,-89,100,100,-83,-94,100,-72,-69,100,-87,100,-83,100,-94,100,100.0
55,2022-07-19-17:42:08,100,-86,-62,-76,-85,100,-76,-76,-77,-85,-89,100,100,-69,-94,100,-72,-61,-86,-87,100,-79,100,100,100,-99.0
56,2022-07-19-17:42:13,100,-85,-62,100,-85,100,-83,-75,-77,-80,-78,100,100,-68,-94,100,-72,-69,-92,-90,100,-80,100,100,100,100.0
