index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-81.52
0,2022-07-23-16:52:02,-82,-79,100,100,-85,-84,100,100,100,100,100,-74,-73,100,100,-70,100,100,100,100,100,100,100,-85,-80,,
1,2022-07-23-16:52:07,-86,-89,100,100,-76,-87,100,100,100,100,100,-71,-59,100,100,-70,100,100,100,100,100,100,100,-84,-78,,
2,2022-07-23-16:52:12,-86,-72,100,100,-76,-71,100,100,100,100,100,-71,-56,100,100,-71,100,100,100,100,100,100,100,-80,-77,,
3,2022-07-23-16:52:17,-83,-68,100,100,-83,-71,100,100,100,100,100,-71,-56,100,100,-70,100,100,100,100,100,100,100,-91,-73,,
4,2022-07-23-16:52:22,-83,-88,100,100,-76,-78,100,100,100,100,100,-71,-62,100,100,-71,100,100,100,100,100,100,100,-84,-78,,
5,2022-07-23-16:52:27,-83,-88,100,100,-76,-72,100,100,100,100,100,-77,-56,100,100,-71,100,100,100,100,100,100,100,-84,-73,,
6,2022-07-23-16:52:32,-86,-67,100,100,-76,-78,100,100,100,100,100,-71,-62,-98,100,-71,100,100,100,100,100,100,100,-83,-73,,
7,2022-07-23-16:52:37,-83,-67,100,100,-80,-78,100,100,100,100,100,-71,-57,100,100,-70,100,100,100,100,100,100,100,-83,-73,,
8,2022-07-23-16:52:42,-76,-72,100,100,-76,-85,100,100,100,100,100,-71,-62,-98,100,-71,100,100,100,100,100,100,100,-79,-78,,
9,2022-07-23-16:52:47,-76,-72,100,100,-83,-78,100,100,100,100,100,-71,-57,100,100,-71,100,100,100,100,100,100,100,-83,-73,,
10,2022-07-23-16:52:52,-76,-67,100,100,-76,-72,100,100,100,100,100,-71,-62,100,100,-71,100,100,100,100,100,100,100,-79,-78,,
11,2022-07-23-16:52:57,-83,-88,100,100,-76,-72,100,100,100,100,100,-77,-62,100,100,-71,100,100,100,100,100,100,100,-91,-77,,
12,2022-07-23-16:53:02,-86,-72,100,100,-80,-78,100,100,100,100,100,-77,-56,100,100,-70,100,100,100,100,100,100,100,-83,-78,,
13,2022-07-23-16:53:07,-86,-88,100,100,-83,-85,100,100,100,100,100,-71,-62,100,100,-71,100,100,100,100,100,100,100,-79,-73,,
14,2022-07-23-16:53:12,-76,-67,100,100,-76,-71,100,100,100,100,100,-71,-56,-99,100,-71,100,100,100,100,100,100,100,-91,-78,,
15,2022-07-23-16:53:17,-76,-88,100,100,-76,-78,100,100,100,100,100,-71,-57,-98,100,-70,100,100,100,100,100,100,100,-83,-73,,
16,2022-07-23-16:53:22,-83,-89,100,100,-76,-78,100,100,100,100,100,-71,-56,100,100,-71,100,100,100,100,100,100,100,-80,-73,,
17,2022-07-23-16:53:27,-76,-67,100,100,-76,-85,100,100,100,100,100,-77,-57,100,100,-71,100,100,100,100,100,100,100,-79,-77,,
18,2022-07-23-16:53:32,-83,-67,100,100,-76,-72,100,100,100,100,100,-77,-57,100,100,-71,100,100,100,100,100,100,100,100,-78,,
19,2022-07-23-16:53:37,-83,-67,100,100,-76,-72,100,100,100,100,100,-71,-62,100,100,-71,100,100,100,100,100,100,100,-80,-73,,
20,2022-07-23-16:53:42,-76,-67,100,100,-76,-72,100,100,100,100,100,-71,-57,100,100,-70,100,100,100,100,100,100,100,-79,-77,,
21,2022-07-23-16:53:47,-86,-67,100,100,-76,-78,100,100,100,100,100,-71,-62,100,100,-70,100,100,100,100,100,100,100,-84,-73,,
22,2022-07-23-16:53:52,-86,-72,100,100,-80,-78,100,100,100,100,100,-71,-56,100,100,-70,100,100,100,100,100,100,100,-79,-73,,
23,2022-07-23-16:53:57,-86,-67,100,100,-80,-78,100,100,100,100,100,-71,-56,100,100,-71,100,100,100,100,100,100,100,-91,-77,,
24,2022-07-23-16:54:02,-76,-72,100,100,-80,-72,100,100,100,100,100,-71,-62,100,100,-70,100,100,100,100,100,100,100,-83,-77,,
25,2022-07-23-16:54:07,-76,-88,100,100,-76,-72,100,100,100,100,100,-77,-56,100,100,-70,100,100,100,100,100,100,100,100,-77,,
26,2022-07-23-16:54:12,-86,-67,100,100,-83,-85,100,100,100,100,100,-77,-62,100,100,-72,100,100,100,100,100,100,100,-83,-73,,
27,2022-07-23-16:54:17,-86,-67,100,100,-80,-72,100,100,100,100,100,-71,-62,-98,100,-70,100,100,100,100,100,100,100,-83,-78,,
28,2022-07-23-16:54:22,-86,-88,100,100,-80,-78,100,100,100,100,100,-77,-57,100,100,-71,100,100,100,100,100,100,100,-91,-78,,
29,2022-07-23-16:54:27,-86,-88,100,100,-83,-78,100,100,100,100,100,-71,-56,100,100,-71,100,100,100,100,100,100,100,-84,-73,,
30,2022-07-23-16:54:32,-76,-88,100,100,-83,-85,100,100,100,100,100,-71,-56,100,100,-70,100,100,100,100,100,100,100,-91,-77,,
31,2022-07-23-16:54:37,-83,-88,100,100,-76,100,100,100,100,100,100,-71,-62,100,100,-70,100,100,100,100,100,100,100,-83,-79,,
32,2022-07-23-16:54:42,-76,-72,100,100,-83,-78,100,100,100,100,100,-77,-56,100,100,-70,100,100,100,100,100,100,100,-79,-73,,
33,2022-07-23-16:54:47,-87,-88,100,100,-76,-72,100,100,100,100,100,-71,-62,100,100,-70,100,100,100,100,100,100,100,-91,-78,,
34,2022-07-23-16:54:52,-76,-72,100,100,-76,-78,100,100,100,100,100,-71,-57,100,100,-70,100,100,100,100,100,100,100,-83,-78,,
35,2022-07-23-16:54:57,-88,-72,100,100,-83,-90,100,100,100,100,100,-71,-56,100,100,-70,100,100,100,100,100,100,100,-91,-78,,
36,2022-07-23-16:55:02,-76,-67,100,100,-80,-72,100,100,100,100,100,-71,-56,100,100,-70,100,100,100,100,100,100,100,-83,-73,,
37,2022-07-23-16:55:07,-76,-88,100,100,-76,-72,100,100,100,100,100,-71,-62,100,100,-71,100,100,100,100,100,100,100,-79,-79,,
38,2022-07-23-16:55:12,-76,-88,100,100,-76,-85,100,100,100,100,100,-77,-62,-98,100,-70,100,100,100,100,100,100,100,-90,-77,,
39,2022-07-23-16:55:17,-76,-72,100,100,-80,-72,100,100,100,100,100,-71,-56,100,100,-70,100,100,100,100,100,100,100,-79,-78,,
40,2022-07-23-16:55:22,-76,-72,100,100,-83,-78,100,100,100,100,100,-71,-62,100,100,-69,100,100,100,100,100,100,100,-84,-73,,
41,2022-07-23-16:55:27,-86,-89,100,100,-76,-78,100,100,100,100,100,-71,-56,-99,100,-71,100,100,100,100,100,100,100,-83,-78,,
42,2022-07-23-16:55:32,-83,-67,100,100,-80,-85,100,100,100,100,100,-71,-57,100,100,-71,100,100,100,100,100,100,100,-91,-77,,
43,2022-07-23-16:55:37,-86,-67,100,100,-76,-72,100,100,100,100,100,-77,-56,100,100,-71,100,100,100,100,100,100,100,-91,-79,,
44,2022-07-23-16:55:42,100,-67,100,100,-83,-78,100,100,100,100,100,-71,-62,100,100,-72,100,100,100,100,100,100,100,-79,-78,,
45,2022-07-23-16:55:47,-82,-88,100,100,-77,-85,100,100,100,100,100,-71,-56,100,100,-68,100,100,100,100,100,100,100,-91,-78,,
46,2022-07-23-16:55:52,-77,-83,100,100,-84,-76,100,100,100,100,100,-71,-57,100,100,-68,100,100,100,100,100,100,100,100,-78,,
47,2022-07-23-16:55:57,-85,-87,100,100,-81,-78,100,100,100,100,100,-73,-62,100,100,-71,100,100,100,100,100,100,100,-91,-83,,
48,2022-07-23-16:56:02,-88,-68,100,100,-81,-86,100,100,100,100,100,-76,-55,100,100,-67,100,100,100,100,100,100,100,-79,-73,,
49,2022-07-23-16:56:07,-84,-89,100,100,-83,-73,100,100,100,100,100,-74,-55,100,100,-67,100,100,100,100,100,100,100,-80,-73,,
50,2022-07-23-16:56:12,100,-72,100,100,-77,-77,100,100,100,100,100,-75,-61,100,100,-71,100,100,100,100,-97,100,100,-80,-70,,
51,2022-07-23-16:56:17,-84,-68,100,100,-76,-79,100,100,100,100,100,-76,-56,100,100,-67,100,100,100,100,100,100,100,-84,-76,,
52,2022-07-23-16:56:22,-83,-72,100,100,-76,-79,100,100,100,100,100,-76,-62,-97,100,-72,100,100,100,100,100,100,100,-93,-77,,
53,2022-07-23-16:56:27,-83,-89,100,100,-76,-86,100,100,100,100,100,-76,-55,100,100,-72,100,100,100,100,100,100,100,-82,-77,,
54,2022-07-23-16:56:32,-78,-68,100,100,-81,-73,100,100,100,100,100,-70,-55,100,100,-73,100,100,100,100,100,100,100,-80,-74,,
55,2022-07-23-16:56:37,-83,-68,100,100,-82,-87,100,100,100,100,100,-75,-55,-97,100,-72,100,100,100,100,100,100,100,-93,-73,,
56,2022-07-23-16:56:42,-83,-89,100,100,-82,-73,100,100,100,100,100,-70,-55,100,100,-67,100,100,100,100,100,100,100,-93,-73,,
57,2022-07-23-16:56:47,-78,-72,100,100,-82,-79,100,100,100,100,100,-70,-55,100,100,-67,100,100,100,100,100,100,100,-82,-78,,
58,2022-07-23-16:56:52,-85,-89,100,100,-76,-87,100,100,100,100,100,-76,-62,100,100,-72,100,100,100,100,100,100,100,100,-73,,
59,2022-07-23-16:56:57,-83,-72,100,100,-82,-73,100,100,100,100,100,-70,-56,-98,100,-72,100,100,100,100,100,100,100,-82,-77,,
