index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,
0,2022-07-23-17:00:18,-77,-94,100,100,-86,-88,100,100,100,100,100,-66,-59,100,100,-73,100,100,100,100,-86,100,100,-94,-76,,-78.02
1,2022-07-23-17:00:23,-70,-80,100,100,-84,-84,100,100,100,100,100,-80,-54,100,100,-77,100,100,100,100,100,100,100,-96,-82,,
2,2022-07-23-17:00:28,-91,-96,100,100,-91,-87,100,100,100,100,100,-81,-55,100,100,-77,100,100,100,100,100,100,100,-91,-86,,
3,2022-07-23-17:00:33,-71,-76,100,100,-83,-81,100,100,100,100,100,-68,-59,100,100,-67,100,100,100,100,100,100,100,-86,-76,,
4,2022-07-23-17:00:38,-91,100,100,100,-88,-82,100,100,100,100,100,-79,-55,100,100,-76,100,100,100,100,100,100,100,-93,-85,,
5,2022-07-23-17:00:43,-71,-80,100,100,-86,-82,100,100,100,100,100,-68,-69,100,100,-70,100,100,100,100,100,100,100,-87,-75,,
6,2022-07-23-17:00:48,-71,-76,100,100,-83,-82,100,100,100,100,100,-68,-60,100,100,-67,100,100,100,100,100,100,100,100,-77,,
7,2022-07-23-17:00:53,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,-68,100,100,-70,100,100,100,100,100,100,100,100,-75,,
8,2022-07-23-17:00:58,-71,-77,100,100,-83,-82,100,100,100,100,100,-68,-58,100,100,-67,100,100,100,100,100,100,100,-86,-76,,
9,2022-07-23-17:01:03,-91,-80,100,100,-89,-86,100,100,100,100,100,-79,-54,100,100,-76,100,100,100,100,100,100,100,-92,-84,,
10,2022-07-23-17:01:08,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,-68,100,100,-70,100,100,100,100,100,100,100,-85,-74,,
11,2022-07-23-17:01:13,-92,100,100,100,-89,-87,100,100,100,100,100,-79,-55,100,100,-76,100,100,100,100,100,100,100,-93,-84,,
12,2022-07-23-17:01:18,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,-69,100,100,-71,100,100,100,100,100,100,100,-86,-75,,
13,2022-07-23-17:01:23,-71,-80,100,100,-84,-82,100,100,100,100,100,-68,-59,100,100,-67,100,100,100,100,100,100,100,-87,-76,,
14,2022-07-23-17:01:28,-90,-96,100,100,-89,-86,100,100,100,100,100,-79,-54,100,100,-77,100,100,100,100,100,100,100,-93,-84,,
15,2022-07-23-17:01:33,-71,100,100,100,-83,-81,100,100,100,100,100,-68,-58,100,100,-67,100,100,100,100,100,100,100,100,-77,,
16,2022-07-23-17:01:38,-91,-95,100,100,-90,-86,100,100,100,100,100,-68,-55,100,100,-76,100,100,100,100,100,100,100,-87,-84,,
17,2022-07-23-17:01:43,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,-70,100,100,-70,100,100,100,100,100,100,100,-86,-75,,
18,2022-07-23-17:01:48,-71,-76,100,100,-83,-82,100,100,100,100,100,-67,-58,100,100,-67,100,100,100,100,100,100,100,-87,-77,,
19,2022-07-23-17:01:53,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,100,100,100,-70,100,100,100,100,100,100,100,100,100,,
20,2022-07-23-17:01:58,-71,-76,100,100,-83,-82,100,100,100,100,100,-68,-58,100,100,-67,100,100,100,100,100,100,100,-86,-77,,
21,2022-07-23-17:02:03,-90,-95,100,100,-88,-86,100,100,100,100,100,-78,-54,100,100,-76,100,100,100,100,100,100,100,-93,-76,,
22,2022-07-23-17:02:08,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,-70,100,100,-70,100,100,100,100,100,100,100,-86,-74,,
