index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-19-20:36:37,100,100,100,-87,-86,100,-89,-90,100,-92,-89,-68,100,100,-93,-84,100,-91,-94,-66,-77,100,-75,-90,100,100
1,2022-07-19-20:36:42,100,100,100,-78,-86,100,-84,100,100,-90,-89,-73,100,100,-89,-87,100,-86,100,-54,-66,100,-83,-93,100,100
2,2022-07-19-20:36:47,100,100,100,-78,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,-54,-65,100,-87,100,100,100
3,2022-07-19-20:36:52,100,100,-100,-86,-86,100,-90,100,100,100,-81,-74,100,100,-91,-91,100,-90,-91,-52,-68,100,-75,100,100,100
4,2022-07-19-20:36:57,100,100,100,-79,-85,100,-88,100,100,-82,-93,-82,100,100,-89,-76,100,100,-91,-63,-78,100,-87,100,100,100
5,2022-07-19-20:37:02,100,100,100,-82,-86,100,-87,100,100,-82,-83,-74,100,100,-92,-83,100,-94,100,-56,-69,100,-76,100,100,100
6,2022-07-19-20:37:07,100,100,100,-81,-86,100,-88,100,100,-85,-82,-70,100,100,100,100,100,-91,100,-52,-69,100,-77,-90,100,100
7,2022-07-19-20:37:12,100,100,100,-78,-85,100,-88,100,100,-83,-93,-81,100,100,-94,-75,100,-92,100,-88,-91,100,-89,100,100,100
8,2022-07-19-20:37:17,100,100,100,-80,-86,100,-87,100,100,-92,-82,-76,100,100,-89,100,100,100,-94,-54,-68,100,-75,-89,100,100
9,2022-07-19-20:37:22,100,100,100,-79,-85,100,-90,100,100,-87,-93,-80,100,100,-94,-75,100,-90,100,-86,-88,100,-88,100,100,100
10,2022-07-19-20:37:27,100,100,100,-78,-86,100,-89,100,100,-82,-92,-80,100,100,-92,-76,100,-90,100,-86,-89,100,100,100,100,100
11,2022-07-19-20:37:32,100,100,100,-78,-86,100,-85,100,100,-93,-89,-76,100,100,-90,-84,100,-92,100,-54,-65,100,-84,-93,100,100
12,2022-07-19-20:37:37,100,100,100,-82,-85,100,-89,100,100,-92,-82,-80,100,100,-91,-75,100,-90,100,-53,-68,100,-76,-91,100,100
13,2022-07-19-20:37:42,100,100,100,-80,-86,100,100,100,100,-88,-88,-71,100,100,-89,-84,100,100,100,-54,-65,100,-76,-93,100,100
14,2022-07-19-20:37:47,100,100,100,-78,-86,100,-86,100,100,-92,-88,-76,100,100,-89,-83,100,100,-94,-54,-65,100,100,100,100,100
15,2022-07-19-20:37:52,100,100,100,-82,-86,100,-91,100,100,-86,-80,-71,100,100,-92,-98,100,-91,100,-53,-68,100,-76,100,100,100
16,2022-07-19-20:37:57,100,100,100,-78,-85,100,-85,100,100,-92,-89,-76,100,100,-89,-83,100,-93,-92,-55,-65,100,-83,-92,100,100
17,2022-07-19-20:38:02,100,100,100,-85,-86,100,-87,100,100,-87,-82,-81,100,100,-92,-75,100,-90,-92,-53,-68,100,-74,-87,100,100
18,2022-07-19-20:38:07,100,100,100,-83,-84,100,-91,100,100,-85,-82,-70,100,100,-90,-91,100,100,-92,-53,-68,100,-76,-86,100,100
19,2022-07-19-20:38:12,100,100,100,-79,-85,100,-91,100,100,-82,-94,-80,100,100,-94,-77,100,-92,100,-85,-88,100,-90,-90,100,100
20,2022-07-19-20:38:17,100,100,-101,-82,-90,100,-90,100,100,-86,-82,-71,100,100,-92,-77,100,-92,100,-54,-68,100,-75,-89,100,100
21,2022-07-19-20:38:22,100,100,100,-78,-85,100,-88,100,100,-96,-89,-76,100,100,-93,-83,100,-90,-93,-85,-88,100,-83,-90,100,100
22,2022-07-19-20:38:27,100,100,100,-79,-85,100,-88,100,100,-82,-94,-80,100,100,-94,-75,100,-90,100,-86,-88,100,-88,-91,100,100
23,2022-07-19-20:38:32,100,100,100,-77,100,100,-86,100,100,-94,-90,-76,100,100,-89,-84,100,100,100,-54,100,100,-84,-91,100,100
24,2022-07-19-20:38:37,100,100,100,-79,-86,100,-87,100,100,-83,-93,-80,100,100,-94,-76,100,-90,-94,-86,-88,100,-87,-92,100,100
25,2022-07-19-20:38:42,100,100,100,-83,-87,100,-94,100,100,-86,-82,-71,100,100,-92,-76,100,-92,-93,-54,-68,100,-76,-89,100,100
26,2022-07-19-20:38:47,100,100,100,-78,-85,100,-86,100,100,100,-89,-76,100,100,-89,-84,100,-93,-92,-55,-65,100,-84,-90,100,100
27,2022-07-19-20:38:52,100,100,100,-82,-86,100,100,100,100,100,100,-71,100,100,100,100,100,100,-95,-53,-68,100,-76,-90,100,100
28,2022-07-19-20:38:57,100,100,100,-78,-86,100,-86,100,100,-86,-82,-76,100,100,-89,-84,100,100,-92,-54,-65,100,-84,-90,100,100
29,2022-07-19-20:39:02,100,100,100,-78,-85,100,-88,100,100,-82,-93,-80,100,100,-93,-75,100,-91,100,-84,-88,100,-88,-92,100,100
30,2022-07-19-20:39:07,100,100,100,-82,-86,100,100,100,100,-86,-81,-71,100,100,-91,-76,100,-92,-94,-53,-68,100,-76,-90,100,100
31,2022-07-19-20:39:12,100,100,100,100,-85,100,-88,100,100,-83,-95,-80,100,100,-93,-76,100,-91,100,-85,100,100,-88,100,100,100
32,2022-07-19-20:39:17,100,100,100,-83,-85,100,-94,100,100,-86,-81,-71,100,100,-92,-76,100,-91,-94,-53,-68,100,-76,-90,100,100
33,2022-07-19-20:39:22,100,100,100,-78,-86,100,-86,100,100,-96,-89,-76,100,100,-90,-83,100,-93,-95,-54,-65,100,-84,-90,100,100
34,2022-07-19-20:39:27,100,100,100,-79,-85,100,-88,100,100,-82,-94,-80,100,100,-94,-76,100,-90,100,-85,-88,100,-88,-91,100,100
35,2022-07-19-20:39:32,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,-94,-83,100,100,100,-86,100,100,-84,-90,100,100
36,2022-07-19-20:39:37,100,100,100,-79,-85,100,-86,100,100,-83,-93,-80,100,100,-91,-76,100,-91,-92,-86,-88,100,-88,-92,100,100
37,2022-07-19-20:39:42,100,100,100,-82,-86,100,-88,100,100,-86,-82,-71,100,100,-92,-76,100,-91,100,-54,-68,100,-76,-89,100,100
38,2022-07-19-20:39:47,100,100,100,-77,-86,100,-87,100,100,-86,-90,-76,100,100,-89,-83,100,-92,-92,-55,-65,100,-84,-88,100,100
39,2022-07-19-20:39:52,100,100,100,-78,-86,100,-86,100,100,100,-89,-71,100,100,100,-84,100,100,-93,-54,-65,100,-76,-90,100,100
40,2022-07-19-20:39:57,100,100,100,-78,-87,100,-85,100,100,-86,-89,-76,100,100,-89,-82,100,100,-95,-54,-65,100,-76,-91,100,100
41,2022-07-19-20:40:02,100,100,100,-79,-85,100,-88,100,100,-82,-93,-80,100,100,-93,-76,100,-91,-93,-84,-88,100,-88,-91,100,100
42,2022-07-19-20:40:07,100,100,100,-82,-86,100,-92,100,100,-86,-82,-71,100,100,-92,-75,100,-91,100,-54,-68,100,-76,-89,100,100
43,2022-07-19-20:40:12,100,100,100,-82,100,100,100,100,100,-86,-81,-71,100,100,100,100,100,100,100,-54,-68,100,-76,-90,100,100
44,2022-07-19-20:40:17,100,100,100,-82,-87,100,-88,100,100,-86,-90,-71,100,100,-93,-76,100,-91,100,-54,-68,100,-76,-89,100,100
45,2022-07-19-20:40:22,100,100,100,-77,-86,100,-86,100,100,-86,-82,-76,100,100,-89,-84,100,-91,-93,-54,-65,100,-84,-91,100,100
46,2022-07-19-20:40:27,100,100,100,-79,-86,100,-87,100,100,-82,-94,-80,100,100,-94,-75,100,-90,-93,-85,-88,100,-87,100,100,100
47,2022-07-19-20:40:32,100,100,100,-82,-86,100,-88,100,100,-80,-82,-71,100,100,-94,-76,100,100,100,-85,-88,100,-88,-92,100,100
48,2022-07-19-20:40:37,100,100,100,-82,-86,100,-85,100,100,-98,-89,-76,100,100,-91,-83,100,-91,100,-54,-65,100,-84,-90,100,100
49,2022-07-19-20:40:42,100,100,100,-79,-86,100,-88,-96,100,-83,-94,-80,100,100,-90,-76,100,-91,-93,-86,-88,100,-88,-90,100,100
50,2022-07-19-20:40:47,100,100,100,-83,-86,100,-93,100,100,-86,-81,-71,100,100,-92,-75,100,-92,100,-54,-68,100,-76,-89,100,100
51,2022-07-19-20:40:52,100,100,100,-83,-86,100,-93,100,100,100,-81,-71,100,100,100,100,100,-91,100,100,-68,100,-76,-90,100,100
52,2022-07-19-20:40:57,100,100,100,-82,-85,100,-88,100,100,-82,-82,-71,100,100,-92,-76,100,-91,-94,-84,-68,100,-76,-92,100,100
53,2022-07-19-20:41:02,100,100,100,-77,-86,100,-86,-96,100,-97,-90,-71,100,100,-89,-83,100,100,-93,-54,-65,100,-84,-89,100,100
54,2022-07-19-20:41:07,100,100,100,-79,-86,100,-87,100,100,-83,-93,-80,100,100,-94,-76,100,-91,-93,-85,-87,100,-88,-91,100,100
55,2022-07-19-20:41:12,100,100,100,-78,-85,100,100,100,100,100,-94,-80,100,100,100,100,100,-90,100,100,-87,100,100,-92,100,100
56,2022-07-19-20:41:17,100,100,100,-79,-85,100,-87,-97,100,-82,-93,-76,100,100,-94,-76,100,-93,-93,-54,-87,100,-84,100,100,100
57,2022-07-19-20:41:22,100,100,100,-82,-86,100,-88,100,100,-86,-82,-71,100,100,-93,-76,100,-90,100,-86,-68,100,-76,-89,100,100
58,2022-07-19-20:41:27,100,100,100,-78,-86,100,-86,100,100,-86,-90,-76,100,100,-89,-84,100,-92,-94,-54,-68,100,-84,-91,100,100
59,2022-07-19-20:41:32,100,100,100,-78,100,100,-86,100,100,100,-90,-76,100,100,-89,-84,100,-93,-92,-55,-65,100,-84,-91,100,100
