index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-81.06
0,2022-07-23-14:46:55,-80,-89,100,100,-86,-63,100,100,100,100,100,100,-78,-101,-96,100,-70,-98,100,100,100,100,100,100,-77,-71,,
1,2022-07-23-14:47:00,-82,-80,100,100,-90,-67,100,100,100,100,100,100,-83,-86,100,100,-76,100,100,100,100,100,100,100,-67,-74,,
2,2022-07-23-14:47:05,-80,-82,100,100,-89,-61,100,100,100,100,100,100,-79,-81,-92,100,-72,100,100,100,100,100,100,100,-67,-62,,
3,2022-07-23-14:47:10,-82,-77,100,100,-91,-62,100,100,100,100,100,100,-78,-86,-95,100,-70,100,100,100,100,100,100,100,-76,-70,,
4,2022-07-23-14:47:15,-78,100,100,100,100,-66,100,100,-97,100,100,100,-79,-82,-92,100,-73,100,100,100,100,100,100,100,-68,-60,,
5,2022-07-23-14:47:20,-84,-76,100,100,-91,-61,100,100,100,100,100,100,-82,-83,-92,100,-69,100,100,100,100,100,100,100,-78,-69,,
6,2022-07-23-14:47:25,-82,-79,100,100,-91,-65,100,100,100,100,100,100,-84,-87,100,100,-77,100,100,100,100,100,100,100,-67,-76,,
7,2022-07-23-14:47:30,-80,-82,100,100,-92,-68,100,100,-97,100,100,100,-80,-80,-92,100,-71,100,100,100,100,100,100,100,-68,-62,,
8,2022-07-23-14:47:35,100,100,100,100,100,100,100,100,100,100,100,100,-82,100,100,100,-77,100,100,100,100,100,100,100,-70,100,,
9,2022-07-23-14:47:40,-79,-82,100,100,-94,-64,100,100,100,100,100,100,-80,-80,-93,100,-71,100,100,100,100,100,100,100,-67,-61,,
10,2022-07-23-14:47:45,-90,-85,100,100,-87,-56,100,100,100,100,100,100,-80,-99,100,100,-69,100,100,100,100,100,100,100,-78,-72,,
11,2022-07-23-14:47:50,-84,-78,100,100,-89,-64,100,100,100,100,100,100,-84,-85,100,100,-81,100,100,100,100,100,100,100,-68,-78,,
12,2022-07-23-14:47:55,-85,-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,100,100,100,100,100,100,100,-68,-69,,
13,2022-07-23-14:48:00,-83,-78,100,100,-91,-64,100,100,100,100,100,100,-84,-90,100,100,-77,100,100,100,100,100,100,100,-67,-74,,
14,2022-07-23-14:48:05,-83,-81,100,100,-92,-68,100,100,-96,100,100,100,-78,-80,-92,100,-71,100,100,100,100,100,100,100,-67,-61,,
15,2022-07-23-14:48:10,-80,-77,100,100,100,-64,100,100,-100,100,100,100,-78,-95,100,100,-69,100,100,100,100,100,100,100,-78,-69,,
16,2022-07-23-14:48:15,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,-71,100,100,100,100,100,100,100,-78,100,,
17,2022-07-23-14:48:20,-86,-77,100,100,-89,-63,100,100,-96,100,100,100,-82,-82,-93,100,-71,-97,100,100,100,-89,100,100,-78,-61,,
18,2022-07-23-14:48:25,-83,-78,100,100,-90,-64,100,100,100,100,100,100,-83,-89,100,100,-77,100,100,100,100,100,100,100,-67,-74,,
19,2022-07-23-14:48:30,-80,-81,100,100,-91,-68,100,100,100,100,100,100,-79,-83,-93,100,-71,100,100,100,100,-90,100,100,-67,-61,,
20,2022-07-23-14:48:35,-79,-82,100,100,-92,-68,100,100,100,100,100,100,-80,-80,-92,100,100,100,100,100,100,100,100,100,-67,-61,,
21,2022-07-23-14:48:40,-82,-82,100,100,-91,-66,100,100,100,100,100,100,-80,-80,-94,100,-71,100,100,100,100,-88,100,100,-68,-61,,
22,2022-07-23-14:48:45,-82,-77,100,100,-91,-64,100,100,-97,100,100,100,-79,-90,-94,100,-70,100,100,100,100,100,100,100,-78,-69,,
23,2022-07-23-14:48:50,-82,-79,100,100,-91,-64,100,100,100,100,100,100,-84,-88,100,100,-77,100,100,100,100,100,100,100,-68,-75,,
24,2022-07-23-14:48:55,-81,-79,100,100,-91,100,100,100,100,100,100,100,100,-88,100,100,-77,100,100,100,100,100,100,100,-68,-74,,
25,2022-07-23-14:49:00,-82,-77,100,100,-90,-63,100,100,100,100,100,100,-84,-89,-95,100,-69,100,100,100,100,100,100,100,-78,-74,,
26,2022-07-23-14:49:05,-79,-79,100,100,-91,-68,100,100,100,100,100,100,-80,-89,-93,100,-71,100,100,100,100,100,100,100,-68,-61,,
27,2022-07-23-14:49:10,-82,-77,100,100,100,-64,100,100,100,100,100,100,-79,-90,-92,100,-70,100,100,100,100,100,100,100,-78,-69,,
28,2022-07-23-14:49:15,-82,100,100,100,100,-63,100,100,100,100,100,100,-80,-90,100,100,-70,100,100,100,100,100,100,100,-78,100,,
29,2022-07-23-14:49:20,-80,-82,100,100,-90,-69,100,100,100,100,100,100,-79,-80,-93,100,-71,100,100,100,100,100,100,100,-67,-61,,
30,2022-07-23-14:49:25,-82,-79,100,100,-90,-64,100,100,100,100,100,100,-84,-89,100,100,-70,100,100,100,100,100,100,100,-68,-69,,
31,2022-07-23-14:49:30,-80,-81,100,100,-90,-68,100,100,100,100,100,100,-79,-82,-92,100,-70,100,100,100,100,100,100,100,-67,-61,,
32,2022-07-23-14:49:35,-79,-82,100,100,100,-68,100,100,-99,100,100,100,-80,-80,-94,100,-71,100,100,100,100,100,100,100,-67,-62,,
33,2022-07-23-14:49:40,-82,-79,100,100,-90,-64,100,100,100,100,100,100,-85,-86,100,100,-77,100,100,100,100,100,100,100,-68,-74,,
34,2022-07-23-14:49:45,-79,-77,100,100,-92,-68,100,100,100,100,100,100,-79,-80,-93,100,-71,100,100,100,100,100,100,100,-67,-62,,
35,2022-07-23-14:49:50,-82,-79,100,100,-90,-66,100,100,100,100,100,100,-79,-91,-96,100,-77,100,100,100,100,100,100,100,-79,-74,,
36,2022-07-23-14:49:55,-82,-79,100,100,-90,-64,100,100,100,100,100,100,-84,100,100,100,-77,100,100,100,100,100,100,100,-68,-74,,
37,2022-07-23-14:50:00,-83,-77,100,100,100,-64,100,100,100,100,100,100,-80,-91,100,100,-69,100,100,100,100,100,100,100,-79,-70,,
38,2022-07-23-14:50:05,-83,-79,100,100,-92,-64,100,100,100,100,100,100,-83,-88,100,100,-79,100,100,100,100,100,100,100,-68,-74,,
39,2022-07-23-14:50:10,-82,-76,100,100,-90,-63,100,100,100,100,100,100,-85,-88,-92,100,-71,100,100,100,100,100,100,100,-80,-61,,
40,2022-07-23-14:50:15,-86,-79,100,100,-89,-64,100,100,100,100,100,100,-79,100,100,100,-70,100,100,100,100,100,100,100,-79,-69,,
41,2022-07-23-14:50:20,-79,-82,100,100,100,-68,100,100,100,100,100,100,-80,-80,-92,100,-71,100,100,100,100,100,100,100,-67,-61,,
42,2022-07-23-14:50:25,-81,-77,100,100,-91,-64,100,100,100,100,100,100,-79,-80,100,100,-70,100,100,100,100,100,100,100,-79,-69,,
43,2022-07-23-14:50:30,-82,-79,100,100,-91,-64,100,100,100,100,100,100,-84,-80,100,100,-77,100,100,100,100,100,100,100,-68,-74,,
44,2022-07-23-14:50:35,-79,-80,100,100,-91,-68,100,100,-96,100,100,100,-80,-80,-92,100,-71,100,100,100,100,100,100,100,-68,-61,,
45,2022-07-23-14:50:40,-82,-79,100,100,-91,-64,100,100,100,100,100,100,-84,100,100,100,-78,100,100,100,100,100,100,100,-68,-74,,
46,2022-07-23-14:50:45,-79,-81,100,100,-90,-69,100,100,-98,100,100,100,-80,-80,-92,100,-71,100,100,100,100,100,100,100,-67,-62,,
47,2022-07-23-14:50:50,-81,-77,100,100,-91,-64,100,100,100,100,100,100,-79,-89,-93,100,-69,100,100,100,100,100,100,100,-78,-69,,
48,2022-07-23-14:50:55,-82,-78,100,100,-90,-64,100,100,100,100,100,100,-84,-87,-95,100,-77,100,100,100,100,100,100,100,-68,-74,,
49,2022-07-23-14:51:00,-81,-77,100,100,-90,-64,100,100,100,100,100,100,100,-89,100,100,-70,100,100,100,100,100,100,100,-78,100,,
50,2022-07-23-14:51:05,-81,-79,100,100,-91,-65,100,100,100,100,100,100,-85,-89,100,100,-76,100,100,100,100,100,100,100,-68,-75,,
51,2022-07-23-14:51:10,-79,-82,100,100,-91,-68,100,100,100,100,100,100,-79,-80,-93,100,-71,100,100,100,100,-89,100,100,-67,-61,,
52,2022-07-23-14:51:15,-82,-77,100,100,-91,-63,100,100,100,100,100,100,-79,-90,100,100,-71,100,100,100,100,100,100,100,-79,-69,,
53,2022-07-23-14:51:20,100,-81,100,100,100,100,100,100,100,100,100,100,-80,-80,100,100,-71,100,100,100,100,100,100,100,-67,-62,,
54,2022-07-23-14:51:25,-79,-77,100,100,-90,-64,100,100,-98,100,100,100,-80,-89,-95,100,-70,100,100,100,100,100,100,100,-78,-69,,
55,2022-07-23-14:51:30,-82,-78,100,100,-91,-64,100,100,100,100,100,100,-84,-89,100,100,-77,100,100,100,100,100,100,100,-68,-74,,
56,2022-07-23-14:51:35,-80,-82,100,100,-91,-68,100,100,-97,100,100,100,-80,-80,-93,100,-71,100,100,100,100,100,100,100,-67,-61,,
57,2022-07-23-14:51:40,-79,-81,100,100,100,100,100,100,100,100,100,100,-84,-80,100,100,-77,100,100,100,100,100,100,100,-67,-74,,
58,2022-07-23-14:51:45,-79,-81,100,100,-91,-68,100,100,-97,100,100,100,-79,-80,-94,100,-71,100,100,100,100,100,100,100,-68,-61,,
59,2022-07-23-14:51:50,-82,-77,100,100,-90,-63,100,100,100,100,100,100,-79,-89,-93,100,-70,100,100,100,100,100,100,100,-78,-69,,
