index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-18-10:46:11,100,-93,100,-89,-78,100,-89,-91,-83,-86,100,-98,100,100,-62,-82,100,-83,-83,100,100,100,-82,100,100,100
1,2022-07-18-10:46:16,100,-89,-89,-86,-73,100,-82,-82,-82,-85,100,100,100,100,-60,-76,100,-76,-81,-90,-92,100,-82,100,100,100
2,2022-07-18-10:46:21,100,-95,-91,-87,-67,100,-87,-88,-82,-84,100,-83,100,100,-58,-69,100,-74,-69,-80,-89,100,-78,-93,100,100
3,2022-07-18-10:46:26,100,100,-87,100,-65,100,100,-87,-80,-89,100,-90,100,100,-57,-72,100,-76,-69,-81,100,100,-77,100,100,100
4,2022-07-18-10:46:31,100,-95,-91,-90,-71,100,-86,100,100,-85,-97,-90,100,100,-60,-82,100,-76,-81,-96,-84,100,-78,-88,100,100
5,2022-07-18-10:46:36,100,-90,-85,-78,-70,100,-89,-82,-82,-83,100,-90,100,100,-57,-64,100,-68,-72,-80,-85,100,-74,100,100,100
6,2022-07-18-10:46:41,100,-92,-92,-92,-73,100,-85,-82,-83,-82,-91,-88,100,100,-62,-88,100,-79,-82,-79,-84,100,-76,-90,100,100
7,2022-07-18-10:46:46,100,100,-90,-89,-76,100,-82,100,100,-85,-94,-87,100,100,-62,-91,100,-86,-86,100,-85,100,-76,-88,100,100
8,2022-07-18-10:46:51,100,-94,-94,-90,-85,100,-91,-90,-89,100,-89,100,100,100,-62,-63,100,-76,-87,-77,-84,100,-77,100,100,100
9,2022-07-18-10:46:56,100,100,-89,-91,-75,100,-87,100,-94,-90,-94,-88,100,100,-55,-82,100,-76,-82,-86,-86,100,-79,-90,100,100
10,2022-07-18-10:47:01,100,-93,-87,-84,-71,100,-90,-88,-83,-82,-88,-82,100,100,-55,-64,100,-70,-73,-85,-90,100,-76,100,100,100
11,2022-07-18-10:47:06,100,-93,-85,-84,-71,100,-88,-81,-82,-82,-88,100,100,100,-55,-62,100,-70,-73,-81,-82,100,-74,100,100,100
12,2022-07-18-10:47:11,100,100,100,-84,-70,100,-87,-88,-82,-77,100,-82,100,100,-56,-63,100,-76,-72,-83,-91,100,-89,100,100,100
13,2022-07-18-10:47:16,100,100,-85,-84,-71,100,-89,-81,-82,-82,-89,-82,100,100,-55,-63,100,-70,-73,-80,-82,100,-74,-91,100,100
14,2022-07-18-10:47:21,100,100,-89,-92,-70,100,-87,-88,-82,-77,-94,-88,100,100,-60,-63,100,-76,-82,-87,-86,100,-80,-89,100,100
15,2022-07-18-10:47:26,100,-93,-88,-84,-70,100,-87,-88,-81,-77,100,-82,100,100,-56,-63,100,-76,-72,-84,-91,100,-89,100,100,100
16,2022-07-18-10:47:31,100,100,-91,100,-74,100,-88,100,100,-90,-95,-88,100,100,-60,-82,100,-76,-82,-87,-86,100,-80,-89,100,100
17,2022-07-18-10:47:36,100,100,-87,-84,-70,100,-87,-88,-81,-77,-96,-82,100,100,-56,-63,100,-76,-72,-84,-91,100,-80,-92,100,100
18,2022-07-18-10:47:41,100,100,-85,-84,-71,100,-87,-81,-81,-82,-89,100,100,100,-56,-62,100,-70,-73,-80,-83,100,-74,-90,100,100
19,2022-07-18-10:47:46,100,100,-89,-94,-73,100,-88,100,100,-90,-93,-87,100,100,-60,-80,100,-76,-82,-87,-87,100,-80,-88,100,100
20,2022-07-18-10:47:51,100,100,-85,-84,-71,100,100,-80,-82,-82,-89,-95,100,100,-55,-62,100,-70,-73,-80,-83,100,-74,100,100,100
21,2022-07-18-10:47:56,100,-92,-91,-93,-73,100,-86,-81,-82,-90,-88,-87,100,100,-59,-86,100,-76,-82,-87,-87,100,-79,-88,100,100
22,2022-07-18-10:48:01,100,-93,-86,-83,-70,100,-85,-88,-81,-77,-94,-81,100,100,-56,-63,100,-77,-72,-86,-90,100,-90,-88,100,100
23,2022-07-18-10:48:06,100,-92,-86,-83,-70,100,-86,-81,-82,-82,-88,100,100,100,-56,-62,100,-71,-73,-81,-84,100,-74,100,100,100
24,2022-07-18-10:48:11,100,100,100,100,-70,100,100,100,100,100,100,100,100,100,-56,-64,100,-77,-72,-84,100,100,100,100,100,100
