index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-19-22:16:08,100,100,100,-76,-96,100,-87,-97,100,-75,-93,-88,100,100,-94,-85,100,-89,-90,-80,-85,100,-87,-57,100,100
1,2022-07-19-22:16:13,100,100,100,-77,100,100,-83,100,100,-83,-86,100,100,100,100,-92,100,-90,-95,-92,-88,100,-88,-65,100,100
2,2022-07-19-22:16:18,100,100,100,-72,-93,100,-92,100,100,-70,-77,100,100,100,100,100,100,-86,-88,-79,-86,100,-89,-62,100,100
3,2022-07-19-22:16:23,100,100,100,-82,100,100,100,100,100,-79,100,100,100,100,100,100,100,100,-92,100,100,100,100,100,100,100
4,2022-07-19-22:16:28,100,100,100,-73,-93,100,-90,100,100,-71,-83,-88,100,100,100,-91,100,-84,-92,-79,-84,100,-94,-65,100,100
5,2022-07-19-22:16:33,100,100,100,-72,-88,100,-89,100,100,-69,-84,-90,100,100,100,100,100,-85,-89,-80,-79,100,-86,-62,100,100
6,2022-07-19-22:16:38,100,100,100,-74,100,100,-97,100,100,-69,-86,-97,100,100,100,-95,100,-90,-90,-81,-85,100,-90,-66,100,100
7,2022-07-19-22:16:43,100,100,100,-74,100,100,-95,100,100,100,-87,100,100,100,100,100,100,100,100,100,-84,100,-91,-67,100,100
8,2022-07-19-22:16:48,100,100,100,-73,-87,100,-94,-93,100,-60,-89,-88,100,100,100,-91,100,-96,-88,-79,-78,100,-89,-65,100,100
9,2022-07-19-22:16:53,100,100,100,-73,-94,100,-90,100,100,-70,-81,-86,100,100,100,-90,100,-85,-92,-79,-86,100,-87,-66,100,100
10,2022-07-19-22:16:58,100,100,100,-73,-89,100,-86,100,100,-69,-86,-89,100,100,100,-89,100,-83,-88,-80,-80,100,-88,-63,100,100
