index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-84.4
0,2022-07-23-13:23:48,-91,-73,-94,100,-83,-82,-92,-98,-89,100,100,-87,-80,-91,100,-82,-96,-97,100,100,100,100,100,-70,-92,,
1,2022-07-23-13:23:53,-84,-63,-86,100,-75,-68,100,100,-73,100,100,-76,-73,-85,100,-76,-71,-94,100,100,100,100,100,-92,-78,,
2,2022-07-23-13:23:58,-88,-71,-94,100,-82,-82,-94,100,-90,100,100,-81,-82,-90,100,-81,-80,-98,100,100,100,100,100,-70,-91,,
3,2022-07-23-13:24:03,-83,-63,-84,100,-70,-70,100,100,-79,100,100,-81,-74,100,100,-78,-77,100,100,100,100,100,100,-72,-79,,
4,2022-07-23-13:24:08,-82,-66,-85,100,-71,-69,100,100,-75,100,100,-78,-73,-85,100,-76,-77,-90,100,100,100,100,100,-77,-78,,
5,2022-07-23-13:24:13,-85,-62,-84,100,-80,-70,100,100,-77,100,100,-82,-76,100,100,-77,-76,100,100,100,100,100,100,-69,-85,,
6,2022-07-23-13:24:18,-84,-67,-84,100,-71,-71,100,100,-75,100,100,-81,-76,-84,100,-77,-80,100,100,100,100,100,100,-72,-83,,
7,2022-07-23-13:24:23,-93,-62,-90,100,-82,-89,-93,100,-78,100,100,-92,-91,-91,100,-82,-75,-88,100,100,100,100,100,-77,-92,,
8,2022-07-23-13:24:28,-82,-60,-94,100,-75,-71,100,100,-80,100,100,-80,-76,100,100,-80,-76,100,100,100,100,100,100,-75,-90,,
9,2022-07-23-13:24:33,-88,-78,-93,100,-80,-80,100,100,-81,100,100,-88,-82,-90,100,-82,-89,-89,100,100,100,100,100,-70,-92,,
10,2022-07-23-13:24:38,-81,-73,-86,100,-78,-71,100,100,-85,100,100,-80,-78,100,100,-77,-72,-91,100,100,100,100,100,-73,-83,,
11,2022-07-23-13:24:43,-82,-76,-97,100,-72,-71,-92,-94,-72,100,100,-77,-75,-92,100,-77,-78,-94,100,100,100,100,100,-70,-88,,
12,2022-07-23-13:24:48,-88,-77,-89,100,-79,-82,-93,100,-84,100,100,-89,-82,-93,100,-82,-82,-89,100,100,100,100,100,-71,-90,,
13,2022-07-23-13:24:53,-80,-67,100,100,-72,-71,-90,100,-76,100,100,-77,-74,-87,100,-76,-76,-89,100,100,100,100,100,-74,-78,,
14,2022-07-23-13:24:58,-86,-74,-88,100,-79,-85,-93,100,-83,100,100,-89,-83,-91,100,-81,-82,-88,100,100,100,100,100,-72,-91,,
15,2022-07-23-13:25:03,-85,-62,-90,100,-81,-70,-94,100,-77,100,100,-81,-76,-88,100,-78,-73,-90,100,100,100,100,100,-77,-84,,
16,2022-07-23-13:25:08,-84,-66,-87,100,-72,-71,-89,100,-74,100,100,-78,-76,-87,100,-76,-74,-88,100,100,100,100,100,-75,-78,,
17,2022-07-23-13:25:13,-82,-62,-94,100,-83,-75,100,100,-78,100,100,-84,-78,100,100,-80,-73,100,100,100,100,100,100,-70,-78,,
18,2022-07-23-13:25:18,-80,-65,-85,100,-78,-71,-91,100,-75,100,100,-78,-74,-88,100,-76,-74,-88,100,100,100,100,100,-75,-80,,
19,2022-07-23-13:25:23,-87,-75,-90,100,-80,-81,-93,100,-83,100,100,-88,-81,-96,100,-82,-83,-90,100,100,100,100,100,-70,-89,,
20,2022-07-23-13:25:28,-85,-62,-93,100,-82,-70,-94,100,-78,100,100,-81,-76,-92,100,-77,-73,100,100,100,100,100,100,-78,-84,,
21,2022-07-23-13:25:33,-87,-75,100,100,100,-81,100,100,-83,100,100,-85,-82,100,100,-82,100,100,100,100,100,100,100,-69,-90,,
22,2022-07-23-13:25:38,-84,-62,-89,100,-82,-71,-93,100,-78,100,100,-81,-76,-92,100,-78,-82,-89,100,100,100,100,100,-77,-83,,
23,2022-07-23-13:25:43,-82,-66,-87,100,-72,-72,-89,100,-74,100,100,-80,-77,-87,100,-77,-74,-89,100,100,100,100,100,-76,-80,,
24,2022-07-23-13:25:48,-87,-75,-89,100,-78,-81,-92,100,-83,100,100,-88,-81,-91,100,-82,-83,-90,100,100,100,100,100,-70,-89,,
25,2022-07-23-13:25:53,100,100,100,100,100,100,100,100,-74,100,100,100,-75,100,100,-77,100,100,100,100,100,100,100,100,100,,
26,2022-07-23-13:25:58,-87,-75,-89,100,-79,-71,-89,100,-83,100,100,-78,-82,-92,100,-82,-83,-89,100,100,100,100,100,-70,-90,,
27,2022-07-23-13:26:03,-84,-62,-94,100,-83,-70,-93,100,-78,100,100,-81,-78,-92,100,-77,-74,-89,100,100,100,100,100,-77,-89,,
28,2022-07-23-13:26:08,-82,-66,-87,100,-72,-71,-89,100,-74,100,100,-78,-77,-87,100,-77,-74,100,100,100,100,100,100,-75,-78,,
29,2022-07-23-13:26:13,-84,-66,100,100,100,-73,100,100,-80,100,100,-78,-77,100,100,-77,100,100,100,100,100,100,100,100,-82,,
30,2022-07-23-13:26:18,-81,-66,-91,100,-72,-71,-90,100,-74,100,100,-77,-75,-91,100,-76,-74,100,100,100,100,100,100,-78,-79,,
31,2022-07-23-13:26:23,-87,-75,-89,100,-79,-81,-93,100,-82,100,100,-88,-81,-91,100,-82,-83,-89,100,100,100,100,100,-70,-89,,
32,2022-07-23-13:26:28,-85,-62,-95,100,-82,-70,-94,100,-78,100,100,-82,-76,-93,100,-78,-73,-90,100,100,100,100,100,-77,-84,,
33,2022-07-23-13:26:33,-85,100,100,100,-82,-70,100,100,-78,100,100,-81,-76,100,100,-78,100,100,100,100,100,100,100,100,100,,
34,2022-07-23-13:26:38,-84,-75,-89,100,-82,-70,-93,100,-78,100,100,-82,-82,-92,100,-77,-73,-89,100,100,100,100,100,-70,-84,,
35,2022-07-23-13:26:43,-81,-66,-87,100,-72,-70,-90,100,-75,100,100,-78,-75,-86,100,-77,-73,-88,100,100,100,100,100,-76,-79,,
