index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-81.9
0,2022-07-23-14:13:39,-86,-83,-96,100,-88,-69,100,100,-91,100,100,100,-85,-85,-89,100,-92,-94,-98,100,100,100,100,100,-62,-82,,
1,2022-07-23-14:13:44,-81,-82,100,100,-87,-72,100,100,100,100,100,100,-77,-78,-89,100,100,100,100,100,100,100,100,100,-62,-66,,
2,2022-07-23-14:13:49,-80,100,100,100,-92,100,100,100,100,100,100,100,-77,-77,-89,100,100,100,100,100,100,100,100,100,-55,-66,,
3,2022-07-23-14:13:54,-84,-86,100,100,-82,-71,100,100,100,100,100,100,-82,-85,-95,100,-89,-87,100,100,100,100,100,100,-53,-80,,
4,2022-07-23-14:13:59,-80,-76,100,100,100,-61,100,100,100,100,100,100,-76,-79,100,100,-78,-88,100,100,100,100,100,100,-53,-66,,
5,2022-07-23-14:14:04,-87,-88,100,100,-91,-69,100,100,-92,100,100,100,-84,-88,-94,100,100,-91,100,100,100,100,100,100,-64,-80,,
6,2022-07-23-14:14:09,-87,-83,100,100,100,-69,100,100,100,100,100,100,-80,100,100,100,-90,100,100,100,100,100,100,100,-52,-68,,
7,2022-07-23-14:14:14,-81,-76,100,100,-95,-62,100,100,100,100,100,100,-78,-78,-88,100,-80,-88,100,100,100,100,100,100,-54,-70,,
8,2022-07-23-14:14:19,-82,-77,100,100,-81,-69,100,100,100,100,100,100,-82,-85,100,100,-90,-89,100,100,100,100,100,100,-53,-81,,
9,2022-07-23-14:14:24,-79,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,-94,100,100,100,100,100,100,-52,-67,,
10,2022-07-23-14:14:29,-80,-82,100,100,100,100,100,100,100,100,100,100,-77,100,100,100,-81,100,100,100,100,100,100,100,-53,100,,
11,2022-07-23-14:14:34,-84,-83,100,100,-83,-72,100,100,100,100,100,100,-82,-79,-95,100,-90,-88,100,100,100,100,100,100,-53,-66,,
12,2022-07-23-14:14:39,-82,-82,100,100,-88,-62,100,100,100,100,100,100,-77,-78,-89,100,-81,-95,100,100,100,100,100,100,-54,-70,,
13,2022-07-23-14:14:44,-84,-87,100,100,-82,-69,100,100,-91,100,100,100,-82,-86,100,100,-88,-88,100,100,100,100,100,100,-54,-81,,
14,2022-07-23-14:14:49,100,-87,100,100,-82,100,100,100,100,100,100,100,-83,-86,-96,100,-89,-89,100,100,100,100,100,100,-53,100,,
15,2022-07-23-14:14:54,-84,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,100,100,-78,-88,100,100,100,100,100,100,-54,-70,,
16,2022-07-23-14:14:59,-83,-82,100,100,-82,-69,100,100,100,100,100,100,-77,-86,-88,100,-82,-89,100,100,100,100,100,100,-53,-66,,
17,2022-07-23-14:15:04,-82,-77,100,100,-88,-62,100,100,-93,100,100,100,-76,-78,-89,100,-77,-89,100,100,100,100,100,100,-53,-70,,
18,2022-07-23-14:15:09,-82,-77,100,100,100,-62,100,100,100,100,100,100,-76,-78,-95,100,-77,-90,100,100,100,100,100,100,-54,-70,,
19,2022-07-23-14:15:14,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,-94,100,100,100,100,100,100,-53,-66,,
