index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-23-16:00:33,-81,-95,100,100,-88,-83,100,100,100,100,100,-90,-79,100,100,-61,100,100,100,100,-86,100,100,-96,-78
1,2022-07-23-16:00:38,-75,-77,100,100,-86,-72,100,100,100,100,100,-81,-77,100,100,-70,100,100,100,100,-83,100,100,-85,-63
2,2022-07-23-16:00:43,-73,-78,100,100,-80,-76,100,100,100,100,100,-85,-73,100,100,-70,100,100,100,100,-80,100,100,-85,-62
3,2022-07-23-16:00:48,-83,-83,100,100,-87,-80,100,100,100,100,100,-86,-85,100,100,-67,100,100,100,100,100,100,100,-86,-68
4,2022-07-23-16:00:53,-73,-78,100,100,-81,-76,100,100,100,100,100,100,-73,-99,100,-68,100,100,100,100,-80,100,100,-84,-63
5,2022-07-23-16:00:58,-82,-83,100,100,-88,-80,100,100,100,100,100,-86,-86,100,100,-66,100,100,100,100,-80,100,100,-85,-67
6,2022-07-23-16:01:03,-75,-79,100,100,-85,-78,100,100,100,100,100,-81,-79,100,100,-68,100,100,100,100,-81,100,100,-85,-64
7,2022-07-23-16:01:08,-74,-79,100,100,-80,-78,100,100,100,100,100,-84,-74,100,100,-66,100,100,100,100,-80,100,100,-87,-62
8,2022-07-23-16:01:13,100,100,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,-83,100,100,100,-63
9,2022-07-23-16:01:18,-74,-84,100,100,-91,-82,100,100,100,100,100,-82,-73,100,100,-71,100,100,100,100,-84,100,100,-88,-70
10,2022-07-23-16:01:23,-83,-78,100,100,-80,-81,100,100,100,100,100,-87,-87,100,100,-65,100,100,100,100,-80,100,100,-85,-68
11,2022-07-23-16:01:28,-76,-78,100,100,-86,-78,100,100,100,100,100,-80,-80,100,100,-72,100,100,100,100,-83,100,100,-84,-68
12,2022-07-23-16:01:33,100,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-92,100,100,100,-63
13,2022-07-23-16:01:38,-81,-82,100,100,100,-92,100,100,100,100,100,-79,-77,100,100,-68,100,100,100,100,100,100,100,-92,-70
14,2022-07-23-16:01:43,-76,-85,100,100,-87,-82,100,100,100,100,100,-83,-76,100,100,-70,100,100,100,100,-80,100,100,-89,100
15,2022-07-23-16:01:48,-82,-84,100,100,-89,-80,100,100,100,100,100,-86,-80,100,100,-67,100,100,100,100,-80,100,100,-91,-67
16,2022-07-23-16:01:53,100,-82,100,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,-64
17,2022-07-23-16:01:58,-74,-82,100,100,-80,-73,100,100,100,100,100,-84,-84,-97,100,-60,100,100,100,100,-80,100,100,-85,-65
18,2022-07-23-16:02:03,-77,-80,100,100,-83,-79,100,100,100,100,100,-80,-82,100,100,-63,100,100,100,100,100,100,100,-88,-61
19,2022-07-23-16:02:08,-76,-81,100,100,100,-75,100,100,100,100,100,-85,-78,100,100,-68,100,100,100,100,-82,100,100,-84,-62
20,2022-07-23-16:02:13,-76,100,100,100,100,-74,100,100,100,100,100,-85,-78,100,100,100,100,100,100,100,100,100,100,-84,-61
21,2022-07-23-16:02:18,-75,-77,100,100,-83,-77,100,100,100,100,100,-77,-80,100,100,-63,100,100,100,100,-81,100,100,-84,-60
22,2022-07-23-16:02:23,-81,-81,100,100,-81,-80,100,100,100,100,100,-88,-78,-97,100,-65,100,100,100,100,-80,100,100,-88,-66
23,2022-07-23-16:02:28,-81,-77,100,100,-83,-80,100,100,100,100,100,-77,-84,100,100,-63,100,100,100,100,100,100,100,-84,-60
24,2022-07-23-16:02:33,-75,-77,100,100,-84,-78,100,100,100,100,100,-77,-78,100,100,100,100,100,100,100,100,100,100,-85,-61
25,2022-07-23-16:02:38,-82,-81,100,100,-90,-81,100,100,100,100,100,-87,-84,100,100,-65,100,100,100,100,100,100,100,-88,-66
26,2022-07-23-16:02:43,-76,-80,100,100,-85,-75,100,100,100,100,100,-83,-76,100,100,-60,100,100,100,100,100,100,100,-84,-62
27,2022-07-23-16:02:48,-85,-85,100,100,-93,-78,100,100,100,100,100,-86,-83,100,100,-65,100,100,100,100,-82,100,100,-84,-65
28,2022-07-23-16:02:53,-83,-82,100,100,100,-80,100,100,100,100,100,-85,-85,100,100,-67,100,100,100,100,100,100,100,-96,-67
29,2022-07-23-16:02:58,-77,-80,100,100,-77,-74,100,100,100,100,100,-85,-77,100,100,-68,100,100,100,100,-81,100,100,100,-61
30,2022-07-23-16:03:03,-76,-82,100,100,-92,-79,100,100,100,100,100,-87,-84,100,100,-63,100,100,100,100,100,100,100,-88,-61
