index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,RFstar_9120
42,2022-07-19-17:00:22,100,-81,-61,100,-78,100,-80,-83,-74,-82,-78,100,100,-74,100,100,-66,-62,100,-90,100,-89,-86,100,100,100.0
43,2022-07-19-17:00:27,100,-93,-83,-86,-79,100,-77,-83,-83,-82,-87,100,100,-74,-86,100,-70,-68,-89,-92,100,-92,100,-94,100,-95.0
44,2022-07-19-17:00:32,100,-82,-65,-86,-78,100,-78,-81,-70,-81,-78,100,100,-84,-91,100,-69,-61,-85,-89,100,-93,-89,100,100,-90.0
45,2022-07-19-17:00:37,100,-81,-61,-87,-79,100,-80,-82,-74,-82,-78,100,100,-74,-91,100,-66,-62,100,-92,100,-89,-86,100,100,-94.0
46,2022-07-19-17:00:42,100,-82,-65,-86,-78,100,-78,100,-70,-81,-78,100,100,-84,100,100,-69,-61,-86,-89,100,100,100,100,100,-90.0
47,2022-07-19-17:00:47,100,-81,-61,-88,-79,100,-80,-82,-74,-82,-79,100,100,-74,100,100,-66,-62,-93,-92,100,-88,-86,-96,100,-95.0
48,2022-07-19-17:00:52,100,-93,-84,-86,-79,100,-77,-83,-84,-82,-87,100,100,-74,-86,100,-70,-68,-89,-93,100,-92,100,-94,100,-94.0
49,2022-07-19-17:00:57,100,-82,-65,-86,-78,100,-78,-81,-70,-81,-78,100,100,-84,-91,100,-69,-61,-85,-90,100,-93,-88,100,100,-91.0
50,2022-07-19-17:01:02,100,100,-83,-86,100,100,-77,-81,-84,100,-87,100,100,-75,-87,100,100,-61,100,-94,100,100,100,100,100,100.0
51,2022-07-19-17:01:07,100,-82,-65,-87,-78,100,-78,-81,-70,-81,-78,100,100,-83,-91,100,-69,-61,-85,-92,100,100,-89,100,100,-91.0
52,2022-07-19-17:01:12,100,-80,-62,-87,-79,100,-80,-82,-74,-82,-79,100,100,-74,-90,100,-66,-62,-85,-89,100,-94,-86,100,100,-94.0
53,2022-07-19-17:01:17,100,-94,-83,-86,-79,100,-77,-83,-84,-82,-87,100,100,-74,-87,100,-70,-68,-90,-93,100,-92,100,100,100,-98.0
54,2022-07-19-17:01:22,100,100,-62,-86,-80,100,100,-83,-74,100,100,100,100,-74,100,100,-66,-68,100,-92,100,100,100,100,100,-96.0
55,2022-07-19-17:01:27,100,-93,-83,-86,-80,100,-77,-84,-83,-82,-87,100,100,-74,-87,-100,-70,-68,-89,-92,100,-93,-86,-94,100,-96.0
56,2022-07-19-17:01:32,100,-82,-65,-87,-78,100,-78,-81,-70,-81,-78,100,100,-83,-90,100,-69,-61,-90,-90,100,-92,-88,100,100,-91.0
57,2022-07-19-17:01:37,100,-81,-61,-88,-80,100,-80,-82,-74,-82,-78,100,100,-73,-90,100,-66,-62,-85,-91,100,-88,-85,-94,100,-95.0
58,2022-07-19-17:01:42,100,-81,-61,-88,-79,100,-81,100,100,100,100,100,100,-73,100,100,-66,100,100,100,100,-88,-86,100,100,100.0
59,2022-07-19-17:01:47,100,-81,-61,-88,-79,100,-80,-83,-70,-82,-78,100,100,-83,100,100,-66,-62,-85,-90,100,-88,100,-95,100,-91.0
