index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,
37,2022-07-23-14:27:11,100,-75,100,100,-88,-64,100,100,100,100,100,100,-76,-86,100,100,-81,100,100,100,100,100,100,100,-60,-77,,
38,2022-07-23-14:27:16,-80,-80,100,100,-80,-57,100,100,100,100,100,100,-81,-86,100,100,-91,100,100,100,100,100,100,100,-61,-70,,
39,2022-07-23-14:27:21,-88,-76,100,100,-75,-62,100,100,100,100,100,100,-75,-85,-91,100,-77,100,100,100,100,100,100,100,-59,-70,,
40,2022-07-23-14:27:26,-88,-74,100,100,-87,-64,100,100,100,100,100,100,-76,-85,100,100,-80,100,100,100,100,100,100,100,-60,-77,,
41,2022-07-23-14:27:31,-83,-76,100,100,-75,-61,100,100,100,100,100,100,-75,100,-91,100,-78,100,100,100,100,100,100,100,-59,-70,,
42,2022-07-23-14:27:36,-87,-76,100,100,-87,-64,100,100,100,100,100,100,-77,-86,-91,100,-78,100,100,100,100,100,100,100,-60,-77,,
43,2022-07-23-14:27:41,-80,-80,100,100,-80,-57,100,100,100,100,100,100,-81,-86,-97,100,-90,100,100,100,100,100,100,100,-61,-70,,
44,2022-07-23-14:27:46,-84,-76,100,100,-75,-62,100,100,100,100,100,100,-75,-95,-91,100,-78,100,100,100,100,100,100,100,-59,-70,,
45,2022-07-23-14:27:51,-80,-80,100,100,-80,-57,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-70,,
46,2022-07-23-14:27:56,-84,-76,100,100,-75,-62,100,100,100,100,100,100,-75,100,100,100,-77,100,100,100,100,100,100,100,-61,-70,,
47,2022-07-23-14:28:01,-88,-75,100,100,-88,-64,100,100,100,100,100,100,-76,-85,-91,100,-81,100,100,100,100,100,100,100,-60,-77,,
48,2022-07-23-14:28:06,-80,-80,100,100,-80,-57,100,100,100,100,100,100,100,100,-98,100,-92,100,100,100,100,100,100,100,-61,-70,,
49,2022-07-23-14:28:11,100,100,100,100,100,-64,100,100,100,100,100,100,-76,-86,100,100,100,100,100,100,100,100,100,100,-60,100,,
50,2022-07-23-14:28:16,-80,-80,100,100,-80,-57,100,100,-93,100,100,100,-81,-85,100,100,100,100,100,100,100,100,100,100,-61,-70,,
51,2022-07-23-14:28:21,-84,-80,100,100,-75,-61,100,100,-92,100,100,100,-75,100,100,100,-78,100,100,100,100,100,100,100,-59,-70,,
52,2022-07-23-14:28:26,-89,-75,100,100,-88,-64,100,100,100,100,100,100,-77,-85,100,100,-81,100,100,100,100,100,100,100,-60,-77,,
53,2022-07-23-14:28:31,-88,-76,100,100,-74,-62,100,100,100,100,100,100,-75,100,-92,100,-81,100,100,100,100,100,100,100,-59,100,,
54,2022-07-23-14:28:36,-84,-76,100,100,-88,-64,100,100,100,100,100,100,-77,-93,-91,100,-77,100,100,100,100,100,100,100,-60,-70,,
55,2022-07-23-14:28:41,-80,-80,100,100,-81,-57,100,100,-92,100,100,100,-81,100,-96,100,100,100,100,100,100,100,100,100,-60,-70,,
56,2022-07-23-14:28:46,-84,-76,100,100,-74,-62,100,100,100,100,100,100,-75,-94,-92,100,-77,100,100,100,100,100,100,100,-59,-71,,
57,2022-07-23-14:28:51,-84,100,100,100,-80,-61,100,100,100,100,100,100,-81,100,100,100,-78,100,100,100,100,100,100,100,-59,100,,
58,2022-07-23-14:28:56,-84,-76,100,100,-74,-61,100,100,100,100,100,100,-75,-93,-91,100,-91,100,100,100,100,100,100,100,-59,-70,,
59,2022-07-23-14:29:01,-83,-74,100,100,-90,-64,100,100,100,100,100,100,-77,-94,100,100,-81,100,100,100,100,100,100,100,-60,-78,,
