index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-84.6
0,2022-07-23-14:41:22,-79,-90,100,100,-89,-56,100,100,-94,100,100,100,-87,-83,-96,100,-84,-94,100,100,100,100,100,100,-76,-74,,
1,2022-07-23-14:41:27,-88,-71,100,100,-88,-56,100,100,-93,100,100,100,-76,-89,100,100,-87,100,100,100,100,100,100,100,-72,-70,,
2,2022-07-23-14:41:32,-79,-72,100,100,-77,-56,100,100,-91,100,100,100,-81,-84,-95,100,-88,100,100,100,100,100,100,100,-72,-89,,
3,2022-07-23-14:41:37,-79,-72,100,100,-77,-56,100,100,100,100,100,100,-76,-80,-91,100,-79,100,100,100,100,100,100,100,-68,-71,,
4,2022-07-23-14:41:42,-86,-72,100,100,-77,-58,100,100,100,100,100,100,-77,-84,-91,100,-79,100,100,100,100,100,100,100,-69,-71,,
5,2022-07-23-14:41:47,-79,-72,100,100,-79,-55,100,100,-91,100,100,100,-76,-91,-91,100,-79,100,100,100,100,100,100,100,-73,-72,,
6,2022-07-23-14:41:52,-86,-72,100,100,-79,-58,100,100,100,100,100,100,-77,-83,100,100,-79,100,100,100,100,100,100,100,-70,-71,,
7,2022-07-23-14:41:57,-86,-82,100,100,-77,-56,100,100,100,100,100,100,-77,-80,-91,100,-88,100,100,100,100,100,100,100,-68,-72,,
8,2022-07-23-14:42:02,-88,-74,100,100,-77,-55,100,100,100,100,100,100,-77,-84,-91,100,-79,100,100,100,100,100,100,100,-73,-71,,
9,2022-07-23-14:42:07,-86,-72,100,100,-77,-56,100,100,-92,100,100,100,100,-84,-95,100,-87,100,100,100,100,100,100,100,-68,-90,,
